Date,iShares India 50_etf_Open_average,iShares India 50_etf_Open_max,iShares India 50_etf_Open_min,iShares India 50_etf_Open_volatility,iShares India 50_etf_Open_change,iShares India 50_etf_High_average,iShares India 50_etf_High_max,iShares India 50_etf_High_min,iShares India 50_etf_High_volatility,iShares India 50_etf_High_change,iShares India 50_etf_Low_average,iShares India 50_etf_Low_max,iShares India 50_etf_Low_min,iShares India 50_etf_Low_volatility,iShares India 50_etf_Low_change,iShares India 50_etf_Close_average,iShares India 50_etf_Close_max,iShares India 50_etf_Close_min,iShares India 50_etf_Close_volatility,iShares India 50_etf_Close_change
2018-01-14,38.36,38.36,38.36,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-01-21,39.2,39.2,39.2,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2018-01-28,37.61,37.61,37.61,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-02-04,36.23,36.23,36.23,0.0,0.0,36.83,36.83,36.83,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-02-11,36.55,36.55,36.55,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-02-18,36.37,36.37,36.37,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-02-25,35.55,35.55,35.55,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-03-04,35.53,35.53,35.53,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-03-11,35.58,35.58,35.58,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2018-03-18,34.57,34.57,34.57,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-03-25,34.99,34.99,34.99,0.0,0.0,35.46,35.46,35.46,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-04-01,35.59,35.59,35.59,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2018-04-08,36.07,36.07,36.07,0.0,0.0,36.07,36.07,36.07,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-04-15,35.73,35.73,35.73,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-04-22,35.92,35.92,35.92,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.92,35.92,35.92,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-04-29,35.43,35.43,35.43,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-05-06,35.95,35.95,35.95,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-05-13,34.77,34.77,34.77,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-05-20,35.08,35.08,35.08,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-05-27,35.72,35.72,35.72,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-06-03,35.72,35.72,35.72,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-06-10,35.37,35.37,35.37,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2018-06-17,35.66,35.66,35.66,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.6,35.6,35.6,0.0,0.0
