Date,First Trust US Equity Dividend Select_Open_average,First Trust US Equity Dividend Select_Open_max,First Trust US Equity Dividend Select_Open_min,First Trust US Equity Dividend Select_Open_volatility,First Trust US Equity Dividend Select_Open_change,First Trust US Equity Dividend Select_High_average,First Trust US Equity Dividend Select_High_max,First Trust US Equity Dividend Select_High_min,First Trust US Equity Dividend Select_High_volatility,First Trust US Equity Dividend Select_High_change,First Trust US Equity Dividend Select_Low_average,First Trust US Equity Dividend Select_Low_max,First Trust US Equity Dividend Select_Low_min,First Trust US Equity Dividend Select_Low_volatility,First Trust US Equity Dividend Select_Low_change,First Trust US Equity Dividend Select_Close_average,First Trust US Equity Dividend Select_Close_max,First Trust US Equity Dividend Select_Close_min,First Trust US Equity Dividend Select_Close_volatility,First Trust US Equity Dividend Select_Close_change
2018-01-14,22.56,22.56,22.56,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2018-01-21,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.93,22.93,22.93,0.0,0.0
2018-01-28,21.98,21.98,21.98,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2018-02-04,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0
2018-02-11,22.11,22.11,22.11,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-02-18,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-02-25,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2018-03-04,22.24,22.24,22.24,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2018-03-11,21.81,21.81,21.81,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.71,21.71,21.71,0.0,0.0
2018-03-18,20.67,20.67,20.67,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2018-03-25,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-04-01,20.95,20.95,20.95,0.0,0.0,21.08,21.08,21.08,0.0,0.0,20.95,20.95,20.95,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2018-04-08,21.22,21.22,21.22,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2018-04-15,21.09,21.09,21.09,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2018-04-22,21.33,21.33,21.33,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-04-29,20.88,20.88,20.88,0.0,0.0,21.12,21.12,21.12,0.0,0.0,20.88,20.88,20.88,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2018-05-06,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-05-13,21.58,21.58,21.58,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2018-05-20,21.39,21.39,21.39,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-05-27,21.58,21.58,21.58,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0
