Date,iShares US PharmaceuticalsEtf_Open_average,iShares US PharmaceuticalsEtf_Open_max,iShares US PharmaceuticalsEtf_Open_min,iShares US PharmaceuticalsEtf_Open_volatility,iShares US PharmaceuticalsEtf_Open_change,iShares US PharmaceuticalsEtf_High_average,iShares US PharmaceuticalsEtf_High_max,iShares US PharmaceuticalsEtf_High_min,iShares US PharmaceuticalsEtf_High_volatility,iShares US PharmaceuticalsEtf_High_change,iShares US PharmaceuticalsEtf_Low_average,iShares US PharmaceuticalsEtf_Low_max,iShares US PharmaceuticalsEtf_Low_min,iShares US PharmaceuticalsEtf_Low_volatility,iShares US PharmaceuticalsEtf_Low_change,iShares US PharmaceuticalsEtf_Close_average,iShares US PharmaceuticalsEtf_Close_max,iShares US PharmaceuticalsEtf_Close_min,iShares US PharmaceuticalsEtf_Close_volatility,iShares US PharmaceuticalsEtf_Close_change
2018-01-14,160.11,160.11,160.11,0.0,0.0,160.79,160.79,160.79,0.0,0.0,159.7,159.7,159.7,0.0,0.0,160.79,160.79,160.79,0.0,0.0
2018-01-21,164.66,164.66,164.66,0.0,0.0,165.51,165.51,165.51,0.0,0.0,164.66,164.66,164.66,0.0,0.0,165.42,165.42,165.42,0.0,0.0
2018-01-28,156.74,156.74,156.74,0.0,0.0,157.62,157.62,157.62,0.0,0.0,155.0,155.0,155.0,0.0,0.0,155.03,155.03,155.03,0.0,0.0
2018-02-04,146.86,146.86,146.86,0.0,0.0,147.42,147.42,147.42,0.0,0.0,141.76,141.76,141.76,0.0,0.0,146.75,146.75,146.75,0.0,0.0
2018-02-11,154.74,154.74,154.74,0.0,0.0,155.55,155.55,155.55,0.0,0.0,154.37,154.37,154.37,0.0,0.0,155.22,155.22,155.22,0.0,0.0
2018-02-18,152.58,152.58,152.58,0.0,0.0,153.7,153.7,153.7,0.0,0.0,152.27,152.27,152.27,0.0,0.0,153.7,153.7,153.7,0.0,0.0
2018-02-25,146.98,146.98,146.98,0.0,0.0,150.78,150.78,150.78,0.0,0.0,146.98,146.98,146.98,0.0,0.0,150.46,150.46,150.46,0.0,0.0
2018-03-04,152.58,152.58,152.58,0.0,0.0,154.1,154.1,154.1,0.0,0.0,152.31,152.31,152.31,0.0,0.0,154.1,154.1,154.1,0.0,0.0
2018-03-11,152.24,152.24,152.24,0.0,0.0,153.46,153.46,153.46,0.0,0.0,152.24,152.24,152.24,0.0,0.0,153.46,153.46,153.46,0.0,0.0
2018-03-18,147.6,147.6,147.6,0.0,0.0,147.6,147.6,147.6,0.0,0.0,144.38,144.38,144.38,0.0,0.0,144.38,144.38,144.38,0.0,0.0
