Date,SPDR Barclays Short Term Intl Treasury Bond_Open_average,SPDR Barclays Short Term Intl Treasury Bond_Open_max,SPDR Barclays Short Term Intl Treasury Bond_Open_min,SPDR Barclays Short Term Intl Treasury Bond_Open_volatility,SPDR Barclays Short Term Intl Treasury Bond_Open_change,SPDR Barclays Short Term Intl Treasury Bond_High_average,SPDR Barclays Short Term Intl Treasury Bond_High_max,SPDR Barclays Short Term Intl Treasury Bond_High_min,SPDR Barclays Short Term Intl Treasury Bond_High_volatility,SPDR Barclays Short Term Intl Treasury Bond_High_change,SPDR Barclays Short Term Intl Treasury Bond_Low_average,SPDR Barclays Short Term Intl Treasury Bond_Low_max,SPDR Barclays Short Term Intl Treasury Bond_Low_min,SPDR Barclays Short Term Intl Treasury Bond_Low_volatility,SPDR Barclays Short Term Intl Treasury Bond_Low_change,SPDR Barclays Short Term Intl Treasury Bond_Close_average,SPDR Barclays Short Term Intl Treasury Bond_Close_max,SPDR Barclays Short Term Intl Treasury Bond_Close_min,SPDR Barclays Short Term Intl Treasury Bond_Close_volatility,SPDR Barclays Short Term Intl Treasury Bond_Close_change
2018-01-14,32.7,32.7,32.7,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-01-21,33.31,33.31,33.31,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-01-28,33.08,33.08,33.08,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-02-04,32.83,32.83,32.83,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-02-11,33.33,33.33,33.33,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-02-18,32.99,32.99,32.99,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-02-25,32.97,32.97,32.97,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-03-04,33.0,33.0,33.0,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-03-11,32.98,32.98,32.98,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-03-18,33.23,33.23,33.23,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-03-25,33.11,33.11,33.11,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-04-01,33.0,33.0,33.0,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.02,33.02,33.02,0.0,0.0
