Date,ARK Genomic Revolution Multi-Sector_Open_average,ARK Genomic Revolution Multi-Sector_Open_max,ARK Genomic Revolution Multi-Sector_Open_min,ARK Genomic Revolution Multi-Sector_Open_volatility,ARK Genomic Revolution Multi-Sector_Open_change,ARK Genomic Revolution Multi-Sector_High_average,ARK Genomic Revolution Multi-Sector_High_max,ARK Genomic Revolution Multi-Sector_High_min,ARK Genomic Revolution Multi-Sector_High_volatility,ARK Genomic Revolution Multi-Sector_High_change,ARK Genomic Revolution Multi-Sector_Low_average,ARK Genomic Revolution Multi-Sector_Low_max,ARK Genomic Revolution Multi-Sector_Low_min,ARK Genomic Revolution Multi-Sector_Low_volatility,ARK Genomic Revolution Multi-Sector_Low_change,ARK Genomic Revolution Multi-Sector_Close_average,ARK Genomic Revolution Multi-Sector_Close_max,ARK Genomic Revolution Multi-Sector_Close_min,ARK Genomic Revolution Multi-Sector_Close_volatility,ARK Genomic Revolution Multi-Sector_Close_change
2018-01-14,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-01-21,28.56,28.56,28.56,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-01-28,27.1,27.1,27.1,0.0,0.0,27.35,27.35,27.35,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2018-02-04,25.32,25.32,25.32,0.0,0.0,25.98,25.98,25.98,0.0,0.0,24.0,24.0,24.0,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-02-11,26.88,26.88,26.88,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-02-18,27.0,27.0,27.0,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.46,26.46,26.46,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-02-25,26.33,26.33,26.33,0.0,0.0,27.57,27.57,27.57,0.0,0.0,26.06,26.06,26.06,0.0,0.0,27.51,27.51,27.51,0.0,0.0
2018-03-04,29.69,29.69,29.69,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.31,29.31,29.31,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-03-11,28.52,28.52,28.52,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-03-18,27.46,27.46,27.46,0.0,0.0,27.87,27.87,27.87,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-03-25,25.93,25.93,25.93,0.0,0.0,26.14,26.14,26.14,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-04-01,25.27,25.27,25.27,0.0,0.0,25.75,25.75,25.75,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-04-08,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-04-15,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2018-04-22,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.93,25.93,25.93,0.0,0.0
