Date,IVAC_Open_average,IVAC_Open_max,IVAC_Open_min,IVAC_Open_volatility,IVAC_Open_change,IVAC_High_average,IVAC_High_max,IVAC_High_min,IVAC_High_volatility,IVAC_High_change,IVAC_Low_average,IVAC_Low_max,IVAC_Low_min,IVAC_Low_volatility,IVAC_Low_change,IVAC_Close_average,IVAC_Close_max,IVAC_Close_min,IVAC_Close_volatility,IVAC_Close_change,IVAC_Volume_average,IVAC_Volume_max,IVAC_Volume_min,IVAC_Volume_volatility,IVAC_Volume_change
2018-01-14,6.87,7.1,6.75,0.34999999999999964,0.34999999999999964,7.054,7.2,6.82,0.3799999999999999,0.04999999999999982,6.7700000000000005,7.0,6.65,0.34999999999999964,0.34999999999999964,6.92,7.2,6.75,0.4500000000000002,0.4500000000000002,86402,145613,66064,79549,68753
2018-01-21,6.99,7.2,6.85,0.35000000000000053,-0.35000000000000053,7.08,7.4,6.9,0.5,-0.5,6.828,7.1,6.69,0.40999999999999925,-0.40999999999999925,6.89,7.15,6.75,0.40000000000000036,-0.40000000000000036,93711,136458,52806,83652,-22862
2018-01-28,6.58,6.9,6.35,0.5500000000000007,-0.3000000000000007,6.856,7.05,6.65,0.39999999999999947,-0.39999999999999947,6.448,6.74,6.24,0.5,-0.35999999999999943,6.63,6.85,6.35,0.5,-0.5,167225,238385,114453,123932,123932
2018-02-04,6.28,6.4,6.2,0.20000000000000018,0.0,6.516,6.6,6.4,0.1999999999999993,-0.14999999999999947,6.192,6.3,6.1,0.20000000000000018,-0.009999999999999787,6.29,6.35,6.2,0.14999999999999947,-0.04999999999999982,128513,181432,86180,95252,-67224
2018-02-11,6.2875,6.35,6.25,0.09999999999999964,-0.04999999999999982,6.425000000000001,6.45,6.4,0.04999999999999982,0.0,6.2125,6.25,6.15,0.09999999999999964,-0.09999999999999964,6.275,6.35,6.2,0.14999999999999947,-0.14999999999999947,111331,186164,78101,108063,88605
2018-02-18,6.21,6.25,6.15,0.09999999999999964,0.09999999999999964,6.34,6.45,6.25,0.20000000000000018,0.05000000000000071,6.136,6.2,6.09,0.11000000000000032,0.010000000000000675,6.226,6.28,6.15,0.1299999999999999,0.03000000000000025,108709,135179,70398,64781,4602
2018-02-25,6.46,6.8,6.25,0.5499999999999998,0.5499999999999998,6.624,6.9,6.25,0.6500000000000004,0.4500000000000002,6.266,6.55,6.0,0.5499999999999998,0.22000000000000064,6.47,6.8,6.05,0.75,0.2999999999999998,154885,275125,80051,195074,76386
2018-03-04,6.97,7.5,6.55,0.9500000000000002,0.9500000000000002,7.196,7.55,6.75,0.7999999999999998,0.7800000000000002,6.854,7.1,6.5,0.5999999999999996,0.5499999999999998,7.07,7.5,6.7,0.7999999999999998,0.4500000000000002,144641,190709,75426,115283,57311
2018-03-11,6.74,7.15,6.25,0.9000000000000004,-0.6500000000000004,6.862,7.25,6.53,0.7199999999999998,-0.7199999999999998,6.5,7.0,6.25,0.75,-0.75,6.57,7.05,6.25,0.7999999999999998,-0.75,107905,131137,84063,47074,47074
2018-03-18,6.2,6.3,6.1,0.20000000000000018,-0.04999999999999982,6.376,6.55,6.13,0.41999999999999993,-0.14999999999999947,6.09,6.15,6.0,0.15000000000000036,-0.05000000000000071,6.12,6.25,6.05,0.20000000000000018,-0.05000000000000071,126950,182112,75015,107097,40303
