Date,Direxion Daily Financial Bull 3X SharesEtf_Open_average,Direxion Daily Financial Bull 3X SharesEtf_Open_max,Direxion Daily Financial Bull 3X SharesEtf_Open_min,Direxion Daily Financial Bull 3X SharesEtf_Open_volatility,Direxion Daily Financial Bull 3X SharesEtf_Open_change,Direxion Daily Financial Bull 3X SharesEtf_High_average,Direxion Daily Financial Bull 3X SharesEtf_High_max,Direxion Daily Financial Bull 3X SharesEtf_High_min,Direxion Daily Financial Bull 3X SharesEtf_High_volatility,Direxion Daily Financial Bull 3X SharesEtf_High_change,Direxion Daily Financial Bull 3X SharesEtf_Low_average,Direxion Daily Financial Bull 3X SharesEtf_Low_max,Direxion Daily Financial Bull 3X SharesEtf_Low_min,Direxion Daily Financial Bull 3X SharesEtf_Low_volatility,Direxion Daily Financial Bull 3X SharesEtf_Low_change,Direxion Daily Financial Bull 3X SharesEtf_Close_average,Direxion Daily Financial Bull 3X SharesEtf_Close_max,Direxion Daily Financial Bull 3X SharesEtf_Close_min,Direxion Daily Financial Bull 3X SharesEtf_Close_volatility,Direxion Daily Financial Bull 3X SharesEtf_Close_change
2018-01-14,75.8,75.8,75.8,0.0,0.0,76.89,76.89,76.89,0.0,0.0,75.61,75.61,75.61,0.0,0.0,76.89,76.89,76.89,0.0,0.0
2018-01-21,80.78,80.78,80.78,0.0,0.0,81.71,81.71,81.71,0.0,0.0,79.85,79.85,79.85,0.0,0.0,81.71,81.71,81.71,0.0,0.0
2018-01-28,78.75,78.75,78.75,0.0,0.0,79.0,79.0,79.0,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.82,74.82,74.82,0.0,0.0
2018-02-04,62.99,62.99,62.99,0.0,0.0,64.25,64.25,64.25,0.0,0.0,57.11,57.11,57.11,0.0,0.0,63.0,63.0,63.0,0.0,0.0
2018-02-11,70.51,70.51,70.51,0.0,0.0,72.9,72.9,72.9,0.0,0.0,70.27,70.27,70.27,0.0,0.0,71.46,71.46,71.46,0.0,0.0
2018-02-18,69.76,69.76,69.76,0.0,0.0,72.0,72.0,72.0,0.0,0.0,69.5,69.5,69.5,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2018-02-25,65.5,65.5,65.5,0.0,0.0,68.0,68.0,68.0,0.0,0.0,64.05,64.05,64.05,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-03-04,73.37,73.37,73.37,0.0,0.0,76.24,76.24,76.24,0.0,0.0,72.89,72.89,72.89,0.0,0.0,76.18,76.18,76.18,0.0,0.0
2018-03-11,72.66,72.66,72.66,0.0,0.0,74.15,74.15,74.15,0.0,0.0,72.66,72.66,72.66,0.0,0.0,73.17,73.17,73.17,0.0,0.0
2018-03-18,65.1,65.1,65.1,0.0,0.0,65.8,65.8,65.8,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.68,59.68,59.68,0.0,0.0
