Date,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_change
2018-01-14,35.93,35.93,35.93,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.84,35.84,35.84,0.0,0.0
2018-01-21,36.46,36.46,36.46,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2018-01-28,35.8,35.8,35.8,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-02-04,33.39,33.39,33.39,0.0,0.0,33.82,33.82,33.82,0.0,0.0,32.64,32.64,32.64,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2018-02-11,34.59,34.59,34.59,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-02-18,34.67,34.67,34.67,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-02-25,33.65,33.65,33.65,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2018-03-04,34.57,34.57,34.57,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-03-11,34.59,34.59,34.59,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-03-18,33.88,33.88,33.88,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-03-25,33.86,33.86,33.86,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.86,33.86,33.86,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2018-04-01,34.03,34.03,34.03,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.97,33.97,33.97,0.0,0.0
