Date,Direxion Daily SP Biotech Bull 3X_Open_average,Direxion Daily SP Biotech Bull 3X_Open_max,Direxion Daily SP Biotech Bull 3X_Open_min,Direxion Daily SP Biotech Bull 3X_Open_volatility,Direxion Daily SP Biotech Bull 3X_Open_change,Direxion Daily SP Biotech Bull 3X_High_average,Direxion Daily SP Biotech Bull 3X_High_max,Direxion Daily SP Biotech Bull 3X_High_min,Direxion Daily SP Biotech Bull 3X_High_volatility,Direxion Daily SP Biotech Bull 3X_High_change,Direxion Daily SP Biotech Bull 3X_Low_average,Direxion Daily SP Biotech Bull 3X_Low_max,Direxion Daily SP Biotech Bull 3X_Low_min,Direxion Daily SP Biotech Bull 3X_Low_volatility,Direxion Daily SP Biotech Bull 3X_Low_change,Direxion Daily SP Biotech Bull 3X_Close_average,Direxion Daily SP Biotech Bull 3X_Close_max,Direxion Daily SP Biotech Bull 3X_Close_min,Direxion Daily SP Biotech Bull 3X_Close_volatility,Direxion Daily SP Biotech Bull 3X_Close_change
2018-01-14,92.82,92.82,92.82,0.0,0.0,103.3,103.3,103.3,0.0,0.0,92.82,92.82,92.82,0.0,0.0,102.84,102.84,102.84,0.0,0.0
2018-01-21,109.94,109.94,109.94,0.0,0.0,116.54,116.54,116.54,0.0,0.0,109.52,109.52,109.52,0.0,0.0,113.32,113.32,113.32,0.0,0.0
2018-01-28,92.43,92.43,92.43,0.0,0.0,99.43,99.43,99.43,0.0,0.0,85.0,85.0,85.0,0.0,0.0,85.12,85.12,85.12,0.0,0.0
2018-02-04,82.0,82.0,82.0,0.0,0.0,87.65,87.65,87.65,0.0,0.0,79.2,79.2,79.2,0.0,0.0,85.06,85.06,85.06,0.0,0.0
2018-02-11,94.67,94.67,94.67,0.0,0.0,98.95,98.95,98.95,0.0,0.0,93.88,93.88,93.88,0.0,0.0,95.34,95.34,95.34,0.0,0.0
2018-02-18,97.0,97.0,97.0,0.0,0.0,98.55,98.55,98.55,0.0,0.0,94.0,94.0,94.0,0.0,0.0,97.62,97.62,97.62,0.0,0.0
2018-02-25,92.53,92.53,92.53,0.0,0.0,98.69,98.69,98.69,0.0,0.0,92.38,92.38,92.38,0.0,0.0,97.67,97.67,97.67,0.0,0.0
2018-03-04,108.73,108.73,108.73,0.0,0.0,109.95,109.95,109.95,0.0,0.0,105.15,105.15,105.15,0.0,0.0,109.06,109.06,109.06,0.0,0.0
2018-03-11,97.0,97.0,97.0,0.0,0.0,98.86,98.86,98.86,0.0,0.0,89.0,89.0,89.0,0.0,0.0,92.53,92.53,92.53,0.0,0.0
2018-03-18,87.09,87.09,87.09,0.0,0.0,89.92,89.92,89.92,0.0,0.0,81.5,81.5,81.5,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2018-03-25,78.8,78.8,78.8,0.0,0.0,78.8,78.8,78.8,0.0,0.0,67.18,67.18,67.18,0.0,0.0,68.89,68.89,68.89,0.0,0.0
2018-04-01,69.95,69.95,69.95,0.0,0.0,74.6,74.6,74.6,0.0,0.0,69.92,69.92,69.92,0.0,0.0,71.17,71.17,71.17,0.0,0.0
2018-04-08,83.5,83.5,83.5,0.0,0.0,84.86,84.86,84.86,0.0,0.0,79.14,79.14,79.14,0.0,0.0,80.6,80.6,80.6,0.0,0.0
2018-04-15,80.0,80.0,80.0,0.0,0.0,80.62,80.62,80.62,0.0,0.0,75.6,75.6,75.6,0.0,0.0,77.86,77.86,77.86,0.0,0.0
2018-04-22,79.63,79.63,79.63,0.0,0.0,80.55,80.55,80.55,0.0,0.0,74.65,74.65,74.65,0.0,0.0,74.65,74.65,74.65,0.0,0.0
2018-04-29,76.31,76.31,76.31,0.0,0.0,79.55,79.55,79.55,0.0,0.0,76.22,76.22,76.22,0.0,0.0,78.36,78.36,78.36,0.0,0.0
2018-05-06,87.5,87.5,87.5,0.0,0.0,90.74,90.74,90.74,0.0,0.0,86.5,86.5,86.5,0.0,0.0,89.96,89.96,89.96,0.0,0.0
2018-05-13,93.65,93.65,93.65,0.0,0.0,94.49,94.49,94.49,0.0,0.0,85.46,85.46,85.46,0.0,0.0,86.79,86.79,86.79,0.0,0.0
2018-05-20,89.36,89.36,89.36,0.0,0.0,91.2,91.2,91.2,0.0,0.0,88.25,88.25,88.25,0.0,0.0,90.01,90.01,90.01,0.0,0.0
2018-05-27,102.84,102.84,102.84,0.0,0.0,103.72,103.72,103.72,0.0,0.0,94.54,94.54,94.54,0.0,0.0,100.25,100.25,100.25,0.0,0.0
2018-06-03,99.89,99.89,99.89,0.0,0.0,100.6,100.6,100.6,0.0,0.0,96.5,96.5,96.5,0.0,0.0,98.27,98.27,98.27,0.0,0.0
2018-06-10,100.68,100.68,100.68,0.0,0.0,103.74,103.74,103.74,0.0,0.0,99.03,99.03,99.03,0.0,0.0,103.0,103.0,103.0,0.0,0.0
2018-06-17,105.5,105.5,105.5,0.0,0.0,106.4,106.4,106.4,0.0,0.0,97.35,97.35,97.35,0.0,0.0,99.0,99.0,99.0,0.0,0.0
2018-06-24,92.5,92.5,92.5,0.0,0.0,98.15,98.15,98.15,0.0,0.0,91.3,91.3,91.3,0.0,0.0,98.15,98.15,98.15,0.0,0.0
2018-07-01,112.0,112.0,112.0,0.0,0.0,113.25,113.25,113.25,0.0,0.0,106.52,106.52,106.52,0.0,0.0,109.85,109.85,109.85,0.0,0.0
