Date,Vanguard Growth_Open_average,Vanguard Growth_Open_max,Vanguard Growth_Open_min,Vanguard Growth_Open_volatility,Vanguard Growth_Open_change,Vanguard Growth_High_average,Vanguard Growth_High_max,Vanguard Growth_High_min,Vanguard Growth_High_volatility,Vanguard Growth_High_change,Vanguard Growth_Low_average,Vanguard Growth_Low_max,Vanguard Growth_Low_min,Vanguard Growth_Low_volatility,Vanguard Growth_Low_change,Vanguard Growth_Close_average,Vanguard Growth_Close_max,Vanguard Growth_Close_min,Vanguard Growth_Close_volatility,Vanguard Growth_Close_change
2018-01-14,149.05,149.05,149.05,0.0,0.0,150.41,150.41,150.41,0.0,0.0,149.01,149.01,149.01,0.0,0.0,150.41,150.41,150.41,0.0,0.0
2018-01-21,152.04,152.04,152.04,0.0,0.0,152.22,152.22,152.22,0.0,0.0,151.07,151.07,151.07,0.0,0.0,151.24,151.24,151.24,0.0,0.0
2018-01-28,145.47,145.47,145.47,0.0,0.0,147.27,147.27,147.27,0.0,0.0,140.8,140.8,140.8,0.0,0.0,140.8,140.8,140.8,0.0,0.0
2018-02-04,140.74,140.74,140.74,0.0,0.0,142.39,142.39,142.39,0.0,0.0,139.61,139.61,139.61,0.0,0.0,141.58,141.58,141.58,0.0,0.0
2018-02-11,145.89,145.89,145.89,0.0,0.0,147.26,147.26,147.26,0.0,0.0,145.81,145.81,145.81,0.0,0.0,146.16,146.16,146.16,0.0,0.0
2018-02-18,148.34,148.34,148.34,0.0,0.0,149.32,149.32,149.32,0.0,0.0,147.97,147.97,147.97,0.0,0.0,149.28,149.28,149.28,0.0,0.0
2018-02-25,144.11,144.11,144.11,0.0,0.0,146.79,146.79,146.79,0.0,0.0,143.95,143.95,143.95,0.0,0.0,146.48,146.48,146.48,0.0,0.0
2018-03-04,151.18,151.18,151.18,0.0,0.0,151.6,151.6,151.6,0.0,0.0,150.8,150.8,150.8,0.0,0.0,151.11,151.11,151.11,0.0,0.0
2018-03-11,148.52,148.52,148.52,0.0,0.0,148.52,148.52,148.52,0.0,0.0,145.86,145.86,145.86,0.0,0.0,146.93,146.93,146.93,0.0,0.0
2018-03-18,142.19,142.19,142.19,0.0,0.0,143.95,143.95,143.95,0.0,0.0,140.22,140.22,140.22,0.0,0.0,143.82,143.82,143.82,0.0,0.0
2018-03-25,141.25,141.25,141.25,0.0,0.0,141.55,141.55,141.55,0.0,0.0,137.01,137.01,137.01,0.0,0.0,138.4,138.4,138.4,0.0,0.0
2018-04-01,140.35,140.35,140.35,0.0,0.0,142.07,142.07,142.07,0.0,0.0,139.78,139.78,139.78,0.0,0.0,139.88,139.88,139.88,0.0,0.0
2018-04-08,143.56,143.56,143.56,0.0,0.0,143.97,143.97,143.97,0.0,0.0,142.91,142.91,142.91,0.0,0.0,143.52,143.52,143.52,0.0,0.0
2018-04-15,143.59,143.59,143.59,0.0,0.0,143.89,143.89,143.89,0.0,0.0,142.17,142.17,142.17,0.0,0.0,142.85,142.85,142.85,0.0,0.0
2018-04-22,143.27,143.27,143.27,0.0,0.0,143.94,143.94,143.94,0.0,0.0,142.26,142.26,142.26,0.0,0.0,142.27,142.27,142.27,0.0,0.0
2018-04-29,145.37,145.37,145.37,0.0,0.0,146.13,146.13,146.13,0.0,0.0,145.12,145.12,145.12,0.0,0.0,145.61,145.61,145.61,0.0,0.0
2018-05-06,149.11,149.11,149.11,0.0,0.0,149.49,149.49,149.49,0.0,0.0,148.41,148.41,148.41,0.0,0.0,148.62,148.62,148.62,0.0,0.0
2018-05-13,148.66,148.66,148.66,0.0,0.0,149.12,149.12,149.12,0.0,0.0,148.25,148.25,148.25,0.0,0.0,148.71,148.71,148.71,0.0,0.0
2018-05-20,148.66,148.66,148.66,0.0,0.0,149.06,149.06,149.06,0.0,0.0,148.4,148.4,148.4,0.0,0.0,148.65,148.65,148.65,0.0,0.0
2018-05-27,150.68,150.68,150.68,0.0,0.0,151.4,151.4,151.4,0.0,0.0,150.66,150.66,150.66,0.0,0.0,151.38,151.38,151.38,0.0,0.0
2018-06-03,152.86,152.86,152.86,0.0,0.0,153.4,153.4,153.4,0.0,0.0,152.73,152.73,152.73,0.0,0.0,153.03,153.03,153.03,0.0,0.0
2018-06-10,153.16,153.16,153.16,0.0,0.0,154.21,154.21,154.21,0.0,0.0,152.91,152.91,152.91,0.0,0.0,154.13,154.13,154.13,0.0,0.0
2018-06-17,151.41,151.41,151.41,0.0,0.0,151.47,151.47,151.47,0.0,0.0,148.26,148.26,148.26,0.0,0.0,149.31,149.31,149.31,0.0,0.0
2018-06-24,148.82,148.82,148.82,0.0,0.0,150.42,150.42,150.42,0.0,0.0,148.52,148.52,148.52,0.0,0.0,150.37,150.37,150.37,0.0,0.0
2018-07-01,153.31,153.31,153.31,0.0,0.0,153.88,153.88,153.88,0.0,0.0,152.84,152.84,152.84,0.0,0.0,153.84,153.84,153.84,0.0,0.0
2018-07-08,155.48,155.48,155.48,0.0,0.0,155.52,155.52,155.52,0.0,0.0,154.73,154.73,154.73,0.0,0.0,154.96,154.96,154.96,0.0,0.0
2018-07-15,155.08,155.08,155.08,0.0,0.0,155.36,155.36,155.36,0.0,0.0,154.36,154.36,154.36,0.0,0.0,155.31,155.31,155.31,0.0,0.0
2018-07-22,154.54,154.54,154.54,0.0,0.0,154.66,154.66,154.66,0.0,0.0,152.09,152.09,152.09,0.0,0.0,152.68,152.68,152.68,0.0,0.0
2018-07-29,155.65,155.65,155.65,0.0,0.0,156.43,156.43,156.43,0.0,0.0,155.41,155.41,155.41,0.0,0.0,156.4,156.4,156.4,0.0,0.0
2018-08-05,156.03,156.03,156.03,0.0,0.0,156.8,156.8,156.8,0.0,0.0,155.39,155.39,155.39,0.0,0.0,155.49,155.49,155.49,0.0,0.0
2018-08-12,156.39,156.39,156.39,0.0,0.0,156.57,156.57,156.57,0.0,0.0,155.77,155.77,155.77,0.0,0.0,156.31,156.31,156.31,0.0,0.0
2018-08-19,159.15,159.15,159.15,0.0,0.0,159.65,159.65,159.65,0.0,0.0,158.68,158.68,158.68,0.0,0.0,159.55,159.55,159.55,0.0,0.0
2018-08-26,160.44,160.44,160.44,0.0,0.0,161.13,161.13,161.13,0.0,0.0,160.33,160.33,160.33,0.0,0.0,160.74,160.74,160.74,0.0,0.0
2018-09-02,158.85,158.85,158.85,0.0,0.0,158.85,158.85,158.85,0.0,0.0,158.12,158.12,158.12,0.0,0.0,158.46,158.46,158.46,0.0,0.0
2018-09-09,160.0,160.0,160.0,0.0,0.0,160.0,160.0,160.0,0.0,0.0,158.26,158.26,158.26,0.0,0.0,158.44,158.44,158.44,0.0,0.0
2018-09-16,159.68,159.68,159.68,0.0,0.0,160.37,160.37,160.37,0.0,0.0,159.13,159.13,159.13,0.0,0.0,160.31,160.31,160.31,0.0,0.0
2018-09-23,161.98,161.98,161.98,0.0,0.0,162.36,162.36,162.36,0.0,0.0,161.11,161.11,161.11,0.0,0.0,161.42,161.42,161.42,0.0,0.0
2018-09-30,156.64,156.64,156.64,0.0,0.0,157.39,157.39,157.39,0.0,0.0,154.87,154.87,154.87,0.0,0.0,156.42,156.42,156.42,0.0,0.0
2018-10-07,150.62,150.62,150.62,0.0,0.0,151.08,151.08,151.08,0.0,0.0,149.42,149.42,149.42,0.0,0.0,149.69,149.69,149.69,0.0,0.0
2018-10-14,150.37,150.37,150.37,0.0,0.0,150.72,150.72,150.72,0.0,0.0,149.03,149.03,149.03,0.0,0.0,149.81,149.81,149.81,0.0,0.0
2018-10-21,145.94,145.94,145.94,0.0,0.0,146.46,146.46,146.46,0.0,0.0,139.31,139.31,139.31,0.0,0.0,141.77,141.77,141.77,0.0,0.0
2018-10-28,147.18,147.18,147.18,0.0,0.0,147.33,147.33,147.33,0.0,0.0,145.69,145.69,145.69,0.0,0.0,146.99,146.99,146.99,0.0,0.0
2018-11-04,148.83,148.83,148.83,0.0,0.0,148.99,148.99,148.99,0.0,0.0,145.44,145.44,145.44,0.0,0.0,145.64,145.64,145.64,0.0,0.0
2018-11-11,145.67,145.67,145.67,0.0,0.0,145.67,145.67,145.67,0.0,0.0,141.59,141.59,141.59,0.0,0.0,142.01,142.01,142.01,0.0,0.0
2018-11-18,141.04,141.04,141.04,0.0,0.0,142.04,142.04,142.04,0.0,0.0,140.59,140.59,140.59,0.0,0.0,142.0,142.0,142.0,0.0,0.0
2018-11-25,150.35,150.35,150.35,0.0,0.0,150.54,150.54,150.54,0.0,0.0,148.91,148.91,148.91,0.0,0.0,149.86,149.86,149.86,0.0,0.0
2018-12-02,140.68,140.68,140.68,0.0,0.0,142.24,142.24,142.24,0.0,0.0,138.67,138.67,138.67,0.0,0.0,141.66,141.66,141.66,0.0,0.0
2018-12-09,139.29,139.29,139.29,0.0,0.0,139.98,139.98,139.98,0.0,0.0,135.75,135.75,135.75,0.0,0.0,136.61,136.61,136.61,0.0,0.0
2018-12-16,126.94,126.94,126.94,0.0,0.0,128.3,128.3,128.3,0.0,0.0,124.85,124.85,124.85,0.0,0.0,124.85,124.85,124.85,0.0,0.0
2018-12-23,134.19,134.19,134.19,0.0,0.0,134.58,134.58,134.58,0.0,0.0,132.91,132.91,132.91,0.0,0.0,134.33,134.33,134.33,0.0,0.0
2018-12-30,135.63,135.63,135.63,0.0,0.0,137.53,137.53,137.53,0.0,0.0,135.34,135.34,135.34,0.0,0.0,136.74,136.74,136.74,0.0,0.0
2019-01-06,138.65,138.65,138.65,0.0,0.0,139.33,139.33,139.33,0.0,0.0,138.23,138.23,138.23,0.0,0.0,138.78,138.78,138.78,0.0,0.0
