Date,ProShares Ultra Consumer Services_Open_average,ProShares Ultra Consumer Services_Open_max,ProShares Ultra Consumer Services_Open_min,ProShares Ultra Consumer Services_Open_volatility,ProShares Ultra Consumer Services_Open_change,ProShares Ultra Consumer Services_High_average,ProShares Ultra Consumer Services_High_max,ProShares Ultra Consumer Services_High_min,ProShares Ultra Consumer Services_High_volatility,ProShares Ultra Consumer Services_High_change,ProShares Ultra Consumer Services_Low_average,ProShares Ultra Consumer Services_Low_max,ProShares Ultra Consumer Services_Low_min,ProShares Ultra Consumer Services_Low_volatility,ProShares Ultra Consumer Services_Low_change,ProShares Ultra Consumer Services_Close_average,ProShares Ultra Consumer Services_Close_max,ProShares Ultra Consumer Services_Close_min,ProShares Ultra Consumer Services_Close_volatility,ProShares Ultra Consumer Services_Close_change
2018-01-14,92.49,92.49,92.49,0.0,0.0,93.86,93.86,93.86,0.0,0.0,92.49,92.49,92.49,0.0,0.0,93.86,93.86,93.86,0.0,0.0
2018-01-21,98.56,98.56,98.56,0.0,0.0,99.9,99.9,99.9,0.0,0.0,97.47,97.47,97.47,0.0,0.0,98.22,98.22,98.22,0.0,0.0
2018-01-28,89.81,89.81,89.81,0.0,0.0,92.08,92.08,92.08,0.0,0.0,85.35,85.35,85.35,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2018-02-04,82.97,82.97,82.97,0.0,0.0,84.5,84.5,84.5,0.0,0.0,82.0,82.0,82.0,0.0,0.0,84.5,84.5,84.5,0.0,0.0
2018-02-11,89.96,89.96,89.96,0.0,0.0,89.96,89.96,89.96,0.0,0.0,89.48,89.48,89.48,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2018-02-18,90.75,90.75,90.75,0.0,0.0,91.06,91.06,91.06,0.0,0.0,90.5,90.5,90.5,0.0,0.0,91.05,91.05,91.05,0.0,0.0
2018-02-25,86.98,86.98,86.98,0.0,0.0,87.82,87.82,87.82,0.0,0.0,86.98,86.98,86.98,0.0,0.0,87.82,87.82,87.82,0.0,0.0
2018-03-04,90.64,90.64,90.64,0.0,0.0,91.67,91.67,91.67,0.0,0.0,90.64,90.64,90.64,0.0,0.0,91.21,91.21,91.21,0.0,0.0
2018-03-11,88.09,88.09,88.09,0.0,0.0,88.25,88.25,88.25,0.0,0.0,88.04,88.04,88.04,0.0,0.0,88.25,88.25,88.25,0.0,0.0
2018-03-18,83.88,83.88,83.88,0.0,0.0,84.04,84.04,84.04,0.0,0.0,83.45,83.45,83.45,0.0,0.0,84.0,84.0,84.0,0.0,0.0
2018-03-25,79.69,79.69,79.69,0.0,0.0,79.69,79.69,79.69,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.84,76.84,76.84,0.0,0.0
2018-04-01,81.51,81.51,81.51,0.0,0.0,81.86,81.86,81.86,0.0,0.0,81.43,81.43,81.43,0.0,0.0,81.86,81.86,81.86,0.0,0.0
2018-04-08,81.14,81.14,81.14,0.0,0.0,83.11,83.11,83.11,0.0,0.0,81.07,81.07,81.07,0.0,0.0,82.67,82.67,82.67,0.0,0.0
2018-04-15,85.11,85.11,85.11,0.0,0.0,85.11,85.11,85.11,0.0,0.0,85.11,85.11,85.11,0.0,0.0,85.11,85.11,85.11,0.0,0.0
2018-04-22,87.08,87.08,87.08,0.0,0.0,87.08,87.08,87.08,0.0,0.0,85.43,85.43,85.43,0.0,0.0,85.43,85.43,85.43,0.0,0.0
2018-04-29,85.45,85.45,85.45,0.0,0.0,85.97,85.97,85.97,0.0,0.0,85.45,85.45,85.45,0.0,0.0,85.78,85.78,85.78,0.0,0.0
2018-05-06,85.9,85.9,85.9,0.0,0.0,86.81,86.81,86.81,0.0,0.0,85.9,85.9,85.9,0.0,0.0,86.81,86.81,86.81,0.0,0.0
2018-05-13,87.3,87.3,87.3,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.06,87.06,87.06,0.0,0.0,87.06,87.06,87.06,0.0,0.0
2018-05-20,87.68,87.68,87.68,0.0,0.0,87.76,87.76,87.76,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.68,87.68,87.68,0.0,0.0
2018-05-27,88.5,88.5,88.5,0.0,0.0,89.15,89.15,89.15,0.0,0.0,88.5,88.5,88.5,0.0,0.0,89.06,89.06,89.06,0.0,0.0
2018-06-03,93.71,93.71,93.71,0.0,0.0,94.37,94.37,94.37,0.0,0.0,93.11,93.11,93.11,0.0,0.0,94.03,94.03,94.03,0.0,0.0
2018-06-10,96.94,96.94,96.94,0.0,0.0,96.94,96.94,96.94,0.0,0.0,96.94,96.94,96.94,0.0,0.0,96.94,96.94,96.94,0.0,0.0
2018-06-17,94.73,94.73,94.73,0.0,0.0,94.73,94.73,94.73,0.0,0.0,93.43,93.43,93.43,0.0,0.0,93.81,93.81,93.81,0.0,0.0
