Date,PowerShares International Dividend Achievers Portf_Open_average,PowerShares International Dividend Achievers Portf_Open_max,PowerShares International Dividend Achievers Portf_Open_min,PowerShares International Dividend Achievers Portf_Open_volatility,PowerShares International Dividend Achievers Portf_Open_change,PowerShares International Dividend Achievers Portf_High_average,PowerShares International Dividend Achievers Portf_High_max,PowerShares International Dividend Achievers Portf_High_min,PowerShares International Dividend Achievers Portf_High_volatility,PowerShares International Dividend Achievers Portf_High_change,PowerShares International Dividend Achievers Portf_Low_average,PowerShares International Dividend Achievers Portf_Low_max,PowerShares International Dividend Achievers Portf_Low_min,PowerShares International Dividend Achievers Portf_Low_volatility,PowerShares International Dividend Achievers Portf_Low_change,PowerShares International Dividend Achievers Portf_Close_average,PowerShares International Dividend Achievers Portf_Close_max,PowerShares International Dividend Achievers Portf_Close_min,PowerShares International Dividend Achievers Portf_Close_volatility,PowerShares International Dividend Achievers Portf_Close_change
2018-01-14,17.06,17.06,17.06,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.13,17.13,17.13,0.0,0.0
2018-01-21,17.25,17.25,17.25,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.16,17.16,17.16,0.0,0.0
2018-01-28,16.56,16.56,16.56,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2018-02-04,15.92,15.92,15.92,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.89,15.89,15.89,0.0,0.0,16.02,16.02,16.02,0.0,0.0
2018-02-11,16.44,16.44,16.44,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2018-02-18,16.45,16.45,16.45,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.45,16.45,16.45,0.0,0.0
2018-02-25,15.73,15.73,15.73,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.72,15.72,15.72,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2018-03-04,16.0,16.0,16.0,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-03-11,15.77,15.77,15.77,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2018-03-18,15.49,15.49,15.49,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2018-03-25,15.66,15.66,15.66,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.56,15.56,15.56,0.0,0.0
