Date,iShares 1-3 Year International Treasury BondEtf_Open_average,iShares 1-3 Year International Treasury BondEtf_Open_max,iShares 1-3 Year International Treasury BondEtf_Open_min,iShares 1-3 Year International Treasury BondEtf_Open_volatility,iShares 1-3 Year International Treasury BondEtf_Open_change,iShares 1-3 Year International Treasury BondEtf_High_average,iShares 1-3 Year International Treasury BondEtf_High_max,iShares 1-3 Year International Treasury BondEtf_High_min,iShares 1-3 Year International Treasury BondEtf_High_volatility,iShares 1-3 Year International Treasury BondEtf_High_change,iShares 1-3 Year International Treasury BondEtf_Low_average,iShares 1-3 Year International Treasury BondEtf_Low_max,iShares 1-3 Year International Treasury BondEtf_Low_min,iShares 1-3 Year International Treasury BondEtf_Low_volatility,iShares 1-3 Year International Treasury BondEtf_Low_change,iShares 1-3 Year International Treasury BondEtf_Close_average,iShares 1-3 Year International Treasury BondEtf_Close_max,iShares 1-3 Year International Treasury BondEtf_Close_min,iShares 1-3 Year International Treasury BondEtf_Close_volatility,iShares 1-3 Year International Treasury BondEtf_Close_change
2018-01-14,85.84,85.84,85.84,0.0,0.0,85.87,85.87,85.87,0.0,0.0,85.75,85.75,85.75,0.0,0.0,85.81,85.81,85.81,0.0,0.0
2018-01-21,87.12,87.12,87.12,0.0,0.0,87.46,87.46,87.46,0.0,0.0,87.12,87.12,87.12,0.0,0.0,87.28,87.28,87.28,0.0,0.0
2018-01-28,86.99,86.99,86.99,0.0,0.0,86.99,86.99,86.99,0.0,0.0,86.66,86.66,86.66,0.0,0.0,86.66,86.66,86.66,0.0,0.0
2018-02-04,85.96,85.96,85.96,0.0,0.0,85.97,85.97,85.97,0.0,0.0,85.81,85.81,85.81,0.0,0.0,85.85,85.85,85.85,0.0,0.0
2018-02-11,87.55,87.55,87.55,0.0,0.0,87.55,87.55,87.55,0.0,0.0,87.41,87.41,87.41,0.0,0.0,87.41,87.41,87.41,0.0,0.0
2018-02-18,86.79,86.79,86.79,0.0,0.0,86.79,86.79,86.79,0.0,0.0,86.72,86.72,86.72,0.0,0.0,86.72,86.72,86.72,0.0,0.0
2018-02-25,86.8,86.8,86.8,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.77,86.77,86.77,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2018-03-04,86.85,86.85,86.85,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.85,86.85,86.85,0.0,0.0
2018-03-11,86.7,86.7,86.7,0.0,0.0,86.81,86.81,86.81,0.0,0.0,86.48,86.48,86.48,0.0,0.0,86.48,86.48,86.48,0.0,0.0
2018-03-18,86.86,86.86,86.86,0.0,0.0,87.32,87.32,87.32,0.0,0.0,86.86,86.86,86.86,0.0,0.0,87.21,87.21,87.21,0.0,0.0
2018-03-25,86.57,86.57,86.57,0.0,0.0,86.81,86.81,86.81,0.0,0.0,86.57,86.57,86.57,0.0,0.0,86.71,86.71,86.71,0.0,0.0
2018-04-01,86.0,86.0,86.0,0.0,0.0,86.54,86.54,86.54,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.54,86.54,86.54,0.0,0.0
2018-04-08,86.53,86.53,86.53,0.0,0.0,86.57,86.57,86.57,0.0,0.0,86.53,86.53,86.53,0.0,0.0,86.57,86.57,86.57,0.0,0.0
2018-04-15,86.49,86.49,86.49,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.24,86.24,86.24,0.0,0.0
