Date,iShares MSCI EurozoneEtf_Open_average,iShares MSCI EurozoneEtf_Open_max,iShares MSCI EurozoneEtf_Open_min,iShares MSCI EurozoneEtf_Open_volatility,iShares MSCI EurozoneEtf_Open_change,iShares MSCI EurozoneEtf_High_average,iShares MSCI EurozoneEtf_High_max,iShares MSCI EurozoneEtf_High_min,iShares MSCI EurozoneEtf_High_volatility,iShares MSCI EurozoneEtf_High_change,iShares MSCI EurozoneEtf_Low_average,iShares MSCI EurozoneEtf_Low_max,iShares MSCI EurozoneEtf_Low_min,iShares MSCI EurozoneEtf_Low_volatility,iShares MSCI EurozoneEtf_Low_change,iShares MSCI EurozoneEtf_Close_average,iShares MSCI EurozoneEtf_Close_max,iShares MSCI EurozoneEtf_Close_min,iShares MSCI EurozoneEtf_Close_volatility,iShares MSCI EurozoneEtf_Close_change
2018-01-14,46.4,46.4,46.4,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-01-21,46.94,46.94,46.94,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2018-01-28,45.88,45.88,45.88,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2018-02-04,42.84,42.84,42.84,0.0,0.0,43.03,43.03,43.03,0.0,0.0,41.7,41.7,41.7,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2018-02-11,44.47,44.47,44.47,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-02-18,44.24,44.24,44.24,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.41,44.41,44.41,0.0,0.0
2018-02-25,42.89,42.89,42.89,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.65,42.65,42.65,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-03-04,44.05,44.05,44.05,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-03-11,43.99,43.99,43.99,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-03-18,42.92,42.92,42.92,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-03-25,43.39,43.39,43.39,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-04-01,43.71,43.71,43.71,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-04-08,44.56,44.56,44.56,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.46,44.46,44.46,0.0,0.0
