Date,Direxion Daily Latin America Bull 3X Shares_Open_average,Direxion Daily Latin America Bull 3X Shares_Open_max,Direxion Daily Latin America Bull 3X Shares_Open_min,Direxion Daily Latin America Bull 3X Shares_Open_volatility,Direxion Daily Latin America Bull 3X Shares_Open_change,Direxion Daily Latin America Bull 3X Shares_High_average,Direxion Daily Latin America Bull 3X Shares_High_max,Direxion Daily Latin America Bull 3X Shares_High_min,Direxion Daily Latin America Bull 3X Shares_High_volatility,Direxion Daily Latin America Bull 3X Shares_High_change,Direxion Daily Latin America Bull 3X Shares_Low_average,Direxion Daily Latin America Bull 3X Shares_Low_max,Direxion Daily Latin America Bull 3X Shares_Low_min,Direxion Daily Latin America Bull 3X Shares_Low_volatility,Direxion Daily Latin America Bull 3X Shares_Low_change,Direxion Daily Latin America Bull 3X Shares_Close_average,Direxion Daily Latin America Bull 3X Shares_Close_max,Direxion Daily Latin America Bull 3X Shares_Close_min,Direxion Daily Latin America Bull 3X Shares_Close_volatility,Direxion Daily Latin America Bull 3X Shares_Close_change
2018-01-14,844.6,844.6,844.6,0.0,0.0,845.4,845.4,845.4,0.0,0.0,820.4,820.4,820.4,0.0,0.0,841.0,841.0,841.0,0.0,0.0
2018-01-21,943.0,943.0,943.0,0.0,0.0,980.6,980.6,980.6,0.0,0.0,933.4,933.4,933.4,0.0,0.0,979.0,979.0,979.0,0.0,0.0
2018-01-28,900.2,900.2,900.2,0.0,0.0,907.52,907.52,907.52,0.0,0.0,860.2,860.2,860.2,0.0,0.0,862.0,862.0,862.0,0.0,0.0
2018-02-04,749.4,749.4,749.4,0.0,0.0,750.34,750.34,750.34,0.0,0.0,687.19,687.19,687.19,0.0,0.0,743.6,743.6,743.6,0.0,0.0
2018-02-11,841.8,841.8,841.8,0.0,0.0,881.0,881.0,881.0,0.0,0.0,837.0,837.0,837.0,0.0,0.0,858.8,858.8,858.8,0.0,0.0
2018-02-18,902.4,902.4,902.4,0.0,0.0,906.4,906.4,906.4,0.0,0.0,889.6,889.6,889.6,0.0,0.0,902.6,902.6,902.6,0.0,0.0
2018-02-25,794.6,794.6,794.6,0.0,0.0,828.39,828.39,828.39,0.0,0.0,770.6,770.6,770.6,0.0,0.0,828.39,828.39,828.39,0.0,0.0
2018-03-04,849.8,849.8,849.8,0.0,0.0,870.15,870.15,870.15,0.0,0.0,849.8,849.8,849.8,0.0,0.0,864.0,864.0,864.0,0.0,0.0
2018-03-11,804.0,804.0,804.0,0.0,0.0,813.07,813.07,813.07,0.0,0.0,793.4,793.4,793.4,0.0,0.0,795.45,795.45,795.45,0.0,0.0
2018-03-18,763.4,763.4,763.4,0.0,0.0,780.0,780.0,780.0,0.0,0.0,747.6,747.6,747.6,0.0,0.0,747.6,747.6,747.6,0.0,0.0
