Date,Franklin FTSE Hong Kong_etf_Open_average,Franklin FTSE Hong Kong_etf_Open_max,Franklin FTSE Hong Kong_etf_Open_min,Franklin FTSE Hong Kong_etf_Open_volatility,Franklin FTSE Hong Kong_etf_Open_change,Franklin FTSE Hong Kong_etf_High_average,Franklin FTSE Hong Kong_etf_High_max,Franklin FTSE Hong Kong_etf_High_min,Franklin FTSE Hong Kong_etf_High_volatility,Franklin FTSE Hong Kong_etf_High_change,Franklin FTSE Hong Kong_etf_Low_average,Franklin FTSE Hong Kong_etf_Low_max,Franklin FTSE Hong Kong_etf_Low_min,Franklin FTSE Hong Kong_etf_Low_volatility,Franklin FTSE Hong Kong_etf_Low_change,Franklin FTSE Hong Kong_etf_Close_average,Franklin FTSE Hong Kong_etf_Close_max,Franklin FTSE Hong Kong_etf_Close_min,Franklin FTSE Hong Kong_etf_Close_volatility,Franklin FTSE Hong Kong_etf_Close_change
2018-01-14,27.41,27.41,27.41,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-01-21,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-01-28,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-02-04,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-11,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-02-18,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-02-25,26.56,26.56,26.56,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2018-03-04,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-03-11,27.05,27.05,27.05,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-03-18,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2018-03-25,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2018-04-01,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-04-08,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2018-04-15,26.45,26.45,26.45,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-04-22,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2018-04-29,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-05-06,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-05-13,27.5,27.5,27.5,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.51,27.51,27.51,0.0,0.0
