Date,LEU_stock_Open_average,LEU_stock_Open_max,LEU_stock_Open_min,LEU_stock_Open_volatility,LEU_stock_Open_change,LEU_stock_High_average,LEU_stock_High_max,LEU_stock_High_min,LEU_stock_High_volatility,LEU_stock_High_change,LEU_stock_Low_average,LEU_stock_Low_max,LEU_stock_Low_min,LEU_stock_Low_volatility,LEU_stock_Low_change,LEU_stock_Close_average,LEU_stock_Close_max,LEU_stock_Close_min,LEU_stock_Close_volatility,LEU_stock_Close_change,LEU_stock_Volume_average,LEU_stock_Volume_max,LEU_stock_Volume_min,LEU_stock_Volume_volatility,LEU_stock_Volume_change
2018-01-14,3.7025,3.75,3.66,0.08999999999999986,-0.04999999999999982,3.7375,3.77,3.67,0.10000000000000009,0.009999999999999787,3.6725,3.69,3.65,0.040000000000000036,0.020000000000000018,3.7024999999999997,3.76,3.67,0.08999999999999986,0.08999999999999986,2245,3756,702,3054,-132
2018-01-21,3.83,3.93,3.76,0.17000000000000037,0.0900000000000003,3.882,3.96,3.82,0.14000000000000012,0.03000000000000025,3.808,3.87,3.76,0.11000000000000032,0.040000000000000036,3.87,3.96,3.82,0.14000000000000012,0.03000000000000025,2843,7726,495,7231,-7129
2018-01-28,3.724,3.83,3.6,0.22999999999999998,-0.20999999999999996,3.774,3.87,3.62,0.25,-0.21999999999999975,3.5996,3.68,3.4,0.28000000000000025,-0.28000000000000025,3.6596,3.86,3.43,0.4299999999999997,-0.27,2390,4344,1000,3344,2311
2018-02-04,3.568,3.77,3.35,0.41999999999999993,0.2599999999999998,3.762,4.08,3.47,0.6099999999999999,0.21999999999999975,3.48,3.63,3.32,0.31000000000000005,0.18000000000000016,3.5738,3.7119999999999997,3.327,0.3849999999999998,0.17300000000000004,2266,6919,384,6535,-4306
2018-02-11,3.5825,3.65,3.48,0.16999999999999993,0.16999999999999993,3.6875,3.77,3.6,0.16999999999999993,0.16999999999999993,3.575,3.65,3.48,0.16999999999999993,0.16999999999999993,3.68,3.77,3.58,0.18999999999999995,0.16999999999999993,897,2303,28,2275,-129
2018-02-18,3.6325,3.71,3.57,0.14000000000000012,0.10000000000000009,3.6925,3.76,3.63,0.1299999999999999,0.040000000000000036,3.61775,3.7030000000000003,3.57,0.13300000000000045,0.058000000000000274,3.66775,3.71,3.628,0.08199999999999985,-0.0019999999999997797,457,1323,1,1322,3
2018-02-25,3.634,3.68,3.6,0.08000000000000007,0.06000000000000005,3.686,3.74,3.61,0.13000000000000034,-0.020000000000000018,3.5766,3.62,3.53,0.0900000000000003,-0.0900000000000003,3.6226,3.73,3.55,0.18000000000000016,-0.15000000000000036,717,1358,186,1172,729
2018-03-04,3.604,3.7,3.52,0.18000000000000016,0.14000000000000012,3.642,3.7,3.55,0.15000000000000036,0.11000000000000032,3.552,3.61,3.52,0.08999999999999986,0.08999999999999986,3.552,3.61,3.52,0.08999999999999986,0.08999999999999986,1796,5667,102,5565,-5565
2018-03-11,3.65,3.75,3.57,0.18000000000000016,0.18000000000000016,3.79,4.1,3.64,0.4599999999999995,0.11999999999999966,3.588,3.65,3.52,0.1299999999999999,0.08000000000000007,3.674,3.75,3.6,0.1499999999999999,0.009999999999999787,9825,29466,392,29074,16892
2018-03-18,3.786,3.91,3.61,0.30000000000000027,0.16000000000000014,3.874,3.93,3.76,0.17000000000000037,0.11000000000000032,3.69,3.8,3.56,0.23999999999999977,0.1299999999999999,3.864,3.93,3.76,0.17000000000000037,0.11000000000000032,1785,2804,847,1957,-1160
