Date,iShares Edge MSCI Min Vol Japan_Open_average,iShares Edge MSCI Min Vol Japan_Open_max,iShares Edge MSCI Min Vol Japan_Open_min,iShares Edge MSCI Min Vol Japan_Open_volatility,iShares Edge MSCI Min Vol Japan_Open_change,iShares Edge MSCI Min Vol Japan_High_average,iShares Edge MSCI Min Vol Japan_High_max,iShares Edge MSCI Min Vol Japan_High_min,iShares Edge MSCI Min Vol Japan_High_volatility,iShares Edge MSCI Min Vol Japan_High_change,iShares Edge MSCI Min Vol Japan_Low_average,iShares Edge MSCI Min Vol Japan_Low_max,iShares Edge MSCI Min Vol Japan_Low_min,iShares Edge MSCI Min Vol Japan_Low_volatility,iShares Edge MSCI Min Vol Japan_Low_change,iShares Edge MSCI Min Vol Japan_Close_average,iShares Edge MSCI Min Vol Japan_Close_max,iShares Edge MSCI Min Vol Japan_Close_min,iShares Edge MSCI Min Vol Japan_Close_volatility,iShares Edge MSCI Min Vol Japan_Close_change
2018-01-14,70.76,70.76,70.76,0.0,0.0,70.95,70.95,70.95,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.95,70.95,70.95,0.0,0.0
2018-01-21,71.81,71.81,71.81,0.0,0.0,71.82,71.82,71.82,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.77,71.77,71.77,0.0,0.0
2018-01-28,68.84,68.84,68.84,0.0,0.0,68.84,68.84,68.84,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.42,67.42,67.42,0.0,0.0
2018-02-04,67.36,67.36,67.36,0.0,0.0,67.89,67.89,67.89,0.0,0.0,67.31,67.31,67.31,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2018-02-11,69.55,69.55,69.55,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.47,69.47,69.47,0.0,0.0,69.48,69.48,69.48,0.0,0.0
2018-02-18,70.13,70.13,70.13,0.0,0.0,70.44,70.44,70.44,0.0,0.0,70.13,70.13,70.13,0.0,0.0,70.44,70.44,70.44,0.0,0.0
2018-02-25,68.13,68.13,68.13,0.0,0.0,68.76,68.76,68.76,0.0,0.0,68.13,68.13,68.13,0.0,0.0,68.76,68.76,68.76,0.0,0.0
2018-03-04,69.15,69.15,69.15,0.0,0.0,69.15,69.15,69.15,0.0,0.0,68.99,68.99,68.99,0.0,0.0,69.03,69.03,69.03,0.0,0.0
2018-03-11,68.95,68.95,68.95,0.0,0.0,68.95,68.95,68.95,0.0,0.0,68.26,68.26,68.26,0.0,0.0,68.51,68.51,68.51,0.0,0.0
2018-03-18,68.21,68.21,68.21,0.0,0.0,68.34,68.34,68.34,0.0,0.0,67.92,67.92,67.92,0.0,0.0,68.34,68.34,68.34,0.0,0.0
2018-03-25,69.31,69.31,69.31,0.0,0.0,69.4,69.4,69.4,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2018-04-01,70.6,70.6,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2018-04-08,69.89,69.89,69.89,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.89,69.89,69.89,0.0,0.0
2018-04-15,69.7,69.7,69.7,0.0,0.0,69.7,69.7,69.7,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.69,69.69,69.69,0.0,0.0
2018-04-22,70.37,70.37,70.37,0.0,0.0,70.47,70.47,70.47,0.0,0.0,70.26,70.26,70.26,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2018-04-29,70.2,70.2,70.2,0.0,0.0,70.2,70.2,70.2,0.0,0.0,70.15,70.15,70.15,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2018-05-06,70.27,70.27,70.27,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.27,70.27,70.27,0.0,0.0,70.35,70.35,70.35,0.0,0.0
2018-05-13,69.48,69.48,69.48,0.0,0.0,69.61,69.61,69.61,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.61,69.61,69.61,0.0,0.0
2018-05-20,69.57,69.57,69.57,0.0,0.0,69.63,69.63,69.63,0.0,0.0,69.55,69.55,69.55,0.0,0.0,69.63,69.63,69.63,0.0,0.0
2018-05-27,70.15,70.15,70.15,0.0,0.0,70.15,70.15,70.15,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2018-06-03,70.45,70.45,70.45,0.0,0.0,70.5,70.5,70.5,0.0,0.0,70.41,70.41,70.41,0.0,0.0,70.45,70.45,70.45,0.0,0.0
2018-06-10,70.19,70.19,70.19,0.0,0.0,70.26,70.26,70.26,0.0,0.0,70.12,70.12,70.12,0.0,0.0,70.26,70.26,70.26,0.0,0.0
2018-06-17,68.51,68.51,68.51,0.0,0.0,68.51,68.51,68.51,0.0,0.0,68.27,68.27,68.27,0.0,0.0,68.27,68.27,68.27,0.0,0.0
2018-06-24,66.57,66.57,66.57,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.58,66.58,66.58,0.0,0.0
2018-07-01,67.34,67.34,67.34,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.31,67.31,67.31,0.0,0.0,67.33,67.33,67.33,0.0,0.0
2018-07-08,66.61,66.61,66.61,0.0,0.0,66.61,66.61,66.61,0.0,0.0,66.48,66.48,66.48,0.0,0.0,66.48,66.48,66.48,0.0,0.0
2018-07-15,67.94,67.94,67.94,0.0,0.0,67.94,67.94,67.94,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.85,67.85,67.85,0.0,0.0
2018-07-22,68.5,68.5,68.5,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.24,68.24,68.24,0.0,0.0,68.24,68.24,68.24,0.0,0.0
2018-07-29,66.94,66.94,66.94,0.0,0.0,67.03,67.03,67.03,0.0,0.0,66.94,66.94,66.94,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-08-05,66.42,66.42,66.42,0.0,0.0,66.42,66.42,66.42,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.41,66.41,66.41,0.0,0.0
2018-08-12,66.36,66.36,66.36,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.36,66.36,66.36,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2018-08-19,66.9,66.9,66.9,0.0,0.0,67.02,67.02,67.02,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.02,67.02,67.02,0.0,0.0
2018-08-26,66.81,66.81,66.81,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2018-09-02,65.96,65.96,65.96,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2018-09-09,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0
2018-09-16,68.48,68.48,68.48,0.0,0.0,68.49,68.49,68.49,0.0,0.0,68.38,68.38,68.38,0.0,0.0,68.39,68.39,68.39,0.0,0.0
2018-09-23,68.96,68.96,68.96,0.0,0.0,68.98,68.98,68.98,0.0,0.0,68.94,68.94,68.94,0.0,0.0,68.94,68.94,68.94,0.0,0.0
2018-09-30,67.61,67.61,67.61,0.0,0.0,67.69,67.69,67.69,0.0,0.0,67.61,67.61,67.61,0.0,0.0,67.67,67.67,67.67,0.0,0.0
2018-10-07,65.34,65.34,65.34,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-10-14,66.09,66.09,66.09,0.0,0.0,66.09,66.09,66.09,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2018-10-21,63.96,63.96,63.96,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.56,63.56,63.56,0.0,0.0
2018-10-28,64.08,64.08,64.08,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.08,64.08,64.08,0.0,0.0
2018-11-04,64.97,64.97,64.97,0.0,0.0,64.97,64.97,64.97,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.46,64.46,64.46,0.0,0.0
2018-11-11,65.19,65.19,65.19,0.0,0.0,65.19,65.19,65.19,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.07,65.07,65.07,0.0,0.0
2018-11-18,65.62,65.62,65.62,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-11-25,66.53,66.53,66.53,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.27,66.27,66.27,0.0,0.0,66.4,66.4,66.4,0.0,0.0
2018-12-02,64.3,64.3,64.3,0.0,0.0,64.31,64.31,64.31,0.0,0.0,63.82,63.82,63.82,0.0,0.0,64.26,64.26,64.26,0.0,0.0
2018-12-09,64.47,64.47,64.47,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-12-16,61.06,61.06,61.06,0.0,0.0,61.3,61.3,61.3,0.0,0.0,60.73,60.73,60.73,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2018-12-23,63.05,63.05,63.05,0.0,0.0,63.17,63.17,63.17,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-12-30,64.9,64.9,64.9,0.0,0.0,65.23,65.23,65.23,0.0,0.0,64.84,64.84,64.84,0.0,0.0,64.99,64.99,64.99,0.0,0.0
2019-01-06,64.87,64.87,64.87,0.0,0.0,65.05,65.05,65.05,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2019-01-13,65.57,65.57,65.57,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.79,65.79,65.79,0.0,0.0
2019-01-20,64.65,64.65,64.65,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.81,64.81,64.81,0.0,0.0
2019-01-27,65.67,65.67,65.67,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.67,65.67,65.67,0.0,0.0,65.94,65.94,65.94,0.0,0.0
2019-02-03,64.2,64.2,64.2,0.0,0.0,64.26,64.26,64.26,0.0,0.0,64.06,64.06,64.06,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2019-02-10,65.67,65.67,65.67,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.67,65.67,65.67,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2019-02-17,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2019-02-24,65.53,65.53,65.53,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.24,65.24,65.24,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2019-03-03,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0
2019-03-10,65.83,65.83,65.83,0.0,0.0,65.87,65.87,65.87,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2019-03-17,65.42,65.42,65.42,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.65,65.65,65.65,0.0,0.0
