Date,iShares Morningstar Small-Cap Growth_Open_average,iShares Morningstar Small-Cap Growth_Open_max,iShares Morningstar Small-Cap Growth_Open_min,iShares Morningstar Small-Cap Growth_Open_volatility,iShares Morningstar Small-Cap Growth_Open_change,iShares Morningstar Small-Cap Growth_High_average,iShares Morningstar Small-Cap Growth_High_max,iShares Morningstar Small-Cap Growth_High_min,iShares Morningstar Small-Cap Growth_High_volatility,iShares Morningstar Small-Cap Growth_High_change,iShares Morningstar Small-Cap Growth_Low_average,iShares Morningstar Small-Cap Growth_Low_max,iShares Morningstar Small-Cap Growth_Low_min,iShares Morningstar Small-Cap Growth_Low_volatility,iShares Morningstar Small-Cap Growth_Low_change,iShares Morningstar Small-Cap Growth_Close_average,iShares Morningstar Small-Cap Growth_Close_max,iShares Morningstar Small-Cap Growth_Close_min,iShares Morningstar Small-Cap Growth_Close_volatility,iShares Morningstar Small-Cap Growth_Close_change
2018-01-14,186.05,186.05,186.05,0.0,0.0,187.07,187.07,187.07,0.0,0.0,186.05,186.05,186.05,0.0,0.0,187.07,187.07,187.07,0.0,0.0
2018-01-21,187.88,187.88,187.88,0.0,0.0,188.34,188.34,188.34,0.0,0.0,187.88,187.88,187.88,0.0,0.0,188.22,188.22,188.22,0.0,0.0
2018-01-28,180.71,180.71,180.71,0.0,0.0,182.5,182.5,182.5,0.0,0.0,176.85,176.85,176.85,0.0,0.0,177.32,177.32,177.32,0.0,0.0
2018-02-04,172.37,172.37,172.37,0.0,0.0,175.6,175.6,175.6,0.0,0.0,172.37,172.37,172.37,0.0,0.0,175.6,175.6,175.6,0.0,0.0
2018-02-11,181.14,181.14,181.14,0.0,0.0,183.55,183.55,183.55,0.0,0.0,181.14,181.14,181.14,0.0,0.0,182.76,182.76,182.76,0.0,0.0
2018-02-18,184.29,184.29,184.29,0.0,0.0,184.29,184.29,184.29,0.0,0.0,184.22,184.22,184.22,0.0,0.0,184.22,184.22,184.22,0.0,0.0
2018-02-25,182.5,182.5,182.5,0.0,0.0,184.42,184.42,184.42,0.0,0.0,182.29,182.29,182.29,0.0,0.0,184.42,184.42,184.42,0.0,0.0
2018-03-04,191.95,191.95,191.95,0.0,0.0,191.95,191.95,191.95,0.0,0.0,191.95,191.95,191.95,0.0,0.0,191.95,191.95,191.95,0.0,0.0
2018-03-11,190.42,190.42,190.42,0.0,0.0,190.42,190.42,190.42,0.0,0.0,187.29,187.29,187.29,0.0,0.0,189.28,189.28,189.28,0.0,0.0
2018-03-18,183.95,183.95,183.95,0.0,0.0,184.52,184.52,184.52,0.0,0.0,183.95,183.95,183.95,0.0,0.0,184.52,184.52,184.52,0.0,0.0
