Date,UBS E-TRACS Bloomberg CMCI Gold_Open_average,UBS E-TRACS Bloomberg CMCI Gold_Open_max,UBS E-TRACS Bloomberg CMCI Gold_Open_volatility,UBS E-TRACS Bloomberg CMCI Gold_Open_change,UBS E-TRACS Bloomberg CMCI Gold_High_average,UBS E-TRACS Bloomberg CMCI Gold_High_max,UBS E-TRACS Bloomberg CMCI Gold_High_volatility,UBS E-TRACS Bloomberg CMCI Gold_High_change,UBS E-TRACS Bloomberg CMCI Gold_Low_average,UBS E-TRACS Bloomberg CMCI Gold_Low_max,UBS E-TRACS Bloomberg CMCI Gold_Low_volatility,UBS E-TRACS Bloomberg CMCI Gold_Low_change,UBS E-TRACS Bloomberg CMCI Gold_Close_average,UBS E-TRACS Bloomberg CMCI Gold_Close_max,UBS E-TRACS Bloomberg CMCI Gold_Close_volatility,UBS E-TRACS Bloomberg CMCI Gold_Close_change
2016-01-03,29.5,29.5,0.0,0.0,29.5,29.5,0.0,0.0,28.13,28.13,0.0,0.0,28.13,28.13,0.0,0.0
2016-01-10,27.95,27.95,0.0,0.0,28.01,28.01,0.0,0.0,27.95,27.95,0.0,0.0,28.01,28.01,0.0,0.0
2016-01-17,28.24,28.24,0.0,0.0,28.24,28.24,0.0,0.0,28.24,28.24,0.0,0.0,28.24,28.24,0.0,0.0
2016-01-24,28.68,28.68,0.0,0.0,28.69,28.69,0.0,0.0,28.58,28.58,0.0,0.0,28.61,28.61,0.0,0.0
2016-01-31,30.77,30.77,0.0,0.0,30.87,30.87,0.0,0.0,30.7,30.7,0.0,0.0,30.87,30.87,0.0,0.0
2016-02-07,31.63,31.63,0.0,0.0,32.22,32.22,0.0,0.0,31.63,31.63,0.0,0.0,32.22,32.22,0.0,0.0
2016-02-14,31.68,31.68,0.0,0.0,31.72,31.72,0.0,0.0,31.68,31.68,0.0,0.0,31.72,31.72,0.0,0.0
2016-02-21,31.57,31.57,0.0,0.0,31.57,31.57,0.0,0.0,31.5,31.5,0.0,0.0,31.5,31.5,0.0,0.0
2016-02-28,33.92,33.92,0.0,0.0,33.92,33.92,0.0,0.0,32.67,32.67,0.0,0.0,32.67,32.67,0.0,0.0
2016-03-06,32.13,32.13,0.0,0.0,32.13,32.13,0.0,0.0,31.6,31.6,0.0,0.0,31.67,31.67,0.0,0.0
2016-03-13,31.99,31.99,0.0,0.0,32.02,32.02,0.0,0.0,31.99,31.99,0.0,0.0,32.02,32.02,0.0,0.0
2016-03-20,31.41,31.41,0.0,0.0,31.41,31.41,0.0,0.0,31.41,31.41,0.0,0.0,31.41,31.41,0.0,0.0
2016-03-27,31.31,31.31,0.0,0.0,32.0,32.0,0.0,0.0,31.23,31.23,0.0,0.0,31.29,31.29,0.0,0.0
2016-04-03,31.95,31.95,0.0,0.0,32.4,32.4,0.0,0.0,31.95,31.95,0.0,0.0,32.4,32.4,0.0,0.0
2016-04-10,31.68,31.68,0.0,0.0,31.75,31.75,0.0,0.0,31.68,31.68,0.0,0.0,31.75,31.75,0.0,0.0
2016-04-17,32.23,32.23,0.0,0.0,32.23,32.23,0.0,0.0,32.23,32.23,0.0,0.0,32.23,32.23,0.0,0.0
2016-04-24,33.3,33.3,0.0,0.0,33.37,33.37,0.0,0.0,33.28,33.28,0.0,0.0,33.28,33.28,0.0,0.0
2016-05-01,32.61,32.61,0.0,0.0,32.68,32.68,0.0,0.0,32.6,32.6,0.0,0.0,32.6,32.6,0.0,0.0
2016-05-08,32.83,32.83,0.0,0.0,32.83,32.83,0.0,0.0,32.83,32.83,0.0,0.0,32.83,32.83,0.0,0.0
2016-05-15,32.06,32.06,0.0,0.0,33.0,33.0,0.0,0.0,32.06,32.06,0.0,0.0,33.0,33.0,0.0,0.0
2016-05-22,31.48,31.48,0.0,0.0,31.55,31.55,0.0,0.0,31.48,31.48,0.0,0.0,31.55,31.55,0.0,0.0
2016-05-29,32.1,32.1,0.0,0.0,32.1,32.1,0.0,0.0,32.1,32.1,0.0,0.0,32.1,32.1,0.0,0.0
2016-06-05,31.0,31.0,0.0,0.0,32.81,32.81,0.0,0.0,31.0,31.0,0.0,0.0,32.81,32.81,0.0,0.0
2016-06-12,33.2,33.2,0.0,0.0,33.39,33.39,0.0,0.0,33.2,33.2,0.0,0.0,33.39,33.39,0.0,0.0
2016-06-19,33.7,33.7,0.0,0.0,34.33,34.33,0.0,0.0,33.7,33.7,0.0,0.0,34.33,34.33,0.0,0.0
