Date,NuShares ESG Large-Cap Value_Open_average,NuShares ESG Large-Cap Value_Open_max,NuShares ESG Large-Cap Value_Open_min,NuShares ESG Large-Cap Value_Open_volatility,NuShares ESG Large-Cap Value_Open_change,NuShares ESG Large-Cap Value_High_average,NuShares ESG Large-Cap Value_High_max,NuShares ESG Large-Cap Value_High_min,NuShares ESG Large-Cap Value_High_volatility,NuShares ESG Large-Cap Value_High_change,NuShares ESG Large-Cap Value_Low_average,NuShares ESG Large-Cap Value_Low_max,NuShares ESG Large-Cap Value_Low_min,NuShares ESG Large-Cap Value_Low_volatility,NuShares ESG Large-Cap Value_Low_change,NuShares ESG Large-Cap Value_Close_average,NuShares ESG Large-Cap Value_Close_max,NuShares ESG Large-Cap Value_Close_min,NuShares ESG Large-Cap Value_Close_volatility,NuShares ESG Large-Cap Value_Close_change
2018-01-14,29.96,29.96,29.96,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-01-21,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-01-28,28.99,28.99,28.99,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-02-04,28.08,28.08,28.08,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-02-11,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-02-18,29.22,29.22,29.22,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-02-25,28.51,28.51,28.51,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-03-04,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-03-11,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2018-03-18,27.88,27.88,27.88,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.88,27.88,27.88,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-03-25,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-04-01,27.89,27.89,27.89,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.89,27.89,27.89,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-04-08,28.4,28.4,28.4,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-04-15,28.35,28.35,28.35,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-04-22,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-04-29,27.95,27.95,27.95,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-05-06,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-05-13,28.83,28.83,28.83,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-05-20,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2018-05-27,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-06-03,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-06-10,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-06-17,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2018-06-24,28.35,28.35,28.35,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2018-07-01,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-07-08,29.31,29.31,29.31,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-07-15,29.26,29.26,29.26,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-07-22,29.79,29.79,29.79,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2018-07-29,29.93,29.93,29.93,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-08-05,29.69,29.69,29.69,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-08-12,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-08-19,30.48,30.48,30.48,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-08-26,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-09-02,30.39,30.39,30.39,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-09-09,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-09-16,30.9,30.9,30.9,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-09-23,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0
