Date,Global X MSCI Portugal_Open_average,Global X MSCI Portugal_Open_max,Global X MSCI Portugal_Open_min,Global X MSCI Portugal_Open_volatility,Global X MSCI Portugal_Open_change,Global X MSCI Portugal_High_average,Global X MSCI Portugal_High_max,Global X MSCI Portugal_High_min,Global X MSCI Portugal_High_volatility,Global X MSCI Portugal_High_change,Global X MSCI Portugal_Low_average,Global X MSCI Portugal_Low_max,Global X MSCI Portugal_Low_min,Global X MSCI Portugal_Low_volatility,Global X MSCI Portugal_Low_change,Global X MSCI Portugal_Close_average,Global X MSCI Portugal_Close_max,Global X MSCI Portugal_Close_min,Global X MSCI Portugal_Close_volatility,Global X MSCI Portugal_Close_change
2018-01-14,12.8,12.8,12.8,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2018-01-21,12.85,12.85,12.85,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-01-28,12.13,12.13,12.13,0.0,0.0,12.19,12.19,12.19,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.7,11.7,11.7,0.0,0.0
2018-02-04,11.84,11.84,11.84,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.84,11.84,11.84,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2018-02-11,12.22,12.22,12.22,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.32,12.32,12.32,0.0,0.0
2018-02-18,12.24,12.24,12.24,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2018-02-25,11.92,11.92,11.92,0.0,0.0,12.07,12.07,12.07,0.0,0.0,11.92,11.92,11.92,0.0,0.0,12.06,12.06,12.06,0.0,0.0
2018-03-04,12.38,12.38,12.38,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2018-03-11,12.41,12.41,12.41,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.38,12.38,12.38,0.0,0.0
2018-03-18,12.26,12.26,12.26,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2018-03-25,12.31,12.31,12.31,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2018-04-01,12.54,12.54,12.54,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.55,12.55,12.55,0.0,0.0
2018-04-08,12.62,12.62,12.62,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.62,12.62,12.62,0.0,0.0
2018-04-15,12.73,12.73,12.73,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.7,12.7,12.7,0.0,0.0
2018-04-22,12.62,12.62,12.62,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2018-04-29,12.45,12.45,12.45,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-05-06,13.05,13.05,13.05,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2018-05-13,13.06,13.06,13.06,0.0,0.0,13.1,13.1,13.1,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.09,13.09,13.09,0.0,0.0
2018-05-20,12.82,12.82,12.82,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.69,12.69,12.69,0.0,0.0
2018-05-27,12.75,12.75,12.75,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.79,12.79,12.79,0.0,0.0
2018-06-03,12.91,12.91,12.91,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.96,12.96,12.96,0.0,0.0
2018-06-10,12.57,12.57,12.57,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.68,12.68,12.68,0.0,0.0
2018-06-17,12.69,12.69,12.69,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-06-24,12.55,12.55,12.55,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.63,12.63,12.63,0.0,0.0
2018-07-01,13.09,13.09,13.09,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.09,13.09,13.09,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2018-07-08,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.98,12.98,12.98,0.0,0.0
2018-07-15,12.92,12.92,12.92,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2018-07-22,12.96,12.96,12.96,0.0,0.0,13.09,13.09,13.09,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.04,13.04,13.04,0.0,0.0
2018-07-29,12.89,12.89,12.89,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.95,12.95,12.95,0.0,0.0
2018-08-05,12.6,12.6,12.6,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-08-12,12.41,12.41,12.41,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2018-08-19,12.65,12.65,12.65,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-08-26,12.54,12.54,12.54,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2018-09-02,12.03,12.03,12.03,0.0,0.0,12.1,12.1,12.1,0.0,0.0,12.03,12.03,12.03,0.0,0.0,12.08,12.08,12.08,0.0,0.0
2018-09-09,12.2,12.2,12.2,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2018-09-16,12.4,12.4,12.4,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2018-09-23,12.04,12.04,12.04,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2018-09-30,11.63,11.63,11.63,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2018-10-07,11.43,11.43,11.43,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.4,11.4,11.4,0.0,0.0
