Date,SPDR FactSet Innovative TechnologyEtf_Open_average,SPDR FactSet Innovative TechnologyEtf_Open_max,SPDR FactSet Innovative TechnologyEtf_Open_min,SPDR FactSet Innovative TechnologyEtf_Open_volatility,SPDR FactSet Innovative TechnologyEtf_Open_change,SPDR FactSet Innovative TechnologyEtf_High_average,SPDR FactSet Innovative TechnologyEtf_High_max,SPDR FactSet Innovative TechnologyEtf_High_min,SPDR FactSet Innovative TechnologyEtf_High_volatility,SPDR FactSet Innovative TechnologyEtf_High_change,SPDR FactSet Innovative TechnologyEtf_Low_average,SPDR FactSet Innovative TechnologyEtf_Low_max,SPDR FactSet Innovative TechnologyEtf_Low_min,SPDR FactSet Innovative TechnologyEtf_Low_volatility,SPDR FactSet Innovative TechnologyEtf_Low_change,SPDR FactSet Innovative TechnologyEtf_Close_average,SPDR FactSet Innovative TechnologyEtf_Close_max,SPDR FactSet Innovative TechnologyEtf_Close_min,SPDR FactSet Innovative TechnologyEtf_Close_volatility,SPDR FactSet Innovative TechnologyEtf_Close_change
2018-01-14,83.13,83.13,83.13,0.0,0.0,83.43,83.43,83.43,0.0,0.0,82.96,82.96,82.96,0.0,0.0,83.43,83.43,83.43,0.0,0.0
2018-01-21,84.32,84.32,84.32,0.0,0.0,85.37,85.37,85.37,0.0,0.0,84.32,84.32,84.32,0.0,0.0,85.37,85.37,85.37,0.0,0.0
2018-01-28,83.66,83.66,83.66,0.0,0.0,83.66,83.66,83.66,0.0,0.0,82.6,82.6,82.6,0.0,0.0,82.61,82.61,82.61,0.0,0.0
2018-02-04,79.05,79.05,79.05,0.0,0.0,79.62,79.62,79.62,0.0,0.0,76.68,76.68,76.68,0.0,0.0,79.54,79.54,79.54,0.0,0.0
2018-02-11,86.12,86.12,86.12,0.0,0.0,86.23,86.23,86.23,0.0,0.0,85.9,85.9,85.9,0.0,0.0,86.11,86.11,86.11,0.0,0.0
2018-02-18,86.05,86.05,86.05,0.0,0.0,86.8,86.8,86.8,0.0,0.0,85.87,85.87,85.87,0.0,0.0,86.8,86.8,86.8,0.0,0.0
2018-02-25,85.12,85.12,85.12,0.0,0.0,87.95,87.95,87.95,0.0,0.0,84.98,84.98,84.98,0.0,0.0,87.95,87.95,87.95,0.0,0.0
2018-03-04,91.97,91.97,91.97,0.0,0.0,92.37,92.37,92.37,0.0,0.0,91.88,91.88,91.88,0.0,0.0,92.32,92.32,92.32,0.0,0.0
2018-03-11,91.93,91.93,91.93,0.0,0.0,92.05,92.05,92.05,0.0,0.0,91.6,91.6,91.6,0.0,0.0,92.01,92.01,92.01,0.0,0.0
2018-03-18,91.33,91.33,91.33,0.0,0.0,91.33,91.33,91.33,0.0,0.0,87.64,87.64,87.64,0.0,0.0,87.64,87.64,87.64,0.0,0.0
