Date,WisdomTree LargeCap Value_Open_average,WisdomTree LargeCap Value_Open_max,WisdomTree LargeCap Value_Open_min,WisdomTree LargeCap Value_Open_volatility,WisdomTree LargeCap Value_Open_change,WisdomTree LargeCap Value_High_average,WisdomTree LargeCap Value_High_max,WisdomTree LargeCap Value_High_min,WisdomTree LargeCap Value_High_volatility,WisdomTree LargeCap Value_High_change,WisdomTree LargeCap Value_Low_average,WisdomTree LargeCap Value_Low_max,WisdomTree LargeCap Value_Low_min,WisdomTree LargeCap Value_Low_volatility,WisdomTree LargeCap Value_Low_change,WisdomTree LargeCap Value_Close_average,WisdomTree LargeCap Value_Close_max,WisdomTree LargeCap Value_Close_min,WisdomTree LargeCap Value_Close_volatility,WisdomTree LargeCap Value_Close_change
2018-01-14,86.88,86.88,86.88,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.88,86.88,86.88,0.0,0.0
2018-01-21,88.16,88.16,88.16,0.0,0.0,88.16,88.16,88.16,0.0,0.0,87.88,87.88,87.88,0.0,0.0,87.88,87.88,87.88,0.0,0.0
2018-01-28,84.0,84.0,84.0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,82.0,82.0,82.0,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2018-02-04,81.34,81.34,81.34,0.0,0.0,81.74,81.74,81.74,0.0,0.0,81.05,81.05,81.05,0.0,0.0,81.36,81.36,81.36,0.0,0.0
2018-02-11,83.46,83.46,83.46,0.0,0.0,84.29,84.29,84.29,0.0,0.0,83.46,83.46,83.46,0.0,0.0,83.87,83.87,83.87,0.0,0.0
2018-02-18,83.89,83.89,83.89,0.0,0.0,84.26,84.26,84.26,0.0,0.0,83.88,83.88,83.88,0.0,0.0,84.26,84.26,84.26,0.0,0.0
2018-02-25,81.81,81.81,81.81,0.0,0.0,82.54,82.54,82.54,0.0,0.0,81.81,81.81,81.81,0.0,0.0,82.5,82.5,82.5,0.0,0.0
2018-03-04,84.37,84.37,84.37,0.0,0.0,84.7,84.7,84.7,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.7,84.7,84.7,0.0,0.0
2018-03-11,83.43,83.43,83.43,0.0,0.0,83.43,83.43,83.43,0.0,0.0,82.65,82.65,82.65,0.0,0.0,82.69,82.69,82.69,0.0,0.0
2018-03-18,80.52,80.52,80.52,0.0,0.0,80.62,80.62,80.62,0.0,0.0,79.96,79.96,79.96,0.0,0.0,80.62,80.62,80.62,0.0,0.0
2018-03-25,80.54,80.54,80.54,0.0,0.0,80.54,80.54,80.54,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.4,80.4,80.4,0.0,0.0
2018-04-01,80.63,80.63,80.63,0.0,0.0,80.63,80.63,80.63,0.0,0.0,80.63,80.63,80.63,0.0,0.0,80.63,80.63,80.63,0.0,0.0
2018-04-08,80.53,80.53,80.53,0.0,0.0,80.79,80.79,80.79,0.0,0.0,80.38,80.38,80.38,0.0,0.0,80.38,80.38,80.38,0.0,0.0
2018-04-15,81.19,81.19,81.19,0.0,0.0,81.34,81.34,81.34,0.0,0.0,81.1,81.1,81.1,0.0,0.0,81.26,81.26,81.26,0.0,0.0
2018-04-22,81.28,81.28,81.28,0.0,0.0,81.29,81.29,81.29,0.0,0.0,80.71,80.71,80.71,0.0,0.0,80.71,80.71,80.71,0.0,0.0
2018-04-29,80.34,80.34,80.34,0.0,0.0,80.48,80.48,80.48,0.0,0.0,80.34,80.34,80.34,0.0,0.0,80.48,80.48,80.48,0.0,0.0
2018-05-06,81.87,81.87,81.87,0.0,0.0,81.87,81.87,81.87,0.0,0.0,81.87,81.87,81.87,0.0,0.0,81.87,81.87,81.87,0.0,0.0
2018-05-13,82.9,82.9,82.9,0.0,0.0,82.9,82.9,82.9,0.0,0.0,82.73,82.73,82.73,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2018-05-20,82.56,82.56,82.56,0.0,0.0,82.56,82.56,82.56,0.0,0.0,82.33,82.33,82.33,0.0,0.0,82.33,82.33,82.33,0.0,0.0
2018-05-27,82.77,82.77,82.77,0.0,0.0,82.77,82.77,82.77,0.0,0.0,82.77,82.77,82.77,0.0,0.0,82.77,82.77,82.77,0.0,0.0
2018-06-03,84.45,84.45,84.45,0.0,0.0,85.04,85.04,85.04,0.0,0.0,84.45,84.45,84.45,0.0,0.0,85.04,85.04,85.04,0.0,0.0
2018-06-10,84.36,84.36,84.36,0.0,0.0,85.0,85.0,85.0,0.0,0.0,84.36,84.36,84.36,0.0,0.0,84.88,84.88,84.88,0.0,0.0
2018-06-17,82.99,82.99,82.99,0.0,0.0,82.99,82.99,82.99,0.0,0.0,82.43,82.43,82.43,0.0,0.0,82.44,82.44,82.44,0.0,0.0
