Date,Vanguard Extended Market_Open_average,Vanguard Extended Market_Open_max,Vanguard Extended Market_Open_min,Vanguard Extended Market_Open_volatility,Vanguard Extended Market_Open_change,Vanguard Extended Market_High_average,Vanguard Extended Market_High_max,Vanguard Extended Market_High_min,Vanguard Extended Market_High_volatility,Vanguard Extended Market_High_change,Vanguard Extended Market_Low_average,Vanguard Extended Market_Low_max,Vanguard Extended Market_Low_min,Vanguard Extended Market_Low_volatility,Vanguard Extended Market_Low_change,Vanguard Extended Market_Close_average,Vanguard Extended Market_Close_max,Vanguard Extended Market_Close_min,Vanguard Extended Market_Close_volatility,Vanguard Extended Market_Close_change
2018-01-14,116.33,116.33,116.33,0.0,0.0,117.15,117.15,117.15,0.0,0.0,116.33,116.33,116.33,0.0,0.0,117.15,117.15,117.15,0.0,0.0
2018-01-21,117.45,117.45,117.45,0.0,0.0,117.68,117.68,117.68,0.0,0.0,116.76,116.76,116.76,0.0,0.0,116.82,116.82,116.82,0.0,0.0
2018-01-28,112.49,112.49,112.49,0.0,0.0,113.52,113.52,113.52,0.0,0.0,109.42,109.42,109.42,0.0,0.0,109.46,109.46,109.46,0.0,0.0
2018-02-04,108.34,108.34,108.34,0.0,0.0,109.85,109.85,109.85,0.0,0.0,107.56,107.56,107.56,0.0,0.0,109.28,109.28,109.28,0.0,0.0
2018-02-11,112.48,112.48,112.48,0.0,0.0,113.66,113.66,113.66,0.0,0.0,112.48,112.48,112.48,0.0,0.0,112.95,112.95,112.95,0.0,0.0
2018-02-18,113.66,113.66,113.66,0.0,0.0,113.98,113.98,113.98,0.0,0.0,112.93,112.93,112.93,0.0,0.0,113.87,113.87,113.87,0.0,0.0
2018-02-25,111.53,111.53,111.53,0.0,0.0,113.55,113.55,113.55,0.0,0.0,111.5,111.5,111.5,0.0,0.0,113.21,113.21,113.21,0.0,0.0
2018-03-04,116.73,116.73,116.73,0.0,0.0,117.05,117.05,117.05,0.0,0.0,116.34,116.34,116.34,0.0,0.0,116.73,116.73,116.73,0.0,0.0
2018-03-11,115.27,115.27,115.27,0.0,0.0,115.47,115.47,115.47,0.0,0.0,113.52,113.52,113.52,0.0,0.0,114.63,114.63,114.63,0.0,0.0
2018-03-18,111.5,111.5,111.5,0.0,0.0,112.5,112.5,112.5,0.0,0.0,110.43,110.43,110.43,0.0,0.0,112.48,112.48,112.48,0.0,0.0
