Date,AVIFY_Open_average,AVIFY_Open_max,AVIFY_Open_min,AVIFY_Open_volatility,AVIFY_Open_change,AVIFY_High_average,AVIFY_High_max,AVIFY_High_min,AVIFY_High_volatility,AVIFY_High_change,AVIFY_Low_average,AVIFY_Low_max,AVIFY_Low_min,AVIFY_Low_volatility,AVIFY_Low_change,AVIFY_Close_average,AVIFY_Close_max,AVIFY_Close_min,AVIFY_Close_volatility,AVIFY_Close_change,AVIFY_Volume_average,AVIFY_Volume_max,AVIFY_Volume_min,AVIFY_Volume_volatility,AVIFY_Volume_change
2016-01-03,3.8331666666666666,4.0,3.7039999999999997,0.29600000000000026,-0.06000000000000005,3.8905,4.02,3.71,0.3099999999999996,0.0,3.7535,3.885,3.57,0.31499999999999995,0.09600000000000053,3.8689999999999998,4.004,3.68,0.3239999999999994,0.0039999999999995595,5029,10014,1830,8184,-4417
2016-01-10,4.045,4.12,3.935,0.18500000000000005,-0.18500000000000005,4.06925,4.12,3.99,0.1299999999999999,-0.1299999999999999,3.9775,4.05,3.81,0.23999999999999977,-0.23999999999999977,4.02975,4.095,3.91,0.1849999999999996,-0.14100000000000001,6223,14077,1495,12582,9042
2016-01-17,4.305,4.44,4.225,0.21500000000000075,0.15500000000000025,4.3584000000000005,4.452,4.23,0.22199999999999953,0.16999999999999993,4.2766,4.38,4.2,0.17999999999999972,0.10500000000000043,4.3436,4.4430000000000005,4.22,0.22300000000000075,0.15500000000000025,6718,12424,3830,8594,0
2016-01-24,4.5426,4.75,4.376,0.37399999999999967,0.2699999999999996,4.628,4.82,4.49,0.33000000000000007,0.29000000000000004,4.522,4.75,4.34,0.41000000000000014,0.33699999999999974,4.619,4.82,4.49,0.33000000000000007,0.3150000000000004,7669,23496,422,23074,18194
2016-01-31,4.695,4.735,4.65,0.08499999999999996,-0.040000000000000036,4.7736,4.79,4.75,0.040000000000000036,-0.009999999999999787,4.678,4.715,4.65,0.0649999999999995,-0.040000000000000036,4.723,4.79,4.66,0.1299999999999999,-0.07500000000000018,3313,4153,2584,1569,753
2016-02-07,4.76625,4.82,4.71,0.11000000000000032,0.004999999999999893,4.78125,4.82,4.735,0.08499999999999996,0.01499999999999968,4.6655,4.715,4.63,0.08499999999999996,0.0649999999999995,4.6985,4.744,4.648,0.09600000000000009,0.008999999999999453,5751,11087,2463,8624,-7053
2016-02-14,4.7316,4.777,4.692,0.08499999999999996,0.0730000000000004,4.7732,4.8,4.74,0.05999999999999961,0.05999999999999961,4.7102,4.777,4.68,0.09700000000000042,0.0730000000000004,4.7444,4.8,4.68,0.1200000000000001,0.09600000000000009,1912,2746,1450,1296,-256
2016-02-21,4.8276,4.8919999999999995,4.7,0.19199999999999928,0.19099999999999984,4.873,4.91,4.79,0.1200000000000001,0.1200000000000001,4.767,4.815,4.7,0.11500000000000021,0.11500000000000021,4.8546,4.91,4.77,0.14000000000000057,0.1200000000000001,4645,11132,723,10409,1216
2016-02-28,5.021,5.23,4.81,0.4200000000000008,0.3200000000000003,5.091,5.32,4.91,0.41000000000000014,0.41000000000000014,4.977,5.23,4.79,0.4400000000000004,0.4400000000000004,5.0378,5.32,4.79,0.5300000000000002,0.5300000000000002,3932,10145,1393,8752,-7694
2016-03-06,5.0506,5.2,4.95,0.25,-0.10699999999999932,5.1102,5.21,4.98,0.22999999999999954,-0.08099999999999952,5.033,5.12,4.945,0.17499999999999982,-0.11499999999999932,5.1074,5.21,4.98,0.22999999999999954,-0.08099999999999952,1866,3359,1022,2337,2337
