Date,iShares 20+ Year Treasury BondEtf_Open_average,iShares 20+ Year Treasury BondEtf_Open_max,iShares 20+ Year Treasury BondEtf_Open_min,iShares 20+ Year Treasury BondEtf_Open_volatility,iShares 20+ Year Treasury BondEtf_Open_change,iShares 20+ Year Treasury BondEtf_High_average,iShares 20+ Year Treasury BondEtf_High_max,iShares 20+ Year Treasury BondEtf_High_min,iShares 20+ Year Treasury BondEtf_High_volatility,iShares 20+ Year Treasury BondEtf_High_change,iShares 20+ Year Treasury BondEtf_Low_average,iShares 20+ Year Treasury BondEtf_Low_max,iShares 20+ Year Treasury BondEtf_Low_min,iShares 20+ Year Treasury BondEtf_Low_volatility,iShares 20+ Year Treasury BondEtf_Low_change,iShares 20+ Year Treasury BondEtf_Close_average,iShares 20+ Year Treasury BondEtf_Close_max,iShares 20+ Year Treasury BondEtf_Close_min,iShares 20+ Year Treasury BondEtf_Close_volatility,iShares 20+ Year Treasury BondEtf_Close_change
2018-01-14,123.4,123.4,123.4,0.0,0.0,123.56,123.56,123.56,0.0,0.0,122.98,122.98,122.98,0.0,0.0,123.06,123.06,123.06,0.0,0.0
2018-01-21,123.88,123.88,123.88,0.0,0.0,123.91,123.91,123.91,0.0,0.0,123.1,123.1,123.1,0.0,0.0,123.59,123.59,123.59,0.0,0.0
2018-01-28,120.15,120.15,120.15,0.0,0.0,120.26,120.26,120.26,0.0,0.0,119.24,119.24,119.24,0.0,0.0,119.58,119.58,119.58,0.0,0.0
2018-02-04,118.11,118.11,118.11,0.0,0.0,119.09,119.09,119.09,0.0,0.0,117.79,117.79,117.79,0.0,0.0,117.94,117.94,117.94,0.0,0.0
2018-02-11,119.04,119.04,119.04,0.0,0.0,119.21,119.21,119.21,0.0,0.0,118.34,118.34,118.34,0.0,0.0,118.71,118.71,118.71,0.0,0.0
2018-02-18,117.88,117.88,117.88,0.0,0.0,118.31,118.31,118.31,0.0,0.0,117.72,117.72,117.72,0.0,0.0,118.13,118.13,118.13,0.0,0.0
2018-02-25,118.85,118.85,118.85,0.0,0.0,118.93,118.93,118.93,0.0,0.0,118.12,118.12,118.12,0.0,0.0,118.35,118.35,118.35,0.0,0.0
2018-03-04,117.99,117.99,117.99,0.0,0.0,118.27,118.27,118.27,0.0,0.0,117.59,117.59,117.59,0.0,0.0,117.91,117.91,117.91,0.0,0.0
2018-03-11,119.8,119.8,119.8,0.0,0.0,120.01,120.01,120.01,0.0,0.0,119.55,119.55,119.55,0.0,0.0,119.81,119.81,119.81,0.0,0.0
2018-03-18,119.68,119.68,119.68,0.0,0.0,120.31,120.31,120.31,0.0,0.0,119.62,119.62,119.62,0.0,0.0,120.17,120.17,120.17,0.0,0.0
2018-03-25,121.54,121.54,121.54,0.0,0.0,122.29,122.29,122.29,0.0,0.0,121.51,121.51,121.51,0.0,0.0,121.9,121.9,121.9,0.0,0.0
2018-04-01,120.66,120.66,120.66,0.0,0.0,121.15,121.15,121.15,0.0,0.0,120.22,120.22,120.22,0.0,0.0,121.1,121.1,121.1,0.0,0.0
2018-04-08,120.52,120.52,120.52,0.0,0.0,121.13,121.13,121.13,0.0,0.0,120.5,120.5,120.5,0.0,0.0,120.9,120.9,120.9,0.0,0.0
2018-04-15,118.89,118.89,118.89,0.0,0.0,119.13,119.13,119.13,0.0,0.0,118.43,118.43,118.43,0.0,0.0,118.46,118.46,118.46,0.0,0.0
2018-04-22,118.47,118.47,118.47,0.0,0.0,118.95,118.95,118.95,0.0,0.0,118.44,118.44,118.44,0.0,0.0,118.89,118.89,118.89,0.0,0.0
2018-04-29,119.23,119.23,119.23,0.0,0.0,119.23,119.23,119.23,0.0,0.0,118.49,118.49,118.49,0.0,0.0,118.99,118.99,118.99,0.0,0.0
2018-05-06,119.32,119.32,119.32,0.0,0.0,119.36,119.36,119.36,0.0,0.0,118.82,118.82,118.82,0.0,0.0,119.23,119.23,119.23,0.0,0.0
2018-05-13,116.51,116.51,116.51,0.0,0.0,117.29,117.29,117.29,0.0,0.0,116.51,116.51,116.51,0.0,0.0,117.21,117.21,117.21,0.0,0.0
2018-05-20,119.56,119.56,119.56,0.0,0.0,119.84,119.84,119.84,0.0,0.0,119.47,119.47,119.47,0.0,0.0,119.62,119.62,119.62,0.0,0.0
2018-05-27,120.17,120.17,120.17,0.0,0.0,120.7,120.7,120.7,0.0,0.0,119.85,119.85,119.85,0.0,0.0,120.3,120.3,120.3,0.0,0.0
2018-06-03,119.56,119.56,119.56,0.0,0.0,119.85,119.85,119.85,0.0,0.0,119.44,119.44,119.44,0.0,0.0,119.53,119.53,119.53,0.0,0.0
2018-06-10,120.83,120.83,120.83,0.0,0.0,121.09,121.09,121.09,0.0,0.0,120.3,120.3,120.3,0.0,0.0,120.38,120.38,120.38,0.0,0.0
2018-06-17,120.09,120.09,120.09,0.0,0.0,120.62,120.62,120.62,0.0,0.0,120.06,120.06,120.06,0.0,0.0,120.53,120.53,120.53,0.0,0.0
2018-06-24,122.17,122.17,122.17,0.0,0.0,122.5,122.5,122.5,0.0,0.0,121.65,121.65,121.65,0.0,0.0,121.72,121.72,121.72,0.0,0.0
2018-07-01,122.75,122.75,122.75,0.0,0.0,122.92,122.92,122.92,0.0,0.0,122.48,122.48,122.48,0.0,0.0,122.75,122.75,122.75,0.0,0.0
2018-07-08,122.61,122.61,122.61,0.0,0.0,122.87,122.87,122.87,0.0,0.0,122.47,122.47,122.47,0.0,0.0,122.72,122.72,122.72,0.0,0.0
2018-07-15,121.58,121.58,121.58,0.0,0.0,121.59,121.59,121.59,0.0,0.0,120.7,120.7,120.7,0.0,0.0,120.76,120.76,120.76,0.0,0.0
2018-07-22,119.85,119.85,119.85,0.0,0.0,119.87,119.87,119.87,0.0,0.0,119.4,119.4,119.4,0.0,0.0,119.46,119.46,119.46,0.0,0.0
2018-07-29,118.83,118.83,118.83,0.0,0.0,119.29,119.29,119.29,0.0,0.0,118.81,118.81,118.81,0.0,0.0,119.22,119.22,119.22,0.0,0.0
2018-08-05,120.37,120.37,120.37,0.0,0.0,121.05,121.05,121.05,0.0,0.0,120.28,120.28,120.28,0.0,0.0,120.66,120.66,120.66,0.0,0.0
2018-08-12,121.09,121.09,121.09,0.0,0.0,121.39,121.39,121.39,0.0,0.0,120.75,120.75,120.75,0.0,0.0,120.98,120.98,120.98,0.0,0.0
2018-08-19,121.62,121.62,121.62,0.0,0.0,122.33,122.33,122.33,0.0,0.0,121.49,121.49,121.49,0.0,0.0,122.29,122.29,122.29,0.0,0.0
2018-08-26,121.89,121.89,121.89,0.0,0.0,121.92,121.92,121.92,0.0,0.0,120.89,120.89,120.89,0.0,0.0,121.0,121.0,121.0,0.0,0.0
2018-09-02,119.33,119.33,119.33,0.0,0.0,119.4,119.4,119.4,0.0,0.0,118.99,118.99,118.99,0.0,0.0,119.13,119.13,119.13,0.0,0.0
2018-09-09,118.41,118.41,118.41,0.0,0.0,118.91,118.91,118.91,0.0,0.0,118.3,118.3,118.3,0.0,0.0,118.55,118.55,118.55,0.0,0.0
2018-09-16,116.87,116.87,116.87,0.0,0.0,117.28,117.28,117.28,0.0,0.0,116.84,116.84,116.84,0.0,0.0,117.1,117.1,117.1,0.0,0.0
2018-09-23,117.85,117.85,117.85,0.0,0.0,117.91,117.91,117.91,0.0,0.0,117.22,117.22,117.22,0.0,0.0,117.27,117.27,117.27,0.0,0.0
2018-09-30,113.39,113.39,113.39,0.0,0.0,113.72,113.72,113.72,0.0,0.0,112.62,112.62,112.62,0.0,0.0,113.04,113.04,113.04,0.0,0.0
2018-10-07,114.39,114.39,114.39,0.0,0.0,115.01,115.01,115.01,0.0,0.0,114.28,114.28,114.28,0.0,0.0,114.47,114.47,114.47,0.0,0.0
2018-10-14,113.85,113.85,113.85,0.0,0.0,113.95,113.95,113.95,0.0,0.0,113.41,113.41,113.41,0.0,0.0,113.71,113.71,113.71,0.0,0.0
2018-10-21,114.93,114.93,114.93,0.0,0.0,115.32,115.32,115.32,0.0,0.0,114.79,114.79,114.79,0.0,0.0,114.99,114.99,114.99,0.0,0.0
2018-10-28,113.17,113.17,113.17,0.0,0.0,113.26,113.26,113.26,0.0,0.0,111.9,111.9,111.9,0.0,0.0,112.0,112.0,112.0,0.0,0.0
2018-11-04,112.75,112.75,112.75,0.0,0.0,113.5,113.5,113.5,0.0,0.0,112.72,112.72,112.72,0.0,0.0,113.35,113.35,113.35,0.0,0.0
2018-11-11,114.2,114.2,114.2,0.0,0.0,114.81,114.81,114.81,0.0,0.0,113.92,113.92,113.92,0.0,0.0,114.7,114.7,114.7,0.0,0.0
2018-11-18,115.67,115.67,115.67,0.0,0.0,115.76,115.76,115.76,0.0,0.0,115.09,115.09,115.09,0.0,0.0,115.14,115.14,115.14,0.0,0.0
2018-11-25,115.31,115.31,115.31,0.0,0.0,115.42,115.42,115.42,0.0,0.0,114.98,114.98,114.98,0.0,0.0,115.33,115.33,115.33,0.0,0.0
