Date,PowerShares Aerospace & Defense_Open_average,PowerShares Aerospace & Defense_Open_max,PowerShares Aerospace & Defense_Open_min,PowerShares Aerospace & Defense_Open_volatility,PowerShares Aerospace & Defense_Open_change,PowerShares Aerospace & Defense_High_average,PowerShares Aerospace & Defense_High_max,PowerShares Aerospace & Defense_High_min,PowerShares Aerospace & Defense_High_volatility,PowerShares Aerospace & Defense_High_change,PowerShares Aerospace & Defense_Low_average,PowerShares Aerospace & Defense_Low_max,PowerShares Aerospace & Defense_Low_min,PowerShares Aerospace & Defense_Low_volatility,PowerShares Aerospace & Defense_Low_change,PowerShares Aerospace & Defense_Close_average,PowerShares Aerospace & Defense_Close_max,PowerShares Aerospace & Defense_Close_min,PowerShares Aerospace & Defense_Close_volatility,PowerShares Aerospace & Defense_Close_change
2018-01-14,56.52,56.52,56.52,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.31,56.31,56.31,0.0,0.0
2018-01-21,58.08,58.08,58.08,0.0,0.0,58.44,58.44,58.44,0.0,0.0,57.91,57.91,57.91,0.0,0.0,58.09,58.09,58.09,0.0,0.0
2018-01-28,56.63,56.63,56.63,0.0,0.0,57.25,57.25,57.25,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-02-04,55.44,55.44,55.44,0.0,0.0,56.21,56.21,56.21,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2018-02-11,57.96,57.96,57.96,0.0,0.0,58.41,58.41,58.41,0.0,0.0,57.73,57.73,57.73,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-02-18,58.28,58.28,58.28,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.64,58.64,58.64,0.0,0.0
2018-02-25,56.5,56.5,56.5,0.0,0.0,57.46,57.46,57.46,0.0,0.0,56.29,56.29,56.29,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2018-03-04,58.63,58.63,58.63,0.0,0.0,58.63,58.63,58.63,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.71,57.71,57.71,0.0,0.0
2018-03-11,56.87,56.87,56.87,0.0,0.0,57.06,57.06,57.06,0.0,0.0,56.54,56.54,56.54,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2018-03-18,56.83,56.83,56.83,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.47,56.47,56.47,0.0,0.0,57.33,57.33,57.33,0.0,0.0
