Date,iShares Global Tech_Open_average,iShares Global Tech_Open_max,iShares Global Tech_Open_min,iShares Global Tech_Open_volatility,iShares Global Tech_Open_change,iShares Global Tech_High_average,iShares Global Tech_High_max,iShares Global Tech_High_min,iShares Global Tech_High_volatility,iShares Global Tech_High_change,iShares Global Tech_Low_average,iShares Global Tech_Low_max,iShares Global Tech_Low_min,iShares Global Tech_Low_volatility,iShares Global Tech_Low_change,iShares Global Tech_Close_average,iShares Global Tech_Close_max,iShares Global Tech_Close_min,iShares Global Tech_Close_volatility,iShares Global Tech_Close_change
2018-01-14,163.78,163.78,163.78,0.0,0.0,165.41,165.41,165.41,0.0,0.0,163.62,163.62,163.62,0.0,0.0,165.11,165.11,165.11,0.0,0.0
2018-01-21,166.53,166.53,166.53,0.0,0.0,166.53,166.53,166.53,0.0,0.0,165.38,165.38,165.38,0.0,0.0,165.5,165.5,165.5,0.0,0.0
2018-01-28,157.99,157.99,157.99,0.0,0.0,160.5,160.5,160.5,0.0,0.0,153.18,153.18,153.18,0.0,0.0,153.23,153.23,153.23,0.0,0.0
2018-02-04,153.75,153.75,153.75,0.0,0.0,155.85,155.85,155.85,0.0,0.0,153.24,153.24,153.24,0.0,0.0,155.04,155.04,155.04,0.0,0.0
2018-02-11,161.64,161.64,161.64,0.0,0.0,163.55,163.55,163.55,0.0,0.0,161.32,161.32,161.32,0.0,0.0,161.93,161.93,161.93,0.0,0.0
2018-02-18,164.48,164.48,164.48,0.0,0.0,166.36,166.36,166.36,0.0,0.0,164.13,164.13,164.13,0.0,0.0,166.36,166.36,166.36,0.0,0.0
2018-02-25,160.98,160.98,160.98,0.0,0.0,163.75,163.75,163.75,0.0,0.0,160.38,160.38,160.38,0.0,0.0,163.35,163.35,163.35,0.0,0.0
2018-03-04,169.74,169.74,169.74,0.0,0.0,170.32,170.32,170.32,0.0,0.0,169.22,169.22,169.22,0.0,0.0,169.83,169.83,169.83,0.0,0.0
2018-03-11,166.59,166.59,166.59,0.0,0.0,166.59,166.59,166.59,0.0,0.0,163.42,163.42,163.42,0.0,0.0,164.69,164.69,164.69,0.0,0.0
2018-03-18,158.78,158.78,158.78,0.0,0.0,161.56,161.56,161.56,0.0,0.0,156.84,156.84,156.84,0.0,0.0,161.43,161.43,161.43,0.0,0.0
2018-03-25,157.24,157.24,157.24,0.0,0.0,157.28,157.28,157.28,0.0,0.0,152.87,152.87,152.87,0.0,0.0,154.32,154.32,154.32,0.0,0.0
2018-04-01,155.76,155.76,155.76,0.0,0.0,158.43,158.43,158.43,0.0,0.0,155.54,155.54,155.54,0.0,0.0,155.72,155.72,155.72,0.0,0.0
2018-04-08,160.16,160.16,160.16,0.0,0.0,160.94,160.94,160.94,0.0,0.0,159.4,159.4,159.4,0.0,0.0,160.51,160.51,160.51,0.0,0.0
