Date,Schwab amental US Broad Market_etf_Open_average,Schwab amental US Broad Market_etf_Open_max,Schwab amental US Broad Market_etf_Open_min,Schwab amental US Broad Market_etf_Open_volatility,Schwab amental US Broad Market_etf_Open_change,Schwab amental US Broad Market_etf_High_average,Schwab amental US Broad Market_etf_High_max,Schwab amental US Broad Market_etf_High_min,Schwab amental US Broad Market_etf_High_volatility,Schwab amental US Broad Market_etf_High_change,Schwab amental US Broad Market_etf_Low_average,Schwab amental US Broad Market_etf_Low_max,Schwab amental US Broad Market_etf_Low_min,Schwab amental US Broad Market_etf_Low_volatility,Schwab amental US Broad Market_etf_Low_change,Schwab amental US Broad Market_etf_Close_average,Schwab amental US Broad Market_etf_Close_max,Schwab amental US Broad Market_etf_Close_min,Schwab amental US Broad Market_etf_Close_volatility,Schwab amental US Broad Market_etf_Close_change
2018-01-14,38.84,38.84,38.84,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-01-21,39.39,39.39,39.39,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2018-01-28,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-02-04,35.92,35.92,35.92,0.0,0.0,36.08,36.08,36.08,0.0,0.0,34.94,34.94,34.94,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2018-02-11,37.33,37.33,37.33,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-02-18,37.17,37.17,37.17,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2018-02-25,36.32,36.32,36.32,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2018-03-04,37.43,37.43,37.43,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-03-11,37.19,37.19,37.19,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-03-18,36.14,36.14,36.14,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-03-25,35.84,35.84,35.84,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.84,35.84,35.84,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-04-01,36.31,36.31,36.31,0.0,0.0,36.47,36.47,36.47,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.91,35.91,35.91,0.0,0.0
