Date,Global X Scientific Beta US_Open_average,Global X Scientific Beta US_Open_max,Global X Scientific Beta US_Open_min,Global X Scientific Beta US_Open_volatility,Global X Scientific Beta US_Open_change,Global X Scientific Beta US_High_average,Global X Scientific Beta US_High_max,Global X Scientific Beta US_High_min,Global X Scientific Beta US_High_volatility,Global X Scientific Beta US_High_change,Global X Scientific Beta US_Low_average,Global X Scientific Beta US_Low_max,Global X Scientific Beta US_Low_min,Global X Scientific Beta US_Low_volatility,Global X Scientific Beta US_Low_change,Global X Scientific Beta US_Close_average,Global X Scientific Beta US_Close_max,Global X Scientific Beta US_Close_min,Global X Scientific Beta US_Close_volatility,Global X Scientific Beta US_Close_change
2018-01-14,32.0,32.0,32.0,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-01-21,32.47,32.47,32.47,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-01-28,31.47,31.47,31.47,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-02-04,30.35,30.35,30.35,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-02-11,31.26,31.26,31.26,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2018-02-18,31.54,31.54,31.54,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-02-25,30.73,30.73,30.73,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.73,30.73,30.73,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-03-04,31.91,31.91,31.91,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-03-11,31.59,31.59,31.59,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-03-18,30.6,30.6,30.6,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-03-25,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-04-01,30.8,30.8,30.8,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-04-08,31.0,31.0,31.0,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-04-15,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-04-22,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-04-29,31.07,31.07,31.07,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-05-06,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-05-13,31.58,31.58,31.58,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-05-20,31.53,31.53,31.53,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-05-27,31.62,31.62,31.62,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-06-03,32.04,32.04,32.04,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-06-10,32.09,32.09,32.09,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-06-17,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-06-24,31.27,31.27,31.27,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-07-01,32.05,32.05,32.05,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-07-08,32.12,32.12,32.12,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-07-15,32.17,32.17,32.17,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2018-07-22,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-07-29,32.55,32.55,32.55,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-08-05,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-08-12,32.8,32.8,32.8,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2018-08-19,32.79,32.79,32.79,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.79,32.79,32.79,0.0,0.0,33.17,33.17,33.17,0.0,0.0
