Date,First Trust Nasdaq Transport_Open_average,First Trust Nasdaq Transport_Open_max,First Trust Nasdaq Transport_Open_min,First Trust Nasdaq Transport_Open_volatility,First Trust Nasdaq Transport_Open_change,First Trust Nasdaq Transport_High_average,First Trust Nasdaq Transport_High_max,First Trust Nasdaq Transport_High_min,First Trust Nasdaq Transport_High_volatility,First Trust Nasdaq Transport_High_change,First Trust Nasdaq Transport_Low_average,First Trust Nasdaq Transport_Low_max,First Trust Nasdaq Transport_Low_min,First Trust Nasdaq Transport_Low_volatility,First Trust Nasdaq Transport_Low_change,First Trust Nasdaq Transport_Close_average,First Trust Nasdaq Transport_Close_max,First Trust Nasdaq Transport_Close_min,First Trust Nasdaq Transport_Close_volatility,First Trust Nasdaq Transport_Close_change
2018-01-14,27.19,27.19,27.19,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-01-21,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-01-28,25.82,25.82,25.82,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2018-02-04,24.81,24.81,24.81,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.81,24.81,24.81,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-02-11,25.54,25.54,25.54,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-02-18,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-02-25,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2018-03-04,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-03-11,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-03-18,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2018-03-25,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0
