Date,PowerShares Global Listed Private Equity_Open_average,PowerShares Global Listed Private Equity_Open_max,PowerShares Global Listed Private Equity_Open_min,PowerShares Global Listed Private Equity_Open_volatility,PowerShares Global Listed Private Equity_Open_change,PowerShares Global Listed Private Equity_High_average,PowerShares Global Listed Private Equity_High_max,PowerShares Global Listed Private Equity_High_min,PowerShares Global Listed Private Equity_High_volatility,PowerShares Global Listed Private Equity_High_change,PowerShares Global Listed Private Equity_Low_average,PowerShares Global Listed Private Equity_Low_max,PowerShares Global Listed Private Equity_Low_min,PowerShares Global Listed Private Equity_Low_volatility,PowerShares Global Listed Private Equity_Low_change,PowerShares Global Listed Private Equity_Close_average,PowerShares Global Listed Private Equity_Close_max,PowerShares Global Listed Private Equity_Close_min,PowerShares Global Listed Private Equity_Close_volatility,PowerShares Global Listed Private Equity_Close_change
2018-01-14,13.18,13.18,13.18,0.0,0.0,13.27,13.27,13.27,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.27,13.27,13.27,0.0,0.0
2018-01-21,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.39,13.39,13.39,0.0,0.0
2018-01-28,12.92,12.92,12.92,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.51,12.51,12.51,0.0,0.0
2018-02-04,12.36,12.36,12.36,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2018-02-11,12.73,12.73,12.73,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.72,12.72,12.72,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2018-02-18,12.86,12.86,12.86,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2018-02-25,12.42,12.42,12.42,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.59,12.59,12.59,0.0,0.0
2018-03-04,12.79,12.79,12.79,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-03-11,12.36,12.36,12.36,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2018-03-18,12.11,12.11,12.11,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.14,12.14,12.14,0.0,0.0
