Date,VanEck Pref Secs ex FinlsEtf_Open_average,VanEck Pref Secs ex FinlsEtf_Open_max,VanEck Pref Secs ex FinlsEtf_Open_min,VanEck Pref Secs ex FinlsEtf_Open_volatility,VanEck Pref Secs ex FinlsEtf_Open_change,VanEck Pref Secs ex FinlsEtf_High_average,VanEck Pref Secs ex FinlsEtf_High_max,VanEck Pref Secs ex FinlsEtf_High_min,VanEck Pref Secs ex FinlsEtf_High_volatility,VanEck Pref Secs ex FinlsEtf_High_change,VanEck Pref Secs ex FinlsEtf_Low_average,VanEck Pref Secs ex FinlsEtf_Low_max,VanEck Pref Secs ex FinlsEtf_Low_min,VanEck Pref Secs ex FinlsEtf_Low_volatility,VanEck Pref Secs ex FinlsEtf_Low_change,VanEck Pref Secs ex FinlsEtf_Close_average,VanEck Pref Secs ex FinlsEtf_Close_max,VanEck Pref Secs ex FinlsEtf_Close_min,VanEck Pref Secs ex FinlsEtf_Close_volatility,VanEck Pref Secs ex FinlsEtf_Close_change
2018-01-14,19.5,19.5,19.5,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-01-21,19.47,19.47,19.47,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.41,19.41,19.41,0.0,0.0,19.43,19.43,19.43,0.0,0.0
2018-01-28,19.02,19.02,19.02,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2018-02-04,18.83,18.83,18.83,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-02-11,18.89,18.89,18.89,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2018-02-18,19.0,19.0,19.0,0.0,0.0,19.14,19.14,19.14,0.0,0.0,18.98,18.98,18.98,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2018-02-25,19.06,19.06,19.06,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2018-03-04,19.26,19.26,19.26,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2018-03-11,19.25,19.25,19.25,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.28,19.28,19.28,0.0,0.0
2018-03-18,19.15,19.15,19.15,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-03-25,19.2,19.2,19.2,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.22,19.22,19.22,0.0,0.0
2018-04-01,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2018-04-08,19.06,19.06,19.06,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-04-15,19.12,19.12,19.12,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2018-04-22,19.1,19.1,19.1,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2018-04-29,19.01,19.01,19.01,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2018-05-06,19.1,19.1,19.1,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2018-05-13,19.0,19.0,19.0,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2018-05-20,19.14,19.14,19.14,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-05-27,19.1,19.1,19.1,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.18,19.18,19.18,0.0,0.0
