Date,First Trust Nasdaq Oil & Gas_Open_average,First Trust Nasdaq Oil & Gas_Open_max,First Trust Nasdaq Oil & Gas_Open_min,First Trust Nasdaq Oil & Gas_Open_volatility,First Trust Nasdaq Oil & Gas_Open_change,First Trust Nasdaq Oil & Gas_High_average,First Trust Nasdaq Oil & Gas_High_max,First Trust Nasdaq Oil & Gas_High_min,First Trust Nasdaq Oil & Gas_High_volatility,First Trust Nasdaq Oil & Gas_High_change,First Trust Nasdaq Oil & Gas_Low_average,First Trust Nasdaq Oil & Gas_Low_max,First Trust Nasdaq Oil & Gas_Low_min,First Trust Nasdaq Oil & Gas_Low_volatility,First Trust Nasdaq Oil & Gas_Low_change,First Trust Nasdaq Oil & Gas_Close_average,First Trust Nasdaq Oil & Gas_Close_max,First Trust Nasdaq Oil & Gas_Close_min,First Trust Nasdaq Oil & Gas_Close_volatility,First Trust Nasdaq Oil & Gas_Close_change
2018-01-14,22.18,22.18,22.18,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-01-21,21.89,21.89,21.89,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.84,21.84,21.84,0.0,0.0
2018-01-28,20.49,20.49,20.49,0.0,0.0,20.49,20.49,20.49,0.0,0.0,19.64,19.64,19.64,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2018-02-04,19.54,19.54,19.54,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-02-11,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-02-18,19.59,19.59,19.59,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.69,19.69,19.69,0.0,0.0
2018-02-25,19.06,19.06,19.06,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2018-03-04,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2018-03-11,19.47,19.47,19.47,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2018-03-18,20.08,20.08,20.08,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.08,20.08,20.08,0.0,0.0
2018-03-25,19.39,19.39,19.39,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2018-04-01,20.11,20.11,20.11,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2018-04-08,21.52,21.52,21.52,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2018-04-15,22.33,22.33,22.33,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2018-04-22,23.09,23.09,23.09,0.0,0.0,23.12,23.12,23.12,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.87,22.87,22.87,0.0,0.0
2018-04-29,23.97,23.97,23.97,0.0,0.0,24.16,24.16,24.16,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-05-06,24.35,24.35,24.35,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-05-13,25.28,25.28,25.28,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.55,25.55,25.55,0.0,0.0
