Date,ProShares UltraPro MidCap400_etf_Open_average,ProShares UltraPro MidCap400_etf_Open_max,ProShares UltraPro MidCap400_etf_Open_min,ProShares UltraPro MidCap400_etf_Open_volatility,ProShares UltraPro MidCap400_etf_Open_change,ProShares UltraPro MidCap400_etf_High_average,ProShares UltraPro MidCap400_etf_High_max,ProShares UltraPro MidCap400_etf_High_min,ProShares UltraPro MidCap400_etf_High_volatility,ProShares UltraPro MidCap400_etf_High_change,ProShares UltraPro MidCap400_etf_Low_average,ProShares UltraPro MidCap400_etf_Low_max,ProShares UltraPro MidCap400_etf_Low_min,ProShares UltraPro MidCap400_etf_Low_volatility,ProShares UltraPro MidCap400_etf_Low_change,ProShares UltraPro MidCap400_etf_Close_average,ProShares UltraPro MidCap400_etf_Close_max,ProShares UltraPro MidCap400_etf_Close_min,ProShares UltraPro MidCap400_etf_Close_volatility,ProShares UltraPro MidCap400_etf_Close_change
2018-01-14,125.89,125.89,125.89,0.0,0.0,129.05,129.05,129.05,0.0,0.0,125.89,125.89,125.89,0.0,0.0,129.05,129.05,129.05,0.0,0.0
2018-01-21,131.26,131.26,131.26,0.0,0.0,132.08,132.08,132.08,0.0,0.0,129.5,129.5,129.5,0.0,0.0,132.08,132.08,132.08,0.0,0.0
2018-01-28,121.95,121.95,121.95,0.0,0.0,122.15,122.15,122.15,0.0,0.0,117.29,117.29,117.29,0.0,0.0,117.45,117.45,117.45,0.0,0.0
2018-02-04,99.17,99.17,99.17,0.0,0.0,100.51,100.51,100.51,0.0,0.0,91.52,91.52,91.52,0.0,0.0,99.55,99.55,99.55,0.0,0.0
2018-02-11,112.93,112.93,112.93,0.0,0.0,114.6,114.6,114.6,0.0,0.0,112.42,112.42,112.42,0.0,0.0,114.06,114.06,114.06,0.0,0.0
2018-02-18,111.43,111.43,111.43,0.0,0.0,113.2,113.2,113.2,0.0,0.0,111.02,111.02,111.02,0.0,0.0,113.2,113.2,113.2,0.0,0.0
2018-02-25,103.17,103.17,103.17,0.0,0.0,107.02,107.02,107.02,0.0,0.0,103.14,103.14,103.14,0.0,0.0,107.02,107.02,107.02,0.0,0.0
2018-03-04,117.48,117.48,117.48,0.0,0.0,122.05,122.05,122.05,0.0,0.0,117.48,117.48,117.48,0.0,0.0,122.05,122.05,122.05,0.0,0.0
2018-03-11,117.3,117.3,117.3,0.0,0.0,119.91,119.91,119.91,0.0,0.0,117.3,117.3,117.3,0.0,0.0,119.31,119.31,119.31,0.0,0.0
2018-03-18,108.23,108.23,108.23,0.0,0.0,109.0,109.0,109.0,0.0,0.0,101.93,101.93,101.93,0.0,0.0,101.94,101.94,101.94,0.0,0.0
2018-03-25,106.64,106.64,106.64,0.0,0.0,109.57,109.57,109.57,0.0,0.0,106.64,106.64,106.64,0.0,0.0,108.84,108.84,108.84,0.0,0.0
2018-04-01,108.13,108.13,108.13,0.0,0.0,109.24,109.24,109.24,0.0,0.0,102.05,102.05,102.05,0.0,0.0,103.77,103.77,103.77,0.0,0.0
2018-04-08,108.62,108.62,108.62,0.0,0.0,108.65,108.65,108.65,0.0,0.0,108.62,108.62,108.62,0.0,0.0,108.65,108.65,108.65,0.0,0.0
2018-04-15,111.0,111.0,111.0,0.0,0.0,111.03,111.03,111.03,0.0,0.0,110.88,110.88,110.88,0.0,0.0,111.01,111.01,111.01,0.0,0.0
