Date,PIMCO 0-5 Year High Yield Corporate BondEtf_Open_average,PIMCO 0-5 Year High Yield Corporate BondEtf_Open_max,PIMCO 0-5 Year High Yield Corporate BondEtf_Open_min,PIMCO 0-5 Year High Yield Corporate BondEtf_Open_volatility,PIMCO 0-5 Year High Yield Corporate BondEtf_Open_change,PIMCO 0-5 Year High Yield Corporate BondEtf_High_average,PIMCO 0-5 Year High Yield Corporate BondEtf_High_max,PIMCO 0-5 Year High Yield Corporate BondEtf_High_min,PIMCO 0-5 Year High Yield Corporate BondEtf_High_volatility,PIMCO 0-5 Year High Yield Corporate BondEtf_High_change,PIMCO 0-5 Year High Yield Corporate BondEtf_Low_average,PIMCO 0-5 Year High Yield Corporate BondEtf_Low_max,PIMCO 0-5 Year High Yield Corporate BondEtf_Low_min,PIMCO 0-5 Year High Yield Corporate BondEtf_Low_volatility,PIMCO 0-5 Year High Yield Corporate BondEtf_Low_change,PIMCO 0-5 Year High Yield Corporate BondEtf_Close_average,PIMCO 0-5 Year High Yield Corporate BondEtf_Close_max,PIMCO 0-5 Year High Yield Corporate BondEtf_Close_min,PIMCO 0-5 Year High Yield Corporate BondEtf_Close_volatility,PIMCO 0-5 Year High Yield Corporate BondEtf_Close_change
2018-01-14,100.99,100.99,100.99,0.0,0.0,100.99,100.99,100.99,0.0,0.0,100.8,100.8,100.8,0.0,0.0,100.94,100.94,100.94,0.0,0.0
2018-01-21,101.35,101.35,101.35,0.0,0.0,101.47,101.47,101.47,0.0,0.0,101.28,101.28,101.28,0.0,0.0,101.39,101.39,101.39,0.0,0.0
2018-01-28,100.36,100.36,100.36,0.0,0.0,100.58,100.58,100.58,0.0,0.0,99.94,99.94,99.94,0.0,0.0,100.16,100.16,100.16,0.0,0.0
2018-02-04,99.43,99.43,99.43,0.0,0.0,99.43,99.43,99.43,0.0,0.0,97.52,97.52,97.52,0.0,0.0,98.76,98.76,98.76,0.0,0.0
2018-02-11,99.99,99.99,99.99,0.0,0.0,100.52,100.52,100.52,0.0,0.0,99.98,99.98,99.98,0.0,0.0,100.48,100.48,100.48,0.0,0.0
2018-02-18,99.8,99.8,99.8,0.0,0.0,100.25,100.25,100.25,0.0,0.0,99.68,99.68,99.68,0.0,0.0,100.22,100.22,100.22,0.0,0.0
2018-02-25,99.53,99.53,99.53,0.0,0.0,99.96,99.96,99.96,0.0,0.0,99.17,99.17,99.17,0.0,0.0,99.93,99.93,99.93,0.0,0.0
2018-03-04,100.17,100.17,100.17,0.0,0.0,100.52,100.52,100.52,0.0,0.0,100.14,100.14,100.14,0.0,0.0,100.52,100.52,100.52,0.0,0.0
2018-03-11,99.9,99.9,99.9,0.0,0.0,100.11,100.11,100.11,0.0,0.0,99.9,99.9,99.9,0.0,0.0,100.1,100.1,100.1,0.0,0.0
2018-03-18,99.4,99.4,99.4,0.0,0.0,99.66,99.66,99.66,0.0,0.0,99.07,99.07,99.07,0.0,0.0,99.2,99.2,99.2,0.0,0.0
