Date,WisdomTree Barclays Interest Rate Hedge US Aggrega_Open_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_Open_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_Open_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_Open_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_High_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_High_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_High_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_High_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_Low_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_Low_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_Low_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_Low_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_Close_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_Close_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_Close_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_Close_change
2016-01-03,47.8,47.8,0.0,0.0,47.91,47.91,0.0,0.0,47.68,47.68,0.0,0.0,47.68,47.68,0.0,0.0
2016-01-10,47.61,47.61,0.0,0.0,47.65,47.65,0.0,0.0,47.45,47.45,0.0,0.0,47.45,47.45,0.0,0.0
2016-01-17,47.57,47.57,0.0,0.0,47.57,47.57,0.0,0.0,47.38,47.38,0.0,0.0,47.4,47.4,0.0,0.0
2016-01-24,47.29,47.29,0.0,0.0,47.29,47.29,0.0,0.0,47.28,47.28,0.0,0.0,47.28,47.28,0.0,0.0
2016-01-31,47.12,47.12,0.0,0.0,47.21,47.21,0.0,0.0,47.0,47.0,0.0,0.0,47.12,47.12,0.0,0.0
2016-02-07,46.93,46.93,0.0,0.0,47.07,47.07,0.0,0.0,46.93,46.93,0.0,0.0,46.99,46.99,0.0,0.0
2016-02-14,47.02,47.02,0.0,0.0,47.06,47.06,0.0,0.0,46.89,46.89,0.0,0.0,46.89,46.89,0.0,0.0
2016-02-21,46.99,46.99,0.0,0.0,47.14,47.14,0.0,0.0,46.99,46.99,0.0,0.0,47.12,47.12,0.0,0.0
2016-02-28,47.62,47.62,0.0,0.0,47.62,47.62,0.0,0.0,47.34,47.34,0.0,0.0,47.34,47.34,0.0,0.0
2016-03-06,48.2,48.2,0.0,0.0,48.2,48.2,0.0,0.0,47.6,47.6,0.0,0.0,47.6,47.6,0.0,0.0
2016-03-13,47.52,47.52,0.0,0.0,47.85,47.85,0.0,0.0,47.47,47.47,0.0,0.0,47.55,47.55,0.0,0.0
2016-03-20,47.52,47.52,0.0,0.0,47.7,47.7,0.0,0.0,47.52,47.52,0.0,0.0,47.65,47.65,0.0,0.0
2016-03-27,47.51,47.51,0.0,0.0,47.7,47.7,0.0,0.0,47.47,47.47,0.0,0.0,47.61,47.61,0.0,0.0
2016-04-03,47.5,47.5,0.0,0.0,47.5,47.5,0.0,0.0,47.34,47.34,0.0,0.0,47.34,47.34,0.0,0.0
2016-04-10,47.56,47.56,0.0,0.0,47.88,47.88,0.0,0.0,47.56,47.56,0.0,0.0,47.75,47.75,0.0,0.0
2016-04-17,48.14,48.14,0.0,0.0,48.14,48.14,0.0,0.0,48.14,48.14,0.0,0.0,48.14,48.14,0.0,0.0
2016-04-24,47.71,47.71,0.0,0.0,47.71,47.71,0.0,0.0,47.71,47.71,0.0,0.0,47.71,47.71,0.0,0.0
2016-05-01,47.96,47.96,0.0,0.0,47.96,47.96,0.0,0.0,47.89,47.89,0.0,0.0,47.89,47.89,0.0,0.0
2016-05-08,47.92,47.92,0.0,0.0,47.92,47.92,0.0,0.0,47.92,47.92,0.0,0.0,47.92,47.92,0.0,0.0
2016-05-15,48.21,48.21,0.0,0.0,48.21,48.21,0.0,0.0,47.68,47.68,0.0,0.0,47.69,47.69,0.0,0.0
2016-05-22,47.9,47.9,0.0,0.0,47.9,47.9,0.0,0.0,47.85,47.85,0.0,0.0,47.85,47.85,0.0,0.0
2016-05-29,47.9,47.9,0.0,0.0,47.9,47.9,0.0,0.0,47.77,47.77,0.0,0.0,47.77,47.77,0.0,0.0
2016-06-05,47.75,47.75,0.0,0.0,47.75,47.75,0.0,0.0,47.75,47.75,0.0,0.0,47.75,47.75,0.0,0.0
2016-06-12,47.56,47.56,0.0,0.0,47.56,47.56,0.0,0.0,47.52,47.52,0.0,0.0,47.52,47.52,0.0,0.0
2016-06-19,47.39,47.39,0.0,0.0,47.66,47.66,0.0,0.0,47.38,47.38,0.0,0.0,47.56,47.56,0.0,0.0
2016-06-26,47.63,47.63,0.0,0.0,47.64,47.64,0.0,0.0,47.54,47.54,0.0,0.0,47.54,47.54,0.0,0.0
2016-07-03,47.15,47.15,0.0,0.0,47.88,47.88,0.0,0.0,47.15,47.15,0.0,0.0,47.88,47.88,0.0,0.0
2016-07-10,47.86,47.86,0.0,0.0,47.86,47.86,0.0,0.0,47.86,47.86,0.0,0.0,47.86,47.86,0.0,0.0
2016-07-17,47.9,47.9,0.0,0.0,47.9,47.9,0.0,0.0,47.61,47.61,0.0,0.0,47.79,47.79,0.0,0.0
2016-07-24,47.78,47.78,0.0,0.0,47.78,47.78,0.0,0.0,47.78,47.78,0.0,0.0,47.78,47.78,0.0,0.0
2016-07-31,47.68,47.68,0.0,0.0,47.68,47.68,0.0,0.0,47.68,47.68,0.0,0.0,47.68,47.68,0.0,0.0
2016-08-07,47.82,47.82,0.0,0.0,47.82,47.82,0.0,0.0,47.7,47.7,0.0,0.0,47.7,47.7,0.0,0.0
2016-08-14,47.91,47.91,0.0,0.0,47.99,47.99,0.0,0.0,47.75,47.75,0.0,0.0,47.99,47.99,0.0,0.0
2016-08-21,47.86,47.86,0.0,0.0,47.86,47.86,0.0,0.0,47.68,47.68,0.0,0.0,47.85,47.85,0.0,0.0
2016-08-28,48.05,48.05,0.0,0.0,48.05,48.05,0.0,0.0,47.8,47.8,0.0,0.0,47.8,47.8,0.0,0.0
2016-09-04,47.93,47.93,0.0,0.0,47.93,47.93,0.0,0.0,47.93,47.93,0.0,0.0,47.93,47.93,0.0,0.0
2016-09-11,47.76,47.76,0.0,0.0,47.76,47.76,0.0,0.0,47.76,47.76,0.0,0.0,47.76,47.76,0.0,0.0
2016-09-18,47.84,47.84,0.0,0.0,47.84,47.84,0.0,0.0,47.74,47.74,0.0,0.0,47.74,47.74,0.0,0.0
2016-09-25,47.94,47.94,0.0,0.0,47.94,47.94,0.0,0.0,47.77,47.77,0.0,0.0,47.77,47.77,0.0,0.0
2016-10-02,47.99,47.99,0.0,0.0,48.21,48.21,0.0,0.0,47.99,47.99,0.0,0.0,48.21,48.21,0.0,0.0
2016-10-09,47.89,47.89,0.0,0.0,48.04,48.04,0.0,0.0,47.89,47.89,0.0,0.0,48.04,48.04,0.0,0.0
2016-10-16,47.88,47.88,0.0,0.0,47.97,47.97,0.0,0.0,47.8,47.8,0.0,0.0,47.81,47.81,0.0,0.0
2016-10-23,47.93,47.93,0.0,0.0,47.95,47.95,0.0,0.0,47.93,47.93,0.0,0.0,47.95,47.95,0.0,0.0
2016-10-30,47.9,47.9,0.0,0.0,47.9,47.9,0.0,0.0,47.9,47.9,0.0,0.0,47.9,47.9,0.0,0.0
2016-11-06,47.88,47.88,0.0,0.0,47.93,47.93,0.0,0.0,47.88,47.88,0.0,0.0,47.92,47.92,0.0,0.0
2016-11-13,47.86,47.86,0.0,0.0,47.97,47.97,0.0,0.0,47.75,47.75,0.0,0.0,47.97,47.97,0.0,0.0
2016-11-20,48.0,48.0,0.0,0.0,48.01,48.01,0.0,0.0,47.77,47.77,0.0,0.0,47.77,47.77,0.0,0.0
2016-11-27,48.1,48.1,0.0,0.0,48.15,48.15,0.0,0.0,48.1,48.1,0.0,0.0,48.15,48.15,0.0,0.0
2016-12-04,48.04,48.04,0.0,0.0,48.04,48.04,0.0,0.0,47.98,47.98,0.0,0.0,48.03,48.03,0.0,0.0
2016-12-11,48.1,48.1,0.0,0.0,48.1,48.1,0.0,0.0,48.1,48.1,0.0,0.0,48.1,48.1,0.0,0.0
