Date,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Open_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_High_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Low_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_etf_Close_change
2018-01-14,118.8,118.8,118.8,0.0,0.0,119.16,119.16,119.16,0.0,0.0,118.3,118.3,118.3,0.0,0.0,118.4,118.4,118.4,0.0,0.0
2018-01-21,123.1,123.1,123.1,0.0,0.0,123.96,123.96,123.96,0.0,0.0,122.4,122.4,122.4,0.0,0.0,122.7,122.7,122.7,0.0,0.0
2018-01-28,118.9,118.9,118.9,0.0,0.0,118.9,118.9,118.9,0.0,0.0,116.4,116.4,116.4,0.0,0.0,117.5,117.5,117.5,0.0,0.0
2018-02-04,112.5,112.5,112.5,0.0,0.0,113.9,113.9,113.9,0.0,0.0,111.9,111.9,111.9,0.0,0.0,112.9,112.9,112.9,0.0,0.0
2018-02-11,122.8,122.8,122.8,0.0,0.0,123.95,123.95,123.95,0.0,0.0,120.8,120.8,120.8,0.0,0.0,121.8,121.8,121.8,0.0,0.0
2018-02-18,116.3,116.3,116.3,0.0,0.0,116.5,116.5,116.5,0.0,0.0,115.65,115.65,115.65,0.0,0.0,116.3,116.3,116.3,0.0,0.0
2018-02-25,114.9,114.9,114.9,0.0,0.0,114.9,114.9,114.9,0.0,0.0,113.0,113.0,113.0,0.0,0.0,114.1,114.1,114.1,0.0,0.0
2018-03-04,112.6,112.6,112.6,0.0,0.0,114.7,114.7,114.7,0.0,0.0,112.12,112.12,112.12,0.0,0.0,114.3,114.3,114.3,0.0,0.0
2018-03-11,112.2,112.2,112.2,0.0,0.0,112.2,112.2,112.2,0.0,0.0,110.5,110.5,110.5,0.0,0.0,111.3,111.3,111.3,0.0,0.0
2018-03-18,120.3,120.3,120.3,0.0,0.0,121.0,121.0,121.0,0.0,0.0,119.2,119.2,119.2,0.0,0.0,119.8,119.8,119.8,0.0,0.0
2018-03-25,113.1,113.1,113.1,0.0,0.0,114.2,114.2,114.2,0.0,0.0,112.81,112.81,112.81,0.0,0.0,114.1,114.1,114.1,0.0,0.0
2018-04-01,115.9,115.9,115.9,0.0,0.0,116.02,116.02,116.02,0.0,0.0,114.7,114.7,114.7,0.0,0.0,115.6,115.6,115.6,0.0,0.0
