Date,Forensic Accounting Long-Short_Open_average,Forensic Accounting Long-Short_Open_max,Forensic Accounting Long-Short_Open_min,Forensic Accounting Long-Short_Open_volatility,Forensic Accounting Long-Short_Open_change,Forensic Accounting Long-Short_High_average,Forensic Accounting Long-Short_High_max,Forensic Accounting Long-Short_High_min,Forensic Accounting Long-Short_High_volatility,Forensic Accounting Long-Short_High_change,Forensic Accounting Long-Short_Low_average,Forensic Accounting Long-Short_Low_max,Forensic Accounting Long-Short_Low_min,Forensic Accounting Long-Short_Low_volatility,Forensic Accounting Long-Short_Low_change,Forensic Accounting Long-Short_Close_average,Forensic Accounting Long-Short_Close_max,Forensic Accounting Long-Short_Close_min,Forensic Accounting Long-Short_Close_volatility,Forensic Accounting Long-Short_Close_change
2018-01-14,44.51,44.51,44.51,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2018-01-21,44.71,44.71,44.71,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2018-01-28,43.4,43.4,43.4,0.0,0.0,43.4,43.4,43.4,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2018-02-04,40.45,40.45,40.45,0.0,0.0,40.96,40.96,40.96,0.0,0.0,39.86,39.86,39.86,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2018-02-11,42.56,42.56,42.56,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-02-18,42.54,42.54,42.54,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2018-02-25,41.8,41.8,41.8,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2018-03-04,42.47,42.47,42.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0
2018-03-11,42.54,42.54,42.54,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-03-18,40.42,40.42,40.42,0.0,0.0,40.42,40.42,40.42,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2018-03-25,41.18,41.18,41.18,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-04-01,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2018-04-08,41.22,41.22,41.22,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-04-15,41.31,41.31,41.31,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-04-22,41.72,41.72,41.72,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-04-29,41.0,41.0,41.0,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-05-06,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2018-05-13,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.03,42.03,42.03,0.0,0.0
2018-05-20,42.29,42.29,42.29,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-05-27,41.42,41.42,41.42,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.42,41.42,41.42,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-06-03,42.81,42.81,42.81,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-06-10,42.7,42.7,42.7,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-06-17,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-06-24,42.07,42.07,42.07,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2018-07-01,42.0,42.0,42.0,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2018-07-08,42.17,42.17,42.17,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.09,42.09,42.09,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2018-07-15,41.95,41.95,41.95,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-07-22,42.5,42.5,42.5,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-07-29,43.28,43.28,43.28,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-08-05,43.46,43.46,43.46,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-08-12,43.26,43.26,43.26,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-08-19,43.34,43.34,43.34,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-08-26,42.86,42.86,42.86,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-09-02,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2018-09-09,42.59,42.59,42.59,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.54,42.54,42.54,0.0,0.0
2018-09-16,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2018-09-23,42.01,42.01,42.01,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.94,41.94,41.94,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-09-30,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.9,41.9,41.9,0.0,0.0,41.9,41.9,41.9,0.0,0.0
2018-10-07,40.77,40.77,40.77,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.72,40.72,40.72,0.0,0.0
