Date,PowerShares S&P MidCap Low Volatility Portfolio_Open_average,PowerShares S&P MidCap Low Volatility Portfolio_Open_max,PowerShares S&P MidCap Low Volatility Portfolio_Open_min,PowerShares S&P MidCap Low Volatility Portfolio_Open_volatility,PowerShares S&P MidCap Low Volatility Portfolio_Open_change,PowerShares S&P MidCap Low Volatility Portfolio_High_average,PowerShares S&P MidCap Low Volatility Portfolio_High_max,PowerShares S&P MidCap Low Volatility Portfolio_High_min,PowerShares S&P MidCap Low Volatility Portfolio_High_volatility,PowerShares S&P MidCap Low Volatility Portfolio_High_change,PowerShares S&P MidCap Low Volatility Portfolio_Low_average,PowerShares S&P MidCap Low Volatility Portfolio_Low_max,PowerShares S&P MidCap Low Volatility Portfolio_Low_min,PowerShares S&P MidCap Low Volatility Portfolio_Low_volatility,PowerShares S&P MidCap Low Volatility Portfolio_Low_change,PowerShares S&P MidCap Low Volatility Portfolio_Close_average,PowerShares S&P MidCap Low Volatility Portfolio_Close_max,PowerShares S&P MidCap Low Volatility Portfolio_Close_min,PowerShares S&P MidCap Low Volatility Portfolio_Close_volatility,PowerShares S&P MidCap Low Volatility Portfolio_Close_change
2018-01-14,45.46,45.46,45.46,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.65,45.65,45.65,0.0,0.0
2018-01-21,46.1,46.1,46.1,0.0,0.0,46.13,46.13,46.13,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2018-01-28,44.63,44.63,44.63,0.0,0.0,44.87,44.87,44.87,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-02-04,43.19,43.19,43.19,0.0,0.0,43.52,43.52,43.52,0.0,0.0,42.72,42.72,42.72,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-02-11,44.44,44.44,44.44,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-02-18,44.96,44.96,44.96,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2018-02-25,43.62,43.62,43.62,0.0,0.0,44.46,44.46,44.46,0.0,0.0,43.61,43.61,43.61,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-03-04,45.37,45.37,45.37,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2018-03-11,45.08,45.08,45.08,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-03-18,43.71,43.71,43.71,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.49,43.49,43.49,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2018-03-25,44.68,44.68,44.68,0.0,0.0,44.79,44.79,44.79,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2018-04-01,44.54,44.54,44.54,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2018-04-08,44.71,44.71,44.71,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.65,44.65,44.65,0.0,0.0,45.14,45.14,45.14,0.0,0.0
