Date,ProShares UltraShort IndustrialsEtf_Open_average,ProShares UltraShort IndustrialsEtf_Open_max,ProShares UltraShort IndustrialsEtf_Open_min,ProShares UltraShort IndustrialsEtf_Open_volatility,ProShares UltraShort IndustrialsEtf_Open_change,ProShares UltraShort IndustrialsEtf_High_average,ProShares UltraShort IndustrialsEtf_High_max,ProShares UltraShort IndustrialsEtf_High_min,ProShares UltraShort IndustrialsEtf_High_volatility,ProShares UltraShort IndustrialsEtf_High_change,ProShares UltraShort IndustrialsEtf_Low_average,ProShares UltraShort IndustrialsEtf_Low_max,ProShares UltraShort IndustrialsEtf_Low_min,ProShares UltraShort IndustrialsEtf_Low_volatility,ProShares UltraShort IndustrialsEtf_Low_change,ProShares UltraShort IndustrialsEtf_Close_average,ProShares UltraShort IndustrialsEtf_Close_max,ProShares UltraShort IndustrialsEtf_Close_min,ProShares UltraShort IndustrialsEtf_Close_volatility,ProShares UltraShort IndustrialsEtf_Close_change
2018-01-14,15.18,15.18,15.18,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.18,15.18,15.18,0.0,0.0
2018-01-21,14.84,14.84,14.84,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.65,14.65,14.65,0.0,0.0
2018-01-28,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2018-02-04,17.5,17.5,17.5,0.0,0.0,18.45,18.45,18.45,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.89,17.89,17.89,0.0,0.0
2018-02-11,16.01,16.01,16.01,0.0,0.0,16.01,16.01,16.01,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-02-18,16.34,16.34,16.34,0.0,0.0,16.34,16.34,16.34,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-02-25,17.31,17.31,17.31,0.0,0.0,17.31,17.31,17.31,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2018-03-04,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2018-03-11,15.85,15.85,15.85,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-03-18,16.99,16.99,16.99,0.0,0.0,17.55,17.55,17.55,0.0,0.0,16.94,16.94,16.94,0.0,0.0,17.55,17.55,17.55,0.0,0.0
2018-03-25,16.86,16.86,16.86,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.86,16.86,16.86,0.0,0.0
2018-04-01,17.02,17.02,17.02,0.0,0.0,17.7,17.7,17.7,0.0,0.0,16.74,16.74,16.74,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2018-04-08,16.68,16.68,16.68,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2018-04-15,16.04,16.04,16.04,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2018-04-22,17.25,17.25,17.25,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.23,17.23,17.23,0.0,0.0,17.23,17.23,17.23,0.0,0.0
2018-04-29,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.45,17.45,17.45,0.0,0.0
2018-05-06,16.28,16.28,16.28,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2018-05-13,16.11,16.11,16.11,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2018-05-20,15.93,15.93,15.93,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.93,15.93,15.93,0.0,0.0
2018-05-27,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-06-03,15.54,15.54,15.54,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-06-10,15.78,15.78,15.78,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-06-17,16.09,16.09,16.09,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2018-06-24,16.82,16.82,16.82,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.82,16.82,16.82,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2018-07-01,16.82,16.82,16.82,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2018-07-08,15.85,15.85,15.85,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-07-15,15.68,15.68,15.68,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.68,15.68,15.68,0.0,0.0
2018-07-22,15.21,15.21,15.21,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2018-07-29,15.47,15.47,15.47,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2018-08-05,15.42,15.42,15.42,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2018-08-12,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2018-08-19,14.97,14.97,14.97,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.89,14.89,14.89,0.0,0.0
2018-08-26,14.69,14.69,14.69,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-09-02,14.57,14.57,14.57,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-09-09,14.14,14.14,14.14,0.0,0.0,14.14,14.14,14.14,0.0,0.0,14.05,14.05,14.05,0.0,0.0,14.1,14.1,14.1,0.0,0.0
