Date,NM_Open_average,NM_Open_max,NM_Open_min,NM_Open_volatility,NM_Open_change,NM_High_average,NM_High_max,NM_High_min,NM_High_volatility,NM_High_change,NM_Low_average,NM_Low_max,NM_Low_min,NM_Low_volatility,NM_Low_change,NM_Close_average,NM_Close_max,NM_Close_min,NM_Close_volatility,NM_Close_change,NM_Volume_average,NM_Volume_max,NM_Volume_min,NM_Volume_volatility,NM_Volume_change
2018-01-14,13.5,14.1,13.2,0.9000000000000004,-0.9000000000000004,13.98,14.8,13.4,1.4000000000000004,-0.8000000000000007,13.094,13.5,12.7,0.8000000000000007,-0.34999999999999964,13.56,13.8,13.4,0.40000000000000036,0.20000000000000107,61928,105296,36374,68922,-52944
2018-01-21,13.36,13.9,13.0,0.9000000000000004,-0.9000000000000004,13.58,14.0,13.2,0.8000000000000007,-0.8000000000000007,13.08,13.2,12.8,0.3999999999999986,-0.3999999999999986,13.18,13.4,12.9,0.5,-0.29999999999999893,34797,43751,24888,18863,-14292
2018-01-28,12.459999999999999,12.8,12.0,0.8000000000000007,-0.8000000000000007,12.85,13.1,12.5,0.5999999999999996,-0.34999999999999964,11.98,12.5,11.1,1.4000000000000004,-1.4000000000000004,12.28,12.8,11.6,1.200000000000001,-1.200000000000001,82472,110701,60326,50375,43893
2018-02-04,12.02,12.2,11.6,0.5999999999999996,0.40000000000000036,12.540000000000001,12.9,12.3,0.5999999999999996,0.40000000000000036,11.8,12.0,11.6,0.40000000000000036,0.20000000000000107,12.2,12.7,12.0,0.6999999999999993,0.6999999999999993,67173,91985,36321,55664,-22515
2018-02-11,12.875,13.2,12.5,0.6999999999999993,-0.3999999999999986,13.175,13.3,13.0,0.3000000000000007,0.0,12.5,12.6,12.4,0.1999999999999993,0.0,12.825,13.1,12.5,0.5999999999999996,0.3000000000000007,42188,62730,22698,40032,-3669
2018-02-18,12.76,13.0,12.6,0.40000000000000036,-0.09999999999999964,13.25,13.6,13.0,0.5999999999999996,0.1999999999999993,12.522,12.7,12.4,0.29999999999999893,0.09999999999999964,12.8,13.4,12.5,0.9000000000000004,0.7000000000000011,67879,96079,33406,62673,29806
2018-02-25,12.92,13.3,12.5,0.8000000000000007,-0.3000000000000007,13.21,13.65,12.8,0.8499999999999996,-0.5500000000000007,12.52,13.25,11.9,1.3499999999999996,-0.5,12.86,13.3,12.5,0.8000000000000007,-0.40000000000000036,50703,76534,24746,51788,-24609
2018-03-04,12.299999999999999,12.9,11.6,1.3000000000000007,-1.3000000000000007,12.7,13.1,12.4,0.6999999999999993,-0.6999999999999993,11.9,12.6,11.4,1.1999999999999993,-1.0999999999999996,12.139999999999999,12.7,11.5,1.1999999999999993,-0.5,69807,137244,32730,104514,12352
2018-03-11,11.72,12.2,11.2,1.0,-1.0,11.74,12.3,11.2,1.1000000000000014,-1.1000000000000014,11.38,11.8,10.8,1.0,-1.0,11.5,11.8,11.1,0.7000000000000011,-0.7000000000000011,50229,120060,21707,98353,7985
2018-03-18,10.84,11.5,10.3,1.1999999999999993,-0.7999999999999989,11.08,11.6,10.4,1.1999999999999993,-0.7999999999999989,10.228,10.9,9.0,1.9000000000000004,-1.8000000000000007,10.466000000000001,11.3,9.33,1.9700000000000006,-1.5700000000000003,85024,157245,31023,126222,110102
