Date,SPDR S&P Global Natural Resources_Open_average,SPDR S&P Global Natural Resources_Open_max,SPDR S&P Global Natural Resources_Open_min,SPDR S&P Global Natural Resources_Open_volatility,SPDR S&P Global Natural Resources_Open_change,SPDR S&P Global Natural Resources_High_average,SPDR S&P Global Natural Resources_High_max,SPDR S&P Global Natural Resources_High_min,SPDR S&P Global Natural Resources_High_volatility,SPDR S&P Global Natural Resources_High_change,SPDR S&P Global Natural Resources_Low_average,SPDR S&P Global Natural Resources_Low_max,SPDR S&P Global Natural Resources_Low_min,SPDR S&P Global Natural Resources_Low_volatility,SPDR S&P Global Natural Resources_Low_change,SPDR S&P Global Natural Resources_Close_average,SPDR S&P Global Natural Resources_Close_max,SPDR S&P Global Natural Resources_Close_min,SPDR S&P Global Natural Resources_Close_volatility,SPDR S&P Global Natural Resources_Close_change
2018-01-14,51.89,51.89,51.89,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2018-01-21,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.23,52.23,52.23,0.0,0.0
2018-01-28,49.93,49.93,49.93,0.0,0.0,50.24,50.24,50.24,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-02-04,47.76,47.76,47.76,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.63,47.63,47.63,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-02-11,49.36,49.36,49.36,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-02-18,50.22,50.22,50.22,0.0,0.0,50.41,50.41,50.41,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-02-25,47.95,47.95,47.95,0.0,0.0,48.75,48.75,48.75,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-03-04,49.28,49.28,49.28,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-03-11,48.69,48.69,48.69,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2018-03-18,48.23,48.23,48.23,0.0,0.0,48.51,48.51,48.51,0.0,0.0,47.77,47.77,47.77,0.0,0.0,48.45,48.45,48.45,0.0,0.0
