Date,iShares MSCI South Africa_Open_average,iShares MSCI South Africa_Open_max,iShares MSCI South Africa_Open_min,iShares MSCI South Africa_Open_volatility,iShares MSCI South Africa_Open_change,iShares MSCI South Africa_High_average,iShares MSCI South Africa_High_max,iShares MSCI South Africa_High_min,iShares MSCI South Africa_High_volatility,iShares MSCI South Africa_High_change,iShares MSCI South Africa_Low_average,iShares MSCI South Africa_Low_max,iShares MSCI South Africa_Low_min,iShares MSCI South Africa_Low_volatility,iShares MSCI South Africa_Low_change,iShares MSCI South Africa_Close_average,iShares MSCI South Africa_Close_max,iShares MSCI South Africa_Close_min,iShares MSCI South Africa_Close_volatility,iShares MSCI South Africa_Close_change
2018-01-14,66.12,66.12,66.12,0.0,0.0,66.42,66.42,66.42,0.0,0.0,65.54,65.54,65.54,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2018-01-21,69.44,69.44,69.44,0.0,0.0,70.17,70.17,70.17,0.0,0.0,69.23,69.23,69.23,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-01-28,64.46,64.46,64.46,0.0,0.0,64.65,64.65,64.65,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2018-02-04,61.26,61.26,61.26,0.0,0.0,61.88,61.88,61.88,0.0,0.0,58.96,58.96,58.96,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2018-02-11,67.95,67.95,67.95,0.0,0.0,69.26,69.26,69.26,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.48,68.48,68.48,0.0,0.0
2018-02-18,68.56,68.56,68.56,0.0,0.0,69.5,69.5,69.5,0.0,0.0,68.27,68.27,68.27,0.0,0.0,69.44,69.44,69.44,0.0,0.0
2018-02-25,65.05,65.05,65.05,0.0,0.0,66.47,66.47,66.47,0.0,0.0,64.5,64.5,64.5,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-03-04,67.69,67.69,67.69,0.0,0.0,68.68,68.68,68.68,0.0,0.0,67.47,67.47,67.47,0.0,0.0,68.61,68.61,68.61,0.0,0.0
2018-03-11,65.39,65.39,65.39,0.0,0.0,65.83,65.83,65.83,0.0,0.0,64.74,64.74,64.74,0.0,0.0,64.94,64.94,64.94,0.0,0.0
2018-03-18,64.71,64.71,64.71,0.0,0.0,65.18,65.18,65.18,0.0,0.0,62.88,62.88,62.88,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-03-25,62.42,62.42,62.42,0.0,0.0,63.65,63.65,63.65,0.0,0.0,62.25,62.25,62.25,0.0,0.0,63.36,63.36,63.36,0.0,0.0
2018-04-01,62.25,62.25,62.25,0.0,0.0,62.69,62.69,62.69,0.0,0.0,60.89,60.89,60.89,0.0,0.0,61.51,61.51,61.51,0.0,0.0
2018-04-08,62.37,62.37,62.37,0.0,0.0,62.56,62.56,62.56,0.0,0.0,61.78,61.78,61.78,0.0,0.0,62.0,62.0,62.0,0.0,0.0
2018-04-15,63.51,63.51,63.51,0.0,0.0,63.56,63.56,63.56,0.0,0.0,62.75,62.75,62.75,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-04-22,61.33,61.33,61.33,0.0,0.0,62.12,62.12,62.12,0.0,0.0,60.78,60.78,60.78,0.0,0.0,61.95,61.95,61.95,0.0,0.0
2018-04-29,59.52,59.52,59.52,0.0,0.0,60.95,60.95,60.95,0.0,0.0,59.33,59.33,59.33,0.0,0.0,60.54,60.54,60.54,0.0,0.0
2018-05-06,62.62,62.62,62.62,0.0,0.0,63.14,63.14,63.14,0.0,0.0,62.31,62.31,62.31,0.0,0.0,62.61,62.61,62.61,0.0,0.0
2018-05-13,58.52,58.52,58.52,0.0,0.0,58.69,58.69,58.69,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2018-05-20,59.02,59.02,59.02,0.0,0.0,59.82,59.82,59.82,0.0,0.0,58.89,58.89,58.89,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2018-05-27,58.81,58.81,58.81,0.0,0.0,59.27,59.27,59.27,0.0,0.0,58.51,58.51,58.51,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2018-06-03,56.81,56.81,56.81,0.0,0.0,57.49,57.49,57.49,0.0,0.0,56.35,56.35,56.35,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2018-06-10,55.27,55.27,55.27,0.0,0.0,55.72,55.72,55.72,0.0,0.0,54.68,54.68,54.68,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2018-06-17,53.59,53.59,53.59,0.0,0.0,53.91,53.91,53.91,0.0,0.0,52.9,52.9,52.9,0.0,0.0,53.48,53.48,53.48,0.0,0.0
2018-06-24,52.54,52.54,52.54,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.03,52.03,52.03,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2018-07-01,53.71,53.71,53.71,0.0,0.0,54.81,54.81,54.81,0.0,0.0,53.71,53.71,53.71,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2018-07-08,54.21,54.21,54.21,0.0,0.0,54.53,54.53,54.53,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-07-15,54.11,54.11,54.11,0.0,0.0,54.54,54.54,54.54,0.0,0.0,53.95,53.95,53.95,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2018-07-22,55.49,55.49,55.49,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2018-07-29,54.63,54.63,54.63,0.0,0.0,55.26,55.26,55.26,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.94,54.94,54.94,0.0,0.0
2018-08-05,52.03,52.03,52.03,0.0,0.0,52.34,52.34,52.34,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2018-08-12,47.62,47.62,47.62,0.0,0.0,49.18,49.18,49.18,0.0,0.0,47.5,47.5,47.5,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-08-19,52.68,52.68,52.68,0.0,0.0,53.01,53.01,53.01,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-08-26,50.27,50.27,50.27,0.0,0.0,50.8,50.8,50.8,0.0,0.0,49.67,49.67,49.67,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-09-02,47.3,47.3,47.3,0.0,0.0,47.88,47.88,47.88,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2018-09-09,48.04,48.04,48.04,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.07,47.07,47.07,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2018-09-16,49.99,49.99,49.99,0.0,0.0,50.82,50.82,50.82,0.0,0.0,49.91,49.91,49.91,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2018-09-23,49.33,49.33,49.33,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-09-30,46.13,46.13,46.13,0.0,0.0,46.43,46.43,46.43,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.74,45.74,45.74,0.0,0.0
2018-10-07,46.9,46.9,46.9,0.0,0.0,47.21,47.21,47.21,0.0,0.0,45.63,45.63,45.63,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-10-14,45.92,45.92,45.92,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.62,45.62,45.62,0.0,0.0
2018-10-21,43.99,43.99,43.99,0.0,0.0,45.02,45.02,45.02,0.0,0.0,43.54,43.54,43.54,0.0,0.0,44.54,44.54,44.54,0.0,0.0
2018-10-28,48.59,48.59,48.59,0.0,0.0,48.84,48.84,48.84,0.0,0.0,47.36,47.36,47.36,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2018-11-04,48.27,48.27,48.27,0.0,0.0,48.32,48.32,48.32,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2018-11-11,48.32,48.32,48.32,0.0,0.0,49.35,49.35,49.35,0.0,0.0,48.1,48.1,48.1,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-11-18,47.83,47.83,47.83,0.0,0.0,48.44,48.44,48.44,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.83,47.83,47.83,0.0,0.0
2018-11-25,49.23,49.23,49.23,0.0,0.0,49.46,49.46,49.46,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-12-02,48.24,48.24,48.24,0.0,0.0,48.6,48.6,48.6,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-12-09,46.93,46.93,46.93,0.0,0.0,47.23,47.23,47.23,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-12-16,46.29,46.29,46.29,0.0,0.0,46.53,46.53,46.53,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-12-23,46.73,46.73,46.73,0.0,0.0,47.21,47.21,47.21,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2018-12-30,47.6,47.6,47.6,0.0,0.0,49.28,49.28,49.28,0.0,0.0,47.39,47.39,47.39,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2019-01-06,50.13,50.13,50.13,0.0,0.0,50.59,50.59,50.59,0.0,0.0,49.86,49.86,49.86,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2019-01-13,50.39,50.39,50.39,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.53,50.53,50.53,0.0,0.0
2019-01-20,51.11,51.11,51.11,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2019-01-27,52.28,52.28,52.28,0.0,0.0,52.3,52.3,52.3,0.0,0.0,51.87,51.87,51.87,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2019-02-03,50.01,50.01,50.01,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.44,49.44,49.44,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2019-02-10,48.48,48.48,48.48,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2019-02-17,50.08,50.08,50.08,0.0,0.0,50.62,50.62,50.62,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-02-24,49.43,49.43,49.43,0.0,0.0,49.56,49.56,49.56,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2019-03-03,47.76,47.76,47.76,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2019-03-10,48.37,48.37,48.37,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2019-03-17,48.33,48.33,48.33,0.0,0.0,48.48,48.48,48.48,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2019-03-24,48.15,48.15,48.15,0.0,0.0,48.47,48.47,48.47,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2019-03-31,51.37,51.37,51.37,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2019-04-07,52.77,52.77,52.77,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2019-04-14,53.28,53.28,53.28,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2019-04-21,52.12,52.12,52.12,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2019-04-28,52.3,52.3,52.3,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2019-05-05,51.67,51.67,51.67,0.0,0.0,52.24,52.24,52.24,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2019-05-12,49.32,49.32,49.32,0.0,0.0,49.62,49.62,49.62,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2019-05-19,47.56,47.56,47.56,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2019-05-26,48.01,48.01,48.01,0.0,0.0,49.02,49.02,49.02,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2019-06-02,48.22,48.22,48.22,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2019-06-09,49.32,49.32,49.32,0.0,0.0,49.37,49.37,49.37,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2019-06-16,50.72,50.72,50.72,0.0,0.0,51.15,51.15,51.15,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2019-06-23,50.44,50.44,50.44,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2019-06-30,49.51,49.51,49.51,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2019-07-07,50.03,50.03,50.03,0.0,0.0,50.18,50.18,50.18,0.0,0.0,49.7,49.7,49.7,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2019-07-14,51.14,51.14,51.14,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.64,50.64,50.64,0.0,0.0
2019-07-21,49.22,49.22,49.22,0.0,0.0,49.37,49.37,49.37,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.89,48.89,48.89,0.0,0.0
