Date,ProShares UltraPro Short 20+ Year TreasuryEtf_Open_average,ProShares UltraPro Short 20+ Year TreasuryEtf_Open_max,ProShares UltraPro Short 20+ Year TreasuryEtf_Open_min,ProShares UltraPro Short 20+ Year TreasuryEtf_Open_volatility,ProShares UltraPro Short 20+ Year TreasuryEtf_Open_change,ProShares UltraPro Short 20+ Year TreasuryEtf_High_average,ProShares UltraPro Short 20+ Year TreasuryEtf_High_max,ProShares UltraPro Short 20+ Year TreasuryEtf_High_min,ProShares UltraPro Short 20+ Year TreasuryEtf_High_volatility,ProShares UltraPro Short 20+ Year TreasuryEtf_High_change,ProShares UltraPro Short 20+ Year TreasuryEtf_Low_average,ProShares UltraPro Short 20+ Year TreasuryEtf_Low_max,ProShares UltraPro Short 20+ Year TreasuryEtf_Low_min,ProShares UltraPro Short 20+ Year TreasuryEtf_Low_volatility,ProShares UltraPro Short 20+ Year TreasuryEtf_Low_change,ProShares UltraPro Short 20+ Year TreasuryEtf_Close_average,ProShares UltraPro Short 20+ Year TreasuryEtf_Close_max,ProShares UltraPro Short 20+ Year TreasuryEtf_Close_min,ProShares UltraPro Short 20+ Year TreasuryEtf_Close_volatility,ProShares UltraPro Short 20+ Year TreasuryEtf_Close_change
2018-01-14,26.47,26.47,26.47,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2018-01-21,26.27,26.27,26.27,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-01-28,28.49,28.49,28.49,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-02-04,29.95,29.95,29.95,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.2,29.2,29.2,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-02-11,29.22,29.22,29.22,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-02-18,30.05,30.05,30.05,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-02-25,29.07,29.07,29.07,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-03-04,29.8,29.8,29.8,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-03-11,28.48,28.48,28.48,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-03-18,28.58,28.58,28.58,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2018-03-25,27.26,27.26,27.26,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.75,26.75,26.75,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-04-01,27.67,27.67,27.67,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-04-08,27.79,27.79,27.79,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-04-15,28.96,28.96,28.96,0.0,0.0,29.28,29.28,29.28,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-04-22,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-04-29,28.57,28.57,28.57,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-05-06,28.45,28.45,28.45,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-05-13,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-05-20,28.25,28.25,28.25,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-05-27,27.58,27.58,27.58,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-06-03,27.97,27.97,27.97,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.76,27.76,27.76,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-06-10,27.12,27.12,27.12,0.0,0.0,27.47,27.47,27.47,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-06-17,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2018-06-24,26.31,26.31,26.31,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-07-01,25.78,25.78,25.78,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-07-08,25.88,25.88,25.88,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-07-15,26.53,26.53,26.53,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.53,26.53,26.53,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-07-22,27.75,27.75,27.75,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.89,27.89,27.89,0.0,0.0
