Date,Direxion Daily Real Estate Bull 3X Shares_Open_average,Direxion Daily Real Estate Bull 3X Shares_Open_max,Direxion Daily Real Estate Bull 3X Shares_Open_min,Direxion Daily Real Estate Bull 3X Shares_Open_volatility,Direxion Daily Real Estate Bull 3X Shares_Open_change,Direxion Daily Real Estate Bull 3X Shares_High_average,Direxion Daily Real Estate Bull 3X Shares_High_max,Direxion Daily Real Estate Bull 3X Shares_High_min,Direxion Daily Real Estate Bull 3X Shares_High_volatility,Direxion Daily Real Estate Bull 3X Shares_High_change,Direxion Daily Real Estate Bull 3X Shares_Low_average,Direxion Daily Real Estate Bull 3X Shares_Low_max,Direxion Daily Real Estate Bull 3X Shares_Low_min,Direxion Daily Real Estate Bull 3X Shares_Low_volatility,Direxion Daily Real Estate Bull 3X Shares_Low_change,Direxion Daily Real Estate Bull 3X Shares_Close_average,Direxion Daily Real Estate Bull 3X Shares_Close_max,Direxion Daily Real Estate Bull 3X Shares_Close_min,Direxion Daily Real Estate Bull 3X Shares_Close_volatility,Direxion Daily Real Estate Bull 3X Shares_Close_change
2018-01-14,19.45,19.45,19.45,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-01-21,19.96,19.96,19.96,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2018-01-28,17.99,17.99,17.99,0.0,0.0,18.42,18.42,18.42,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2018-02-04,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0,14.68,14.68,14.68,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-02-11,16.53,16.53,16.53,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2018-02-18,16.62,16.62,16.62,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2018-02-25,15.36,15.36,15.36,0.0,0.0,16.11,16.11,16.11,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-03-04,16.75,16.75,16.75,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-03-11,17.28,17.28,17.28,0.0,0.0,17.28,17.28,17.28,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.9,16.9,16.9,0.0,0.0
2018-03-18,15.42,15.42,15.42,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.66,15.66,15.66,0.0,0.0
