Date,iShares Global High Yield Corporate Bond_etf_Open_average,iShares Global High Yield Corporate Bond_etf_Open_max,iShares Global High Yield Corporate Bond_etf_Open_min,iShares Global High Yield Corporate Bond_etf_Open_volatility,iShares Global High Yield Corporate Bond_etf_Open_change,iShares Global High Yield Corporate Bond_etf_High_average,iShares Global High Yield Corporate Bond_etf_High_max,iShares Global High Yield Corporate Bond_etf_High_min,iShares Global High Yield Corporate Bond_etf_High_volatility,iShares Global High Yield Corporate Bond_etf_High_change,iShares Global High Yield Corporate Bond_etf_Low_average,iShares Global High Yield Corporate Bond_etf_Low_max,iShares Global High Yield Corporate Bond_etf_Low_min,iShares Global High Yield Corporate Bond_etf_Low_volatility,iShares Global High Yield Corporate Bond_etf_Low_change,iShares Global High Yield Corporate Bond_etf_Close_average,iShares Global High Yield Corporate Bond_etf_Close_max,iShares Global High Yield Corporate Bond_etf_Close_min,iShares Global High Yield Corporate Bond_etf_Close_volatility,iShares Global High Yield Corporate Bond_etf_Close_change
2018-01-14,51.12,51.12,51.12,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2018-01-21,51.53,51.53,51.53,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-01-28,50.93,50.93,50.93,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-02-04,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-02-11,50.55,50.55,50.55,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-02-18,50.18,50.18,50.18,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2018-02-25,49.98,49.98,49.98,0.0,0.0,50.26,50.26,50.26,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-03-04,50.27,50.27,50.27,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-03-11,50.1,50.1,50.1,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-03-18,49.84,49.84,49.84,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-03-25,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.93,49.93,49.93,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-04-01,49.96,49.96,49.96,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-04-08,50.42,50.42,50.42,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-04-15,50.42,50.42,50.42,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-04-22,50.01,50.01,50.01,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-04-29,49.5,49.5,49.5,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2018-05-06,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-05-13,49.3,49.3,49.3,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-05-20,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-05-27,48.93,48.93,48.93,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-06-03,49.21,49.21,49.21,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-06-10,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-06-17,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-06-24,49.07,49.07,49.07,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-07-01,49.05,49.05,49.05,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.82,48.82,48.82,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-07-08,49.19,49.19,49.19,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-07-15,49.15,49.15,49.15,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2018-07-22,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.26,49.26,49.26,0.0,0.0
2018-07-29,49.16,49.16,49.16,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-08-05,49.02,49.02,49.02,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-08-12,48.93,48.93,48.93,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-08-19,49.28,49.28,49.28,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-08-26,49.4,49.4,49.4,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-09-02,49.02,49.02,49.02,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-09-09,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-09-16,49.63,49.63,49.63,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.66,49.66,49.66,0.0,0.0
