Date,ProShares Ultra Utilities_Open_average,ProShares Ultra Utilities_Open_max,ProShares Ultra Utilities_Open_min,ProShares Ultra Utilities_Open_volatility,ProShares Ultra Utilities_Open_change,ProShares Ultra Utilities_High_average,ProShares Ultra Utilities_High_max,ProShares Ultra Utilities_High_min,ProShares Ultra Utilities_High_volatility,ProShares Ultra Utilities_High_change,ProShares Ultra Utilities_Low_average,ProShares Ultra Utilities_Low_max,ProShares Ultra Utilities_Low_min,ProShares Ultra Utilities_Low_volatility,ProShares Ultra Utilities_Low_change,ProShares Ultra Utilities_Close_average,ProShares Ultra Utilities_Close_max,ProShares Ultra Utilities_Close_min,ProShares Ultra Utilities_Close_volatility,ProShares Ultra Utilities_Close_change
2018-01-14,42.68,42.68,42.68,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-01-21,44.36,44.36,44.36,0.0,0.0,44.36,44.36,44.36,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2018-01-28,41.96,41.96,41.96,0.0,0.0,42.48,42.48,42.48,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-02-04,39.67,39.67,39.67,0.0,0.0,40.67,40.67,40.67,0.0,0.0,39.45,39.45,39.45,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2018-02-11,41.21,41.21,41.21,0.0,0.0,42.33,42.33,42.33,0.0,0.0,41.21,41.21,41.21,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-02-18,42.94,42.94,42.94,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-02-25,39.93,39.93,39.93,0.0,0.0,41.17,41.17,41.17,0.0,0.0,39.93,39.93,39.93,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-03-04,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-03-11,42.59,42.59,42.59,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2018-03-18,41.45,41.45,41.45,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-03-25,43.68,43.68,43.68,0.0,0.0,43.71,43.71,43.71,0.0,0.0,41.83,41.83,41.83,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2018-04-01,43.84,43.84,43.84,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-04-08,43.15,43.15,43.15,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2018-04-15,43.21,43.21,43.21,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-04-22,45.7,45.7,45.7,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2018-04-29,45.65,45.65,45.65,0.0,0.0,45.65,45.65,45.65,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-05-06,43.66,43.66,43.66,0.0,0.0,43.66,43.66,43.66,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-05-13,41.14,41.14,41.14,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2018-05-20,43.4,43.4,43.4,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.72,43.72,43.72,0.0,0.0
2018-05-27,43.68,43.68,43.68,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.68,43.68,43.68,0.0,0.0
2018-06-03,40.77,40.77,40.77,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2018-06-10,43.01,43.01,43.01,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.82,42.82,42.82,0.0,0.0
2018-06-17,45.55,45.55,45.55,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2018-06-24,46.52,46.52,46.52,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-07-01,49.13,49.13,49.13,0.0,0.0,49.13,49.13,49.13,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2018-07-08,46.95,46.95,46.95,0.0,0.0,47.23,47.23,47.23,0.0,0.0,46.95,46.95,46.95,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2018-07-15,46.34,46.34,46.34,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.26,46.26,46.26,0.0,0.0
