Date,First Trust Financial AlphaDEX_Open_average,First Trust Financial AlphaDEX_Open_max,First Trust Financial AlphaDEX_Open_min,First Trust Financial AlphaDEX_Open_volatility,First Trust Financial AlphaDEX_Open_change,First Trust Financial AlphaDEX_High_average,First Trust Financial AlphaDEX_High_max,First Trust Financial AlphaDEX_High_min,First Trust Financial AlphaDEX_High_volatility,First Trust Financial AlphaDEX_High_change,First Trust Financial AlphaDEX_Low_average,First Trust Financial AlphaDEX_Low_max,First Trust Financial AlphaDEX_Low_min,First Trust Financial AlphaDEX_Low_volatility,First Trust Financial AlphaDEX_Low_change,First Trust Financial AlphaDEX_Close_average,First Trust Financial AlphaDEX_Close_max,First Trust Financial AlphaDEX_Close_min,First Trust Financial AlphaDEX_Close_volatility,First Trust Financial AlphaDEX_Close_change
2018-01-14,32.09,32.09,32.09,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-01-21,32.77,32.77,32.77,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-01-28,32.24,32.24,32.24,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-02-04,30.07,30.07,30.07,0.0,0.0,30.34,30.34,30.34,0.0,0.0,29.28,29.28,29.28,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-02-11,31.44,31.44,31.44,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-02-18,31.26,31.26,31.26,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-02-25,30.72,30.72,30.72,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.5,30.5,30.5,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-03-04,32.09,32.09,32.09,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-03-11,32.04,32.04,32.04,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2018-03-18,31.11,31.11,31.11,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-03-25,30.88,30.88,30.88,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.8,30.8,30.8,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-04-01,30.91,30.91,30.91,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-04-08,31.14,31.14,31.14,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-04-15,31.14,31.14,31.14,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-04-22,31.14,31.14,31.14,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-04-29,30.63,30.63,30.63,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.63,30.63,30.63,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-05-06,31.87,31.87,31.87,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-05-13,31.77,31.77,31.77,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-05-20,31.89,31.89,31.89,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-05-27,31.82,31.82,31.82,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-06-03,32.4,32.4,32.4,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.58,32.58,32.58,0.0,0.0
