Date,ProShares UltraPro Short NASDAQ Biotechnology_Open_average,ProShares UltraPro Short NASDAQ Biotechnology_Open_max,ProShares UltraPro Short NASDAQ Biotechnology_Open_min,ProShares UltraPro Short NASDAQ Biotechnology_Open_volatility,ProShares UltraPro Short NASDAQ Biotechnology_Open_change,ProShares UltraPro Short NASDAQ Biotechnology_High_average,ProShares UltraPro Short NASDAQ Biotechnology_High_max,ProShares UltraPro Short NASDAQ Biotechnology_High_min,ProShares UltraPro Short NASDAQ Biotechnology_High_volatility,ProShares UltraPro Short NASDAQ Biotechnology_High_change,ProShares UltraPro Short NASDAQ Biotechnology_Low_average,ProShares UltraPro Short NASDAQ Biotechnology_Low_max,ProShares UltraPro Short NASDAQ Biotechnology_Low_min,ProShares UltraPro Short NASDAQ Biotechnology_Low_volatility,ProShares UltraPro Short NASDAQ Biotechnology_Low_change,ProShares UltraPro Short NASDAQ Biotechnology_Close_average,ProShares UltraPro Short NASDAQ Biotechnology_Close_max,ProShares UltraPro Short NASDAQ Biotechnology_Close_min,ProShares UltraPro Short NASDAQ Biotechnology_Close_volatility,ProShares UltraPro Short NASDAQ Biotechnology_Close_change
2018-01-14,19.34,19.34,19.34,0.0,0.0,19.34,19.34,19.34,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.74,17.74,17.74,0.0,0.0
2018-01-21,16.56,16.56,16.56,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.06,16.06,16.06,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2018-01-28,19.71,19.71,19.71,0.0,0.0,21.74,21.74,21.74,0.0,0.0,19.06,19.06,19.06,0.0,0.0,21.74,21.74,21.74,0.0,0.0
2018-02-04,21.62,21.62,21.62,0.0,0.0,22.3,22.3,22.3,0.0,0.0,20.76,20.76,20.76,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2018-02-11,19.44,19.44,19.44,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2018-02-18,18.7,18.7,18.7,0.0,0.0,19.3,19.3,19.3,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2018-02-25,19.58,19.58,19.58,0.0,0.0,20.04,20.04,20.04,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2018-03-04,17.36,17.36,17.36,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.22,17.22,17.22,0.0,0.0
2018-03-11,18.4,18.4,18.4,0.0,0.0,19.56,19.56,19.56,0.0,0.0,18.27,18.27,18.27,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-03-18,20.9,20.9,20.9,0.0,0.0,22.15,22.15,22.15,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.26,20.26,20.26,0.0,0.0
2018-03-25,21.52,21.52,21.52,0.0,0.0,24.0,24.0,24.0,0.0,0.0,21.52,21.52,21.52,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-04-01,23.46,23.46,23.46,0.0,0.0,23.46,23.46,23.46,0.0,0.0,21.8,21.8,21.8,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2018-04-08,20.56,20.56,20.56,0.0,0.0,21.32,21.32,21.32,0.0,0.0,20.56,20.56,20.56,0.0,0.0,21.16,21.16,21.16,0.0,0.0
2018-04-15,21.0,21.0,21.0,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2018-04-22,20.94,20.94,20.94,0.0,0.0,22.06,22.06,22.06,0.0,0.0,20.94,20.94,20.94,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2018-04-29,22.35,22.35,22.35,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.44,22.44,22.44,0.0,0.0
2018-05-06,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-05-13,19.53,19.53,19.53,0.0,0.0,20.4,20.4,20.4,0.0,0.0,19.53,19.53,19.53,0.0,0.0,20.22,20.22,20.22,0.0,0.0
2018-05-20,19.61,19.61,19.61,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2018-05-27,18.58,18.58,18.58,0.0,0.0,19.4,19.4,19.4,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2018-06-03,18.0,18.0,18.0,0.0,0.0,18.66,18.66,18.66,0.0,0.0,17.97,17.97,17.97,0.0,0.0,18.38,18.38,18.38,0.0,0.0
2018-06-10,18.35,18.35,18.35,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0
