Date,iShares Global Telecom_Open_average,iShares Global Telecom_Open_max,iShares Global Telecom_Open_min,iShares Global Telecom_Open_volatility,iShares Global Telecom_Open_change,iShares Global Telecom_High_average,iShares Global Telecom_High_max,iShares Global Telecom_High_min,iShares Global Telecom_High_volatility,iShares Global Telecom_High_change,iShares Global Telecom_Low_average,iShares Global Telecom_Low_max,iShares Global Telecom_Low_min,iShares Global Telecom_Low_volatility,iShares Global Telecom_Low_change,iShares Global Telecom_Close_average,iShares Global Telecom_Close_max,iShares Global Telecom_Close_min,iShares Global Telecom_Close_volatility,iShares Global Telecom_Close_change
2018-01-14,60.71,60.71,60.71,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.49,60.49,60.49,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2018-01-21,62.2,62.2,62.2,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.09,62.09,62.09,0.0,0.0,62.51,62.51,62.51,0.0,0.0
2018-01-28,61.39,61.39,61.39,0.0,0.0,61.42,61.42,61.42,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.71,60.71,60.71,0.0,0.0
2018-02-04,57.48,57.48,57.48,0.0,0.0,57.76,57.76,57.76,0.0,0.0,56.15,56.15,56.15,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2018-02-11,58.47,58.47,58.47,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-02-18,58.31,58.31,58.31,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2018-02-25,57.1,57.1,57.1,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.64,57.64,57.64,0.0,0.0
2018-03-04,58.89,58.89,58.89,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.61,58.61,58.61,0.0,0.0,59.01,59.01,59.01,0.0,0.0
2018-03-11,58.35,58.35,58.35,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-03-18,56.82,56.82,56.82,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-03-25,57.26,57.26,57.26,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.05,57.05,57.05,0.0,0.0,57.33,57.33,57.33,0.0,0.0
2018-04-01,57.85,57.85,57.85,0.0,0.0,57.93,57.93,57.93,0.0,0.0,57.21,57.21,57.21,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-04-08,58.24,58.24,58.24,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.11,58.11,58.11,0.0,0.0
2018-04-15,58.47,58.47,58.47,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2018-04-22,58.47,58.47,58.47,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2018-04-29,56.82,56.82,56.82,0.0,0.0,57.48,57.48,57.48,0.0,0.0,56.82,56.82,56.82,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2018-05-06,57.32,57.32,57.32,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2018-05-13,55.82,55.82,55.82,0.0,0.0,55.82,55.82,55.82,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2018-05-20,55.74,55.74,55.74,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2018-05-27,55.28,55.28,55.28,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.32,55.32,55.32,0.0,0.0
2018-06-03,56.12,56.12,56.12,0.0,0.0,56.43,56.43,56.43,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-06-10,55.72,55.72,55.72,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-06-17,54.13,54.13,54.13,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.44,54.44,54.44,0.0,0.0
2018-06-24,54.08,54.08,54.08,0.0,0.0,54.25,54.25,54.25,0.0,0.0,53.96,53.96,53.96,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2018-07-01,55.37,55.37,55.37,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2018-07-08,55.53,55.53,55.53,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-07-15,54.94,54.94,54.94,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-07-22,55.26,55.26,55.26,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2018-07-29,55.61,55.61,55.61,0.0,0.0,56.04,56.04,56.04,0.0,0.0,55.61,55.61,55.61,0.0,0.0,56.04,56.04,56.04,0.0,0.0
2018-08-05,56.19,56.19,56.19,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.12,56.12,56.12,0.0,0.0
2018-08-12,56.63,56.63,56.63,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2018-08-19,56.61,56.61,56.61,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.59,56.59,56.59,0.0,0.0,56.76,56.76,56.76,0.0,0.0
