Date,Vanguard S&P 500 Value_Open_average,Vanguard S&P 500 Value_Open_max,Vanguard S&P 500 Value_Open_min,Vanguard S&P 500 Value_Open_volatility,Vanguard S&P 500 Value_Open_change,Vanguard S&P 500 Value_High_average,Vanguard S&P 500 Value_High_max,Vanguard S&P 500 Value_High_min,Vanguard S&P 500 Value_High_volatility,Vanguard S&P 500 Value_High_change,Vanguard S&P 500 Value_Low_average,Vanguard S&P 500 Value_Low_max,Vanguard S&P 500 Value_Low_min,Vanguard S&P 500 Value_Low_volatility,Vanguard S&P 500 Value_Low_change,Vanguard S&P 500 Value_Close_average,Vanguard S&P 500 Value_Close_max,Vanguard S&P 500 Value_Close_min,Vanguard S&P 500 Value_Close_volatility,Vanguard S&P 500 Value_Close_change
2018-01-14,114.43,114.43,114.43,0.0,0.0,115.43,115.43,115.43,0.0,0.0,114.43,114.43,114.43,0.0,0.0,115.43,115.43,115.43,0.0,0.0
2018-01-21,116.47,116.47,116.47,0.0,0.0,116.57,116.57,116.57,0.0,0.0,115.95,115.95,115.95,0.0,0.0,115.95,115.95,115.95,0.0,0.0
2018-01-28,110.96,110.96,110.96,0.0,0.0,111.69,111.69,111.69,0.0,0.0,106.81,106.81,106.81,0.0,0.0,107.39,107.39,107.39,0.0,0.0
2018-02-04,106.94,106.94,106.94,0.0,0.0,107.9,107.9,107.9,0.0,0.0,106.2,106.2,106.2,0.0,0.0,107.25,107.25,107.25,0.0,0.0
2018-02-11,109.56,109.56,109.56,0.0,0.0,110.8,110.8,110.8,0.0,0.0,109.56,109.56,109.56,0.0,0.0,110.03,110.03,110.03,0.0,0.0
2018-02-18,110.32,110.32,110.32,0.0,0.0,111.14,111.14,111.14,0.0,0.0,110.07,110.07,110.07,0.0,0.0,111.01,111.01,111.01,0.0,0.0
2018-02-25,106.82,106.82,106.82,0.0,0.0,108.87,108.87,108.87,0.0,0.0,106.82,106.82,106.82,0.0,0.0,108.68,108.68,108.68,0.0,0.0
2018-03-04,110.66,110.66,110.66,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.22,110.22,110.22,0.0,0.0,110.58,110.58,110.58,0.0,0.0
2018-03-11,108.88,108.88,108.88,0.0,0.0,108.88,108.88,108.88,0.0,0.0,107.32,107.32,107.32,0.0,0.0,107.87,107.87,107.87,0.0,0.0
2018-03-18,104.19,104.19,104.19,0.0,0.0,105.16,105.16,105.16,0.0,0.0,103.39,103.39,103.39,0.0,0.0,105.15,105.15,105.15,0.0,0.0
2018-03-25,104.94,104.94,104.94,0.0,0.0,105.22,105.22,105.22,0.0,0.0,102.0,102.0,102.0,0.0,0.0,103.1,103.1,103.1,0.0,0.0
2018-04-01,104.94,104.94,104.94,0.0,0.0,105.95,105.95,105.95,0.0,0.0,104.54,104.54,104.54,0.0,0.0,104.55,104.55,104.55,0.0,0.0
2018-04-08,106.77,106.77,106.77,0.0,0.0,107.41,107.41,107.41,0.0,0.0,106.5,106.5,106.5,0.0,0.0,107.06,107.06,107.06,0.0,0.0
2018-04-15,106.83,106.83,106.83,0.0,0.0,106.98,106.98,106.98,0.0,0.0,106.4,106.4,106.4,0.0,0.0,106.82,106.82,106.82,0.0,0.0
