Date,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Open_average,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Open_max,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Open_min,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Open_volatility,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Open_change,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_High_average,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_High_max,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_High_min,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_High_volatility,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_High_change,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Low_average,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Low_max,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Low_min,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Low_volatility,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Low_change,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Close_average,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Close_max,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Close_min,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Close_volatility,PIMCO RAFI Dynamic Multi-Factor EM Equity_etf_Close_change
2018-01-14,27.7,27.7,27.7,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-01-21,28.21,28.21,28.21,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-01-28,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-02-04,25.73,25.73,25.73,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-02-11,27.18,27.18,27.18,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-02-18,27.12,27.12,27.12,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-02-25,26.27,26.27,26.27,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-03-04,26.94,26.94,26.94,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-03-11,26.99,26.99,26.99,0.0,0.0,27.06,27.06,27.06,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-03-18,26.35,26.35,26.35,0.0,0.0,26.37,26.37,26.37,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-03-25,26.25,26.25,26.25,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-04-01,26.22,26.22,26.22,0.0,0.0,26.25,26.25,26.25,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.92,25.92,25.92,0.0,0.0
