Date,ProShares UltraShort UtilitiesEtf_Open_average,ProShares UltraShort UtilitiesEtf_Open_max,ProShares UltraShort UtilitiesEtf_Open_min,ProShares UltraShort UtilitiesEtf_Open_volatility,ProShares UltraShort UtilitiesEtf_Open_change,ProShares UltraShort UtilitiesEtf_High_average,ProShares UltraShort UtilitiesEtf_High_max,ProShares UltraShort UtilitiesEtf_High_min,ProShares UltraShort UtilitiesEtf_High_volatility,ProShares UltraShort UtilitiesEtf_High_change,ProShares UltraShort UtilitiesEtf_Low_average,ProShares UltraShort UtilitiesEtf_Low_max,ProShares UltraShort UtilitiesEtf_Low_min,ProShares UltraShort UtilitiesEtf_Low_volatility,ProShares UltraShort UtilitiesEtf_Low_change,ProShares UltraShort UtilitiesEtf_Close_average,ProShares UltraShort UtilitiesEtf_Close_max,ProShares UltraShort UtilitiesEtf_Close_min,ProShares UltraShort UtilitiesEtf_Close_volatility,ProShares UltraShort UtilitiesEtf_Close_change
2018-01-14,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-01-21,27.16,27.16,27.16,0.0,0.0,27.34,27.34,27.34,0.0,0.0,26.63,26.63,26.63,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-01-28,28.32,28.32,28.32,0.0,0.0,28.39,28.39,28.39,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-02-04,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-02-11,28.1,28.1,28.1,0.0,0.0,28.51,28.51,28.51,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-02-18,28.58,28.58,28.58,0.0,0.0,28.69,28.69,28.69,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-02-25,28.67,28.67,28.67,0.0,0.0,29.45,29.45,29.45,0.0,0.0,28.67,28.67,28.67,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2018-03-04,28.59,28.59,28.59,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2018-03-11,27.63,27.63,27.63,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-03-18,27.37,27.37,27.37,0.0,0.0,28.41,28.41,28.41,0.0,0.0,27.37,27.37,27.37,0.0,0.0,28.41,28.41,28.41,0.0,0.0
