Date,ProShares UltraShort Health Care_Open_average,ProShares UltraShort Health Care_Open_max,ProShares UltraShort Health Care_Open_min,ProShares UltraShort Health Care_Open_volatility,ProShares UltraShort Health Care_Open_change,ProShares UltraShort Health Care_High_average,ProShares UltraShort Health Care_High_max,ProShares UltraShort Health Care_High_min,ProShares UltraShort Health Care_High_volatility,ProShares UltraShort Health Care_High_change,ProShares UltraShort Health Care_Low_average,ProShares UltraShort Health Care_Low_max,ProShares UltraShort Health Care_Low_min,ProShares UltraShort Health Care_Low_volatility,ProShares UltraShort Health Care_Low_change,ProShares UltraShort Health Care_Close_average,ProShares UltraShort Health Care_Close_max,ProShares UltraShort Health Care_Close_min,ProShares UltraShort Health Care_Close_volatility,ProShares UltraShort Health Care_Close_change
2018-01-14,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-01-21,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2018-01-28,27.3,27.3,27.3,0.0,0.0,29.25,29.25,29.25,0.0,0.0,27.3,27.3,27.3,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-02-04,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-02-11,27.78,27.78,27.78,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-02-18,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2018-02-25,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2018-03-04,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-03-11,27.31,27.31,27.31,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-03-18,30.02,30.02,30.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-03-25,30.63,30.63,30.63,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-04-01,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-04-08,29.42,29.42,29.42,0.0,0.0,29.49,29.49,29.49,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-04-15,29.33,29.33,29.33,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-04-22,28.54,28.54,28.54,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-04-29,29.7,29.7,29.7,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-05-06,28.18,28.18,28.18,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2018-05-13,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-05-20,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-05-27,28.01,28.01,28.01,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-06-03,27.4,27.4,27.4,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-06-10,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-06-17,27.3,27.3,27.3,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.68,27.68,27.68,0.0,0.0
