Date,ProShares Ultra Real Estate_Open_average,ProShares Ultra Real Estate_Open_max,ProShares Ultra Real Estate_Open_min,ProShares Ultra Real Estate_Open_volatility,ProShares Ultra Real Estate_Open_change,ProShares Ultra Real Estate_High_average,ProShares Ultra Real Estate_High_max,ProShares Ultra Real Estate_High_min,ProShares Ultra Real Estate_High_volatility,ProShares Ultra Real Estate_High_change,ProShares Ultra Real Estate_Low_average,ProShares Ultra Real Estate_Low_max,ProShares Ultra Real Estate_Low_min,ProShares Ultra Real Estate_Low_volatility,ProShares Ultra Real Estate_Low_change,ProShares Ultra Real Estate_Close_average,ProShares Ultra Real Estate_Close_max,ProShares Ultra Real Estate_Close_min,ProShares Ultra Real Estate_Close_volatility,ProShares Ultra Real Estate_Close_change
2018-01-14,60.17,60.17,60.17,0.0,0.0,61.18,61.18,61.18,0.0,0.0,60.17,60.17,60.17,0.0,0.0,61.14,61.14,61.14,0.0,0.0
2018-01-21,61.83,61.83,61.83,0.0,0.0,61.83,61.83,61.83,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2018-01-28,57.86,57.86,57.86,0.0,0.0,58.93,58.93,58.93,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2018-02-04,53.58,53.58,53.58,0.0,0.0,54.25,54.25,54.25,0.0,0.0,51.36,51.36,51.36,0.0,0.0,54.02,54.02,54.02,0.0,0.0
2018-02-11,55.36,55.36,55.36,0.0,0.0,56.54,56.54,56.54,0.0,0.0,55.36,55.36,55.36,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2018-02-18,56.15,56.15,56.15,0.0,0.0,56.27,56.27,56.27,0.0,0.0,55.48,55.48,55.48,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2018-02-25,52.44,52.44,52.44,0.0,0.0,54.66,54.66,54.66,0.0,0.0,52.44,52.44,52.44,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2018-03-04,56.61,56.61,56.61,0.0,0.0,57.38,57.38,57.38,0.0,0.0,56.61,56.61,56.61,0.0,0.0,57.16,57.16,57.16,0.0,0.0
2018-03-11,57.51,57.51,57.51,0.0,0.0,57.51,57.51,57.51,0.0,0.0,56.4,56.4,56.4,0.0,0.0,57.05,57.05,57.05,0.0,0.0
2018-03-18,54.37,54.37,54.37,0.0,0.0,55.15,55.15,55.15,0.0,0.0,53.87,53.87,53.87,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2018-03-25,57.32,57.32,57.32,0.0,0.0,57.66,57.66,57.66,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.83,55.83,55.83,0.0,0.0
2018-04-01,56.96,56.96,56.96,0.0,0.0,57.49,57.49,57.49,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2018-04-08,56.01,56.01,56.01,0.0,0.0,56.7,56.7,56.7,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2018-04-15,54.99,54.99,54.99,0.0,0.0,55.35,55.35,55.35,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2018-04-22,57.63,57.63,57.63,0.0,0.0,58.26,58.26,58.26,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.46,57.46,57.46,0.0,0.0
2018-04-29,59.12,59.12,59.12,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.73,59.73,59.73,0.0,0.0
2018-05-06,60.41,60.41,60.41,0.0,0.0,60.41,60.41,60.41,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.53,59.53,59.53,0.0,0.0
2018-05-13,57.33,57.33,57.33,0.0,0.0,58.46,58.46,58.46,0.0,0.0,57.04,57.04,57.04,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2018-05-20,59.3,59.3,59.3,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2018-05-27,61.51,61.51,61.51,0.0,0.0,62.6,62.6,62.6,0.0,0.0,61.46,61.46,61.46,0.0,0.0,62.57,62.57,62.57,0.0,0.0
2018-06-03,63.05,63.05,63.05,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-06-10,61.82,61.82,61.82,0.0,0.0,62.34,62.34,62.34,0.0,0.0,61.38,61.38,61.38,0.0,0.0,62.32,62.32,62.32,0.0,0.0
2018-06-17,64.41,64.41,64.41,0.0,0.0,64.76,64.76,64.76,0.0,0.0,63.96,63.96,63.96,0.0,0.0,64.37,64.37,64.37,0.0,0.0
2018-06-24,65.44,65.44,65.44,0.0,0.0,65.6,65.6,65.6,0.0,0.0,63.73,63.73,63.73,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2018-07-01,67.99,67.99,67.99,0.0,0.0,68.06,68.06,68.06,0.0,0.0,66.48,66.48,66.48,0.0,0.0,67.07,67.07,67.07,0.0,0.0
2018-07-08,66.79,66.79,66.79,0.0,0.0,66.79,66.79,66.79,0.0,0.0,65.71,65.71,65.71,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2018-07-15,64.59,64.59,64.59,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.82,64.82,64.82,0.0,0.0
2018-07-22,64.49,64.49,64.49,0.0,0.0,64.52,64.52,64.52,0.0,0.0,63.49,63.49,63.49,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2018-07-29,67.93,67.93,67.93,0.0,0.0,68.4,68.4,68.4,0.0,0.0,67.84,67.84,67.84,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-08-05,65.71,65.71,65.71,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.79,65.79,65.79,0.0,0.0
2018-08-12,69.9,69.9,69.9,0.0,0.0,70.33,70.33,70.33,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.65,69.65,69.65,0.0,0.0
2018-08-19,68.17,68.17,68.17,0.0,0.0,68.17,68.17,68.17,0.0,0.0,67.76,67.76,67.76,0.0,0.0,68.15,68.15,68.15,0.0,0.0
2018-08-26,68.97,68.97,68.97,0.0,0.0,69.66,69.66,69.66,0.0,0.0,68.92,68.92,68.92,0.0,0.0,69.41,69.41,69.41,0.0,0.0
2018-09-02,68.5,68.5,68.5,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.5,68.5,68.5,0.0,0.0
2018-09-09,67.41,67.41,67.41,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.41,67.41,67.41,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-09-16,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.86,64.86,64.86,0.0,0.0
2018-09-23,65.42,65.42,65.42,0.0,0.0,65.47,65.47,65.47,0.0,0.0,64.49,64.49,64.49,0.0,0.0,64.49,64.49,64.49,0.0,0.0
