Date,AUBNStock_Open_average,AUBNStock_Open_max,AUBNStock_Open_min,AUBNStock_Open_volatility,AUBNStock_Open_change,AUBNStock_High_average,AUBNStock_High_max,AUBNStock_High_min,AUBNStock_High_volatility,AUBNStock_High_change,AUBNStock_Low_average,AUBNStock_Low_max,AUBNStock_Low_min,AUBNStock_Low_volatility,AUBNStock_Low_change,AUBNStock_Close_average,AUBNStock_Close_max,AUBNStock_Close_min,AUBNStock_Close_volatility,AUBNStock_Close_change,AUBNStock_Volume_average,AUBNStock_Volume_max,AUBNStock_Volume_min,AUBNStock_Volume_volatility,AUBNStock_Volume_change
2018-01-14,37.986666666666665,38.39,37.71,0.6799999999999997,-0.5300000000000011,38.07,38.39,37.86,0.5300000000000011,-0.5300000000000011,37.983333333333334,38.39,37.7,0.6899999999999977,-0.5300000000000011,38.07,38.39,37.86,0.5300000000000011,-0.5300000000000011,2346,6117,272,5845,-379
2018-01-21,37.9975,38.5,37.6,0.8999999999999986,0.490000000000002,38.120000000000005,38.5,37.8,0.7000000000000028,0.0,37.775,37.9,37.6,0.29999999999999716,0.19999999999999574,37.91,38.09,37.8,0.29000000000000625,-0.29000000000000625,694,1110,189,921,-492
2018-01-28,37.9375,38.5,37.6,0.8999999999999986,-0.44999999999999574,38.05,38.5,37.6,0.8999999999999986,-0.44999999999999574,37.825,38.5,37.6,0.8999999999999986,0.0,37.8325,38.5,37.6,0.8999999999999986,0.0,1139,2236,0,2236,-745
2018-02-04,37.866,38.11,37.6,0.509999999999998,0.38000000000000256,38.18,38.65,37.64,1.009999999999998,0.35999999999999943,37.782000000000004,38.11,37.6,0.509999999999998,0.0,38.092,38.65,37.6,1.0499999999999972,0.0,1023,1643,142,1501,-208
2018-02-11,37.56666666666667,37.6,37.5,0.10000000000000142,0.0,37.56666666666667,37.6,37.5,0.10000000000000142,0.0,37.56666666666667,37.6,37.5,0.10000000000000142,0.0,37.56666666666667,37.6,37.5,0.10000000000000142,0.0,345,717,132,585,-56
2018-02-18,37.47,37.98,36.96,1.019999999999996,-1.019999999999996,37.47,37.98,36.96,1.019999999999996,-1.019999999999996,36.815,36.96,36.67,0.28999999999999915,0.28999999999999915,36.815,36.96,36.67,0.28999999999999915,0.28999999999999915,375,524,227,297,-297
2018-02-25,36.344,36.77,36.04,0.730000000000004,-0.3400000000000034,36.46,36.96,36.04,0.9200000000000017,-0.9200000000000017,35.994,36.38,35.37,1.0100000000000051,-1.0100000000000051,36.208,36.96,35.6,1.3599999999999994,-1.3599999999999994,1189,2693,166,2527,1298
2018-03-04,36.444,37.0,35.56,1.4399999999999977,-1.2399999999999949,36.484,37.0,35.56,1.4399999999999977,-1.4299999999999997,35.778,36.37,35.38,0.9899999999999949,-0.519999999999996,36.194,36.99,35.5,1.490000000000002,-1.4299999999999997,973,2492,250,2242,-242
2018-03-11,36.47,36.65,36.2,0.44999999999999574,0.29999999999999716,36.71,37.08,36.5,0.5799999999999983,0.10000000000000142,36.424,36.6,36.02,0.5799999999999983,0.4799999999999969,36.554,36.6,36.5,0.10000000000000142,0.10000000000000142,1950,4354,544,3810,2018
2018-03-18,37.172,38.12,36.5,1.6199999999999974,1.6199999999999974,37.574,38.45,36.5,1.9500000000000028,1.9200000000000017,36.944,38.01,35.56,2.4499999999999957,2.4499999999999957,37.428,38.44,36.0,2.4399999999999977,2.25,5109,20225,0,20225,-30
2018-03-25,38.24,39.06,37.9,1.1600000000000037,1.1600000000000037,38.6525,39.06,38.0,1.0600000000000023,0.35999999999999943,38.24,39.06,37.9,1.1600000000000037,1.1600000000000037,38.6225,39.06,38.0,1.0600000000000023,0.480000000000004,2108,4836,265,4571,-4455
2018-04-01,38.886,39.9,38.5,1.3999999999999986,0.04999999999999716,38.924,39.9,38.5,1.3999999999999986,0.240000000000002,38.083999999999996,38.65,37.4,1.25,1.25,38.128,38.65,37.4,1.25,1.25,1141,2104,596,1508,1508
2018-04-08,39.07,39.95,38.65,1.3000000000000043,1.3000000000000043,39.166,39.95,38.65,1.3000000000000043,1.3000000000000043,39.07,39.95,38.65,1.3000000000000043,1.3000000000000043,39.166,39.95,38.65,1.3000000000000043,1.3000000000000043,422,756,167,589,-349
