Date,JPMorgan Diversified Return Global Equity_etf_Open_average,JPMorgan Diversified Return Global Equity_etf_Open_max,JPMorgan Diversified Return Global Equity_etf_Open_min,JPMorgan Diversified Return Global Equity_etf_Open_volatility,JPMorgan Diversified Return Global Equity_etf_Open_change,JPMorgan Diversified Return Global Equity_etf_High_average,JPMorgan Diversified Return Global Equity_etf_High_max,JPMorgan Diversified Return Global Equity_etf_High_min,JPMorgan Diversified Return Global Equity_etf_High_volatility,JPMorgan Diversified Return Global Equity_etf_High_change,JPMorgan Diversified Return Global Equity_etf_Low_average,JPMorgan Diversified Return Global Equity_etf_Low_max,JPMorgan Diversified Return Global Equity_etf_Low_min,JPMorgan Diversified Return Global Equity_etf_Low_volatility,JPMorgan Diversified Return Global Equity_etf_Low_change,JPMorgan Diversified Return Global Equity_etf_Close_average,JPMorgan Diversified Return Global Equity_etf_Close_max,JPMorgan Diversified Return Global Equity_etf_Close_min,JPMorgan Diversified Return Global Equity_etf_Close_volatility,JPMorgan Diversified Return Global Equity_etf_Close_change
2018-01-14,64.46,64.46,64.46,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.4,64.4,64.4,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2018-01-21,65.33,65.33,65.33,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-01-28,64.01,64.01,64.01,0.0,0.0,64.01,64.01,64.01,0.0,0.0,63.35,63.35,63.35,0.0,0.0,63.35,63.35,63.35,0.0,0.0
2018-02-04,60.19,60.19,60.19,0.0,0.0,60.58,60.58,60.58,0.0,0.0,59.03,59.03,59.03,0.0,0.0,60.25,60.25,60.25,0.0,0.0
2018-02-11,62.57,62.57,62.57,0.0,0.0,62.95,62.95,62.95,0.0,0.0,62.46,62.46,62.46,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-02-18,62.34,62.34,62.34,0.0,0.0,62.77,62.77,62.77,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.77,62.77,62.77,0.0,0.0
2018-02-25,60.75,60.75,60.75,0.0,0.0,61.42,61.42,61.42,0.0,0.0,60.71,60.71,60.71,0.0,0.0,61.42,61.42,61.42,0.0,0.0
2018-03-04,62.58,62.58,62.58,0.0,0.0,62.99,62.99,62.99,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-03-11,62.54,62.54,62.54,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.54,62.54,62.54,0.0,0.0,62.63,62.63,62.63,0.0,0.0
2018-03-18,61.04,61.04,61.04,0.0,0.0,61.09,61.09,61.09,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2018-03-25,61.38,61.38,61.38,0.0,0.0,61.83,61.83,61.83,0.0,0.0,61.38,61.38,61.38,0.0,0.0,61.72,61.72,61.72,0.0,0.0
2018-04-01,61.61,61.61,61.61,0.0,0.0,61.87,61.87,61.87,0.0,0.0,60.99,60.99,60.99,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2018-04-08,61.9,61.9,61.9,0.0,0.0,62.08,62.08,62.08,0.0,0.0,61.85,61.85,61.85,0.0,0.0,61.85,61.85,61.85,0.0,0.0
