Date,First Trust Utilities AlphaDEXEtf_Open_average,First Trust Utilities AlphaDEXEtf_Open_max,First Trust Utilities AlphaDEXEtf_Open_min,First Trust Utilities AlphaDEXEtf_Open_volatility,First Trust Utilities AlphaDEXEtf_Open_change,First Trust Utilities AlphaDEXEtf_High_average,First Trust Utilities AlphaDEXEtf_High_max,First Trust Utilities AlphaDEXEtf_High_min,First Trust Utilities AlphaDEXEtf_High_volatility,First Trust Utilities AlphaDEXEtf_High_change,First Trust Utilities AlphaDEXEtf_Low_average,First Trust Utilities AlphaDEXEtf_Low_max,First Trust Utilities AlphaDEXEtf_Low_min,First Trust Utilities AlphaDEXEtf_Low_volatility,First Trust Utilities AlphaDEXEtf_Low_change,First Trust Utilities AlphaDEXEtf_Close_average,First Trust Utilities AlphaDEXEtf_Close_max,First Trust Utilities AlphaDEXEtf_Close_min,First Trust Utilities AlphaDEXEtf_Close_volatility,First Trust Utilities AlphaDEXEtf_Close_change
2018-01-14,25.29,25.29,25.29,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-01-21,25.75,25.75,25.75,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-01-28,25.15,25.15,25.15,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-02-04,23.69,23.69,23.69,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2018-02-11,24.8,24.8,24.8,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-02-18,24.61,24.61,24.61,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.61,24.61,24.61,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-02-25,24.55,24.55,24.55,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2018-03-04,25.02,25.02,25.02,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.93,24.93,24.93,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-03-11,25.41,25.41,25.41,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-03-18,24.99,24.99,24.99,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-03-25,25.28,25.28,25.28,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-04-01,25.54,25.54,25.54,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-04-08,25.37,25.37,25.37,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-04-15,25.86,25.86,25.86,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-04-22,26.21,26.21,26.21,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-04-29,25.74,25.74,25.74,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-05-06,25.73,25.73,25.73,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-05-13,25.24,25.24,25.24,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-05-20,25.62,25.62,25.62,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-05-27,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-06-03,25.11,25.11,25.11,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-06-10,25.4,25.4,25.4,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-06-17,25.67,25.67,25.67,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-06-24,26.18,26.18,26.18,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-07-01,26.62,26.62,26.62,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-07-08,26.51,26.51,26.51,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2018-07-15,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-07-22,26.28,26.28,26.28,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-07-29,26.41,26.41,26.41,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-08-05,27.32,27.32,27.32,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-08-12,27.98,27.98,27.98,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.91,27.91,27.91,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-08-19,27.65,27.65,27.65,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2018-08-26,27.66,27.66,27.66,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-09-02,27.8,27.8,27.8,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2018-09-09,28.13,28.13,28.13,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.89,27.89,27.89,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-09-16,27.71,27.71,27.71,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-09-23,27.35,27.35,27.35,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-09-30,27.78,27.78,27.78,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-10-07,27.51,27.51,27.51,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-10-14,27.95,27.95,27.95,0.0,0.0,28.49,28.49,28.49,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-10-21,27.88,27.88,27.88,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-10-28,27.72,27.72,27.72,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2018-11-04,28.26,28.26,28.26,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-11-11,28.27,28.27,28.27,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-11-18,27.98,27.98,27.98,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2018-11-25,28.39,28.39,28.39,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-12-02,28.67,28.67,28.67,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2018-12-09,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-12-16,27.49,27.49,27.49,0.0,0.0,27.93,27.93,27.93,0.0,0.0,26.96,26.96,26.96,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-12-23,26.71,26.71,26.71,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2018-12-30,26.72,26.72,26.72,0.0,0.0,27.2,27.2,27.2,0.0,0.0,26.6,26.6,26.6,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2019-01-06,27.35,27.35,27.35,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2019-01-13,26.87,26.87,26.87,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2019-01-20,27.47,27.47,27.47,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2019-01-27,27.64,27.64,27.64,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2019-02-03,27.42,27.42,27.42,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2019-02-10,27.79,27.79,27.79,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.78,27.78,27.78,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2019-02-17,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-02-24,28.34,28.34,28.34,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2019-03-03,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2019-03-10,28.68,28.68,28.68,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2019-03-17,28.61,28.61,28.61,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2019-03-24,28.19,28.19,28.19,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2019-03-31,28.24,28.24,28.24,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2019-04-07,28.51,28.51,28.51,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2019-04-14,28.04,28.04,28.04,0.0,0.0,28.24,28.24,28.24,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2019-04-21,28.37,28.37,28.37,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2019-04-28,28.31,28.31,28.31,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2019-05-05,27.8,27.8,27.8,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.74,27.74,27.74,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2019-05-12,28.11,28.11,28.11,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2019-05-19,28.7,28.7,28.7,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2019-05-26,27.99,27.99,27.99,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2019-06-02,29.13,29.13,29.13,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.93,28.93,28.93,0.0,0.0
