Date,ProShares UltraShort Real EstateEtf_Open_average,ProShares UltraShort Real EstateEtf_Open_max,ProShares UltraShort Real EstateEtf_Open_min,ProShares UltraShort Real EstateEtf_Open_volatility,ProShares UltraShort Real EstateEtf_Open_change,ProShares UltraShort Real EstateEtf_High_average,ProShares UltraShort Real EstateEtf_High_max,ProShares UltraShort Real EstateEtf_High_min,ProShares UltraShort Real EstateEtf_High_volatility,ProShares UltraShort Real EstateEtf_High_change,ProShares UltraShort Real EstateEtf_Low_average,ProShares UltraShort Real EstateEtf_Low_max,ProShares UltraShort Real EstateEtf_Low_min,ProShares UltraShort Real EstateEtf_Low_volatility,ProShares UltraShort Real EstateEtf_Low_change,ProShares UltraShort Real EstateEtf_Close_average,ProShares UltraShort Real EstateEtf_Close_max,ProShares UltraShort Real EstateEtf_Close_min,ProShares UltraShort Real EstateEtf_Close_volatility,ProShares UltraShort Real EstateEtf_Close_change
2018-01-14,32.28,32.28,32.28,0.0,0.0,32.42,32.42,32.42,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-01-21,30.78,30.78,30.78,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-01-28,32.46,32.46,32.46,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-02-04,36.56,36.56,36.56,0.0,0.0,37.33,37.33,37.33,0.0,0.0,34.76,34.76,34.76,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-02-11,34.17,34.17,34.17,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-02-18,34.75,34.75,34.75,0.0,0.0,34.79,34.79,34.79,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-02-25,35.79,35.79,35.79,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-03-04,33.65,33.65,33.65,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-03-11,32.79,32.79,32.79,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-03-18,33.98,33.98,33.98,0.0,0.0,35.14,35.14,35.14,0.0,0.0,33.73,33.73,33.73,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-03-25,32.47,32.47,32.47,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-04-01,32.44,32.44,32.44,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-04-08,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-04-15,33.39,33.39,33.39,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-04-22,33.16,33.16,33.16,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-04-29,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-05-06,30.6,30.6,30.6,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-05-13,32.76,32.76,32.76,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-05-20,31.44,31.44,31.44,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-05-27,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-06-03,29.66,29.66,29.66,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-06-10,29.69,29.69,29.69,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-06-17,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-06-24,28.16,28.16,28.16,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-07-01,27.19,27.19,27.19,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2018-07-08,27.4,27.4,27.4,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-07-15,27.94,27.94,27.94,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-07-22,28.14,28.14,28.14,0.0,0.0,28.65,28.65,28.65,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-07-29,27.45,27.45,27.45,0.0,0.0,27.52,27.52,27.52,0.0,0.0,26.9,26.9,26.9,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-08-05,27.5,27.5,27.5,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-08-12,26.86,26.86,26.86,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-08-19,27.22,27.22,27.22,0.0,0.0,27.22,27.22,27.22,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2018-08-26,26.55,26.55,26.55,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-09-02,26.77,26.77,26.77,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.75,26.75,26.75,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-09-09,26.66,26.66,26.66,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-09-16,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,26.95,26.95,26.95,0.0,0.0,27.23,27.23,27.23,0.0,0.0
