Date,ALK_Open_average,ALK_Open_max,ALK_Open_min,ALK_Open_volatility,ALK_Open_change,ALK_High_average,ALK_High_max,ALK_High_min,ALK_High_volatility,ALK_High_change,ALK_Low_average,ALK_Low_max,ALK_Low_min,ALK_Low_volatility,ALK_Low_change,ALK_Close_average,ALK_Close_max,ALK_Close_min,ALK_Close_volatility,ALK_Close_change,ALK_Volume_average,ALK_Volume_max,ALK_Volume_min,ALK_Volume_volatility,ALK_Volume_change
2018-01-14,71.66499999999999,73.7,70.3,3.4000000000000057,-3.4000000000000057,71.9975,74.04,70.31,3.730000000000004,-3.730000000000004,70.0025,71.16,68.35,2.8100000000000023,-2.8100000000000023,70.1925,71.28,68.88,2.4000000000000057,-2.4000000000000057,2497161,3372454,1979851,1392603,1011956
2018-01-21,65.614,68.75,62.25,6.5,-6.5,66.772,70.0,63.53,6.469999999999999,-4.579999999999998,64.154,68.44,59.25,9.189999999999998,-5.550000000000004,65.864,69.47,62.07,7.399999999999999,-4.009999999999991,5244803,10475991,2557629,7918362,966510
2018-01-28,64.724,65.54,64.24,1.3000000000000114,0.9399999999999977,65.944,67.03,65.03,2.0,-0.05000000000001137,64.072,64.38,63.77,0.6099999999999923,-0.13000000000000966,64.81,65.73,64.08,1.6500000000000057,-0.9200000000000017,3643434,5700907,2492777,3208130,1998174
2018-02-04,63.632,64.67,62.24,2.4299999999999997,0.8100000000000023,64.832,65.23,63.65,1.5800000000000054,0.14000000000000057,62.858,63.82,61.08,2.740000000000002,0.9299999999999997,63.784,64.72,62.74,1.9799999999999969,1.9799999999999969,4361670,5581640,2025459,3556181,-441669
2018-02-11,65.934,66.68,65.11,1.5700000000000074,0.7199999999999989,67.016,67.5,66.34,1.1599999999999966,-0.45000000000000284,65.102,65.72,64.77,0.9500000000000028,-0.13000000000000966,66.16,66.89,64.97,1.9200000000000017,-1.0400000000000063,2811187,3555568,1860763,1694805,-1485737
2018-02-18,64.7575,65.14,64.45,0.6899999999999977,-0.4899999999999949,65.62,66.61,65.0,1.6099999999999994,0.1700000000000017,64.08,64.36,63.94,0.4200000000000017,-0.05000000000000426,64.5575,64.98,64.17,0.8100000000000023,0.5900000000000034,1598147,2239134,1246691,992443,-174827
2018-02-25,65.004,66.24,64.0,2.239999999999995,-1.4599999999999937,65.768,66.64,64.36,2.280000000000001,-1.9500000000000028,63.952,64.8,62.42,2.3799999999999955,-2.019999999999996,64.714,66.15,63.38,2.770000000000003,-2.770000000000003,1758836,2448512,1130265,1318247,439950
2018-03-04,64.002,65.1,63.05,2.049999999999997,2.049999999999997,64.758,65.47,64.16,1.3100000000000023,1.1400000000000006,63.424,64.03,62.52,1.509999999999998,1.2999999999999972,64.304,64.8,63.62,1.1799999999999997,1.1799999999999997,1901779,3009108,1290522,1718586,662101
2018-03-11,66.29,68.54,64.99,3.5500000000000114,1.1700000000000017,67.522,69.16,66.04,3.1199999999999903,1.1799999999999926,65.476,66.12,64.39,1.730000000000004,1.730000000000004,66.534,68.79,65.67,3.1200000000000045,0.730000000000004,2358629,3380531,1124816,2255715,-1884902
2018-03-18,64.416,66.31,62.67,3.6400000000000006,-3.6400000000000006,64.852,66.57,63.3,3.269999999999996,-3.269999999999996,63.346000000000004,64.65,61.81,2.8400000000000034,-2.8400000000000034,63.839999999999996,65.19,61.88,3.309999999999995,-3.2199999999999918,1532425,2270441,1003364,1267077,149970
2018-03-25,61.9475,62.43,61.49,0.9399999999999977,-0.5700000000000003,62.3675,62.59,62.04,0.5500000000000043,-0.1599999999999966,61.335,61.5,61.2,0.29999999999999716,0.10999999999999943,61.795,62.16,61.49,0.6699999999999946,-0.19999999999999574,1915681,2232249,1449283,782966,782966
2018-04-01,60.582,61.73,58.46,3.269999999999996,0.05999999999999517,61.516000000000005,62.34,60.24,2.1000000000000014,0.3500000000000014,59.146,61.21,57.6,3.6099999999999994,2.710000000000001,60.392,62.11,57.75,4.359999999999999,3.020000000000003,2675415,4137902,1448575,2689327,-1369430
