Date,Assured Guaranty Municipal Holdings Inc_etf_Open_average,Assured Guaranty Municipal Holdings Inc_etf_Open_max,Assured Guaranty Municipal Holdings Inc_etf_Open_min,Assured Guaranty Municipal Holdings Inc_etf_Open_volatility,Assured Guaranty Municipal Holdings Inc_etf_Open_change,Assured Guaranty Municipal Holdings Inc_etf_High_average,Assured Guaranty Municipal Holdings Inc_etf_High_max,Assured Guaranty Municipal Holdings Inc_etf_High_min,Assured Guaranty Municipal Holdings Inc_etf_High_volatility,Assured Guaranty Municipal Holdings Inc_etf_High_change,Assured Guaranty Municipal Holdings Inc_etf_Low_average,Assured Guaranty Municipal Holdings Inc_etf_Low_max,Assured Guaranty Municipal Holdings Inc_etf_Low_min,Assured Guaranty Municipal Holdings Inc_etf_Low_volatility,Assured Guaranty Municipal Holdings Inc_etf_Low_change,Assured Guaranty Municipal Holdings Inc_etf_Close_average,Assured Guaranty Municipal Holdings Inc_etf_Close_max,Assured Guaranty Municipal Holdings Inc_etf_Close_min,Assured Guaranty Municipal Holdings Inc_etf_Close_volatility,Assured Guaranty Municipal Holdings Inc_etf_Close_change
2018-01-14,25.01,25.01,25.01,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2018-01-21,24.99,24.99,24.99,0.0,0.0,25.13,25.13,25.13,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-01-28,24.62,24.62,24.62,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-02-04,24.61,24.61,24.61,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-02-11,24.65,24.65,24.65,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-02-18,24.95,24.95,24.95,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-02-25,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-03-04,25.14,25.14,25.14,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-03-11,25.09,25.09,25.09,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.77,24.77,24.77,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-03-18,25.03,25.03,25.03,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.11,25.11,25.11,0.0,0.0
