Date,Schwab amental US Broad Market_Open_average,Schwab amental US Broad Market_Open_max,Schwab amental US Broad Market_Open_min,Schwab amental US Broad Market_Open_volatility,Schwab amental US Broad Market_Open_change,Schwab amental US Broad Market_High_average,Schwab amental US Broad Market_High_max,Schwab amental US Broad Market_High_min,Schwab amental US Broad Market_High_volatility,Schwab amental US Broad Market_High_change,Schwab amental US Broad Market_Low_average,Schwab amental US Broad Market_Low_max,Schwab amental US Broad Market_Low_min,Schwab amental US Broad Market_Low_volatility,Schwab amental US Broad Market_Low_change,Schwab amental US Broad Market_Close_average,Schwab amental US Broad Market_Close_max,Schwab amental US Broad Market_Close_min,Schwab amental US Broad Market_Close_volatility,Schwab amental US Broad Market_Close_change
2018-01-14,38.98,38.98,38.98,0.0,0.0,39.27,39.27,39.27,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2018-01-21,39.65,39.65,39.65,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-01-28,37.71,37.71,37.71,0.0,0.0,37.9,37.9,37.9,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-02-04,36.29,36.29,36.29,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2018-02-11,37.33,37.33,37.33,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-02-18,37.65,37.65,37.65,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-02-25,36.59,36.59,36.59,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.59,36.59,36.59,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-03-04,37.88,37.88,37.88,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-03-11,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-03-18,35.89,35.89,35.89,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.54,35.54,35.54,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-03-25,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-04-01,36.09,36.09,36.09,0.0,0.0,36.46,36.46,36.46,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2018-04-08,36.78,36.78,36.78,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-04-15,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-04-22,36.96,36.96,36.96,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2018-04-29,36.75,36.75,36.75,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2018-05-06,37.53,37.53,37.53,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-05-13,37.75,37.75,37.75,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-05-20,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-05-27,37.88,37.88,37.88,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-06-03,38.42,38.42,38.42,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2018-06-10,38.05,38.05,38.05,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.13,38.13,38.13,0.0,0.0
2018-06-17,37.76,37.76,37.76,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-06-24,37.11,37.11,37.11,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-07-01,37.89,37.89,37.89,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.89,37.89,37.89,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-07-08,38.1,38.1,38.1,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2018-07-15,38.06,38.06,38.06,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-07-22,38.42,38.42,38.42,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-07-29,38.74,38.74,38.74,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2018-08-05,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2018-08-12,39.06,39.06,39.06,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-08-19,39.51,39.51,39.51,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2018-08-26,39.46,39.46,39.46,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2018-09-02,39.42,39.42,39.42,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-09-09,39.66,39.66,39.66,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2018-09-16,40.14,40.14,40.14,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.93,39.93,39.93,0.0,0.0
2018-09-23,39.72,39.72,39.72,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-09-30,39.2,39.2,39.2,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.16,39.16,39.16,0.0,0.0,39.44,39.44,39.44,0.0,0.0
2018-10-07,37.65,37.65,37.65,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-10-14,37.77,37.77,37.77,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-10-21,36.69,36.69,36.69,0.0,0.0,36.95,36.95,36.95,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-10-28,37.44,37.44,37.44,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2018-11-04,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2018-11-11,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.95,36.95,36.95,0.0,0.0
